,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Sam Mitchell,MID,9,0,16,8,1,1,1,100,2014,Grand Final
1,2,Will Langford,MID,6,2,15,6,0,0,0,0,2014,Grand Final
2,3,Luke Breust,FWD,5,1,19,5,0,0,0,0,2014,Grand Final
3,3,Harry Cunningham,FWD,5,1,27,9,1,2,1,50,2014,Grand Final
4,3,Dan Hannebery,MID,5,0,26,16,1,0,0,0,2014,Grand Final
5,3,Ben McGlynn,MID,5,2,35,16,0,0,0,0,2014,Grand Final
6,3,Dane Rampe,DEF,5,1,16,13,2,4,2,50,2014,Grand Final
7,3,Liam Shiels,MID,5,1,16,6,1,2,0,0,2014,Grand Final
8,9,Adam Goodes,FWD,4,3,12,4,0,0,0,0,2014,Grand Final
9,9,David Hale,RUC,4,2,15,2,1,0,0,0,2014,Grand Final
10,9,Luke Hodge,MID,4,0,13,8,1,1,0,0,2014,Grand Final
11,9,Kieren Jack,MID,4,0,19,10,3,1,0,0,2014,Grand Final
12,9,Josh P. Kennedy,MID,4,0,21,7,1,0,0,0,2014,Grand Final
13,9,Jake Lloyd,FWD,4,0,18,5,0,0,0,0,2014,Grand Final
14,9,Paul Puopolo,FWD,4,1,18,2,0,0,0,0,2014,Grand Final
15,9,Nick Smith,DEF,4,0,13,13,3,2,0,0,2014,Grand Final
16,17,Craig Bird,MID,3,0,14,6,0,0,0,0,2014,Grand Final
17,17,Bradley Hill,FWD,3,2,15,4,0,0,0,0,2014,Grand Final
18,17,Brian Lake,KEYD,3,0,4,2,6,10,2,20,2014,Grand Final
19,17,Jordan Lewis,MID,3,1,16,7,0,0,0,0,2014,Grand Final
20,17,Ben McEvoy,RUC,3,0,14,10,4,2,2,100,2014,Grand Final
21,17,Luke Parker,FWD,3,0,31,13,2,1,0,0,2014,Grand Final
22,23,Nick Malceski,DEF,2,0,10,9,0,0,0,0,2014,Grand Final
23,23,Sam Reid,KEYF,2,1,17,8,0,0,0,0,2014,Grand Final
24,23,Cyril Rioli,FWD,2,2,15,2,1,0,0,0,2014,Grand Final
25,23,Jarryd Roughead,KEYF,2,1,13,5,0,0,0,0,2014,Grand Final
26,23,Ben Stratton,KEYD,2,0,5,4,5,3,3,100,2014,Grand Final
27,23,Matthew Suckling,DEF,2,0,9,8,0,1,1,100,2014,Grand Final
28,23,Kurt Tippett,KEYF,2,0,17,3,1,0,0,0,2014,Grand Final
29,30,Shaun Burgoyne,DEF,1,0,10,5,0,0,0,0,2014,Grand Final
30,30,Taylor Duryea,DEF,1,0,2,0,0,0,0,0,2014,Grand Final
31,30,Lance Franklin,KEYF,1,0,22,4,0,0,0,0,2014,Grand Final
32,30,Josh Gibson,KEYD,1,0,6,4,4,2,0,0,2014,Grand Final
33,30,Heath Grundy,KEYD,1,0,8,8,9,6,0,0,2014,Grand Final
34,30,Jack Gunston,FWD,1,1,6,2,2,0,0,0,2014,Grand Final
35,30,Jarrad McVeigh,MID,1,1,27,10,0,1,0,0,2014,Grand Final
36,30,Ted Richards,KEYD,1,0,8,8,1,1,0,0,2014,Grand Final
37,30,Gary Rohan,DEF,1,0,10,6,3,0,0,0,2014,Grand Final
38,30,Isaac Smith,FWD,1,1,11,6,0,0,0,0,2014,Grand Final
39,30,Matt Spangher,KEYD,1,0,10,8,4,2,0,0,2014,Grand Final
40,41,Grant Birchall,DEF,0,0,8,7,0,2,0,0,2014,Grand Final
41,41,Lewis Jetta,FWD,0,0,14,7,0,0,0,0,2014,Grand Final
42,41,Mike Pyke,RUC,0,0,13,6,0,0,0,0,2014,Grand Final
43,41,Rhyce Shaw,DEF,0,0,8,3,0,1,1,100,2014,Grand Final
