,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Toby Greene,MID,10,0,19,13,0,1,1,100,2014,Round 19
1,1,Mark Hutchings,MID,10,0,24,10,0,1,1,100,2014,Round 19
2,3,Lenny Hayes,MID,9,0,19,9,2,1,0,0,2014,Round 19
3,4,Jarryd Blair,FWD,8,1,34,14,0,0,0,0,2014,Round 19
4,4,Ben Cunnington,MID,8,2,15,7,0,0,0,0,2014,Round 19
5,4,Hamish Hartlett,FWD,8,1,17,7,2,0,0,0,2014,Round 19
6,4,Zach Merrett,FWD,8,1,27,13,0,0,0,0,2014,Round 19
7,4,Liam Shiels,MID,8,2,26,14,0,0,0,0,2014,Round 19
8,4,Devon Smith,FWD,8,1,30,8,0,0,0,0,2014,Round 19
9,4,Alex Woodward,MID,8,1,18,7,0,0,0,0,2014,Round 19
10,4,Matthew Wright,FWD,8,1,19,4,3,0,0,0,2014,Round 19
11,4,Jack Ziebell,MID,8,1,22,10,0,1,1,100,2014,Round 19
12,13,Taylor Adams,MID,7,0,18,9,1,0,0,0,2014,Round 19
13,13,Dayne Beams,MID,7,1,18,12,2,1,0,0,2014,Round 19
14,13,Josh Caddy,MID,7,0,14,4,1,0,0,0,2014,Round 19
15,13,Andrew Carrazzo,MID,7,0,22,13,0,0,0,0,2014,Round 19
16,13,David Ellard,FWD,7,3,20,8,0,0,0,0,2014,Round 19
17,13,Bryce Gibbs,MID,7,0,14,8,1,0,0,0,2014,Round 19
18,13,Heath Hocking,MID,7,1,20,8,1,1,0,0,2014,Round 19
19,13,Tom Liberatore,MID,7,1,18,12,1,0,0,0,2014,Round 19
20,13,Heritier Lumumba,DEF,7,0,22,15,1,0,0,0,2014,Round 19
21,13,Jarrad McVeigh,MID,7,1,27,11,0,0,0,0,2014,Round 19
22,13,Jaeger O'Meara,MID,7,0,15,5,0,1,0,0,2014,Round 19
23,13,Liam Picken,DEF,7,0,9,7,1,1,0,0,2014,Round 19
24,13,Matthew Priddis,MID,7,0,30,18,0,0,0,0,2014,Round 19
25,13,Tom Rockliff,MID,7,0,16,6,0,0,0,0,2014,Round 19
26,13,Rory Sloane,MID,7,2,34,16,0,0,0,0,2014,Round 19
27,13,Nicholas Suban,FWD,7,1,14,7,1,0,0,0,2014,Round 19
28,29,Eddie Betts,FWD,6,4,22,4,0,0,0,0,2014,Round 19
29,29,Mark Blicavs,RUC,6,2,18,5,5,0,0,0,2014,Round 19
30,29,Paul Chapman,FWD,6,1,17,7,0,1,1,100,2014,Round 19
31,29,Harry Cunningham,FWD,6,1,21,6,0,0,0,0,2014,Round 19
32,29,Sam Darley,DEF,6,0,11,9,0,1,0,0,2014,Round 19
33,29,Richard Douglas,MID,6,1,33,15,0,0,0,0,2014,Round 19
34,29,Paul Duffield,DEF,6,2,12,7,1,0,0,0,2014,Round 19
35,29,Alex Fasolo,FWD,6,0,8,4,1,0,0,0,2014,Round 19
36,29,Dyson Heppell,MID,6,1,25,13,0,0,0,0,2014,Round 19
37,29,Ben Howlett,FWD,6,3,24,5,0,0,0,0,2014,Round 19
38,29,Mark Jamar,RUC,6,2,13,7,1,4,2,50,2014,Round 19
39,29,Matthew Lobbe,RUC,6,0,13,3,2,0,0,0,2014,Round 19
40,29,Billy Longer,RUC,6,1,18,6,3,2,0,0,2014,Round 19
41,29,Scott Lycett,RUC,6,0,22,7,2,1,0,0,2014,Round 19
42,29,Dion Prestia,MID,6,1,13,6,0,0,0,0,2014,Round 19
43,29,Mike Pyke,RUC,6,0,13,8,4,2,0,0,2014,Round 19
44,29,Dane Rampe,DEF,6,1,16,10,4,3,1,33.3,2014,Round 19
45,29,Michael Rischitelli,MID,6,1,10,6,0,0,0,0,2014,Round 19
46,29,Jack Steven,MID,6,0,10,5,0,1,1,100,2014,Round 19
47,29,Justin Westhoff,KEYF,6,1,13,8,2,0,0,0,2014,Round 19
48,29,David Zaharakis,FWD,6,2,25,8,0,0,0,0,2014,Round 19
49,50,Craig Bird,MID,5,1,13,9,1,0,0,0,2014,Round 19
50,50,Matthew Broadbent,DEF,5,0,16,8,2,3,1,33.3,2014,Round 19
51,50,Brad Crouch,MID,5,0,18,9,2,1,0,0,2014,Round 19
52,50,Brad Ebert,MID,5,0,18,9,1,0,0,0,2014,Round 19
53,50,Todd Goldstein,RUC,5,1,15,7,2,1,0,0,2014,Round 19
54,50,Pearce Hanley,MID,5,2,13,4,0,0,0,0,2014,Round 19
55,50,Nathan Hrovat,FWD,5,2,20,7,0,0,0,0,2014,Round 19
56,50,Will Langford,MID,5,0,16,6,0,0,0,0,2014,Round 19
57,50,Ryan Lester,MID,5,2,20,4,0,0,0,0,2014,Round 19
58,50,Brent Macaffer,MID,5,0,12,7,2,1,0,0,2014,Round 19
59,50,David Mackay,MID,5,1,18,9,1,0,0,0,2014,Round 19
60,50,Chris Masten,MID,5,0,18,13,1,0,0,0,2014,Round 19
61,50,Patrick McGinnity,FWD,5,0,22,13,0,0,0,0,2014,Round 19
62,50,Jordan Murdoch,FWD,5,2,21,4,0,0,0,0,2014,Round 19
63,50,David Myers,MID,5,2,18,10,3,1,1,100,2014,Round 19
64,50,Nic Naitanui,RUC,5,0,21,12,4,0,0,0,2014,Round 19
65,50,Lachie Neale,MID,5,0,16,5,0,1,0,0,2014,Round 19
66,50,Jack Newnes,DEF,5,0,11,7,0,1,1,100,2014,Round 19
67,50,Luke Parker,FWD,5,0,17,10,0,0,0,0,2014,Round 19
68,50,Joel Patfull,KEYD,5,0,10,4,9,3,2,66.7,2014,Round 19
69,50,Scott Pendlebury,MID,5,1,29,12,1,0,0,0,2014,Round 19
70,50,Aidan Riley,FWD,5,0,19,12,0,0,0,0,2014,Round 19
71,50,Dylan Shiel,MID,5,1,12,2,0,0,0,0,2014,Round 19
72,50,Lewis Taylor,FWD,5,3,18,3,0,0,0,0,2014,Round 19
73,50,Dean Towers,FWD,5,2,17,9,1,0,0,0,2014,Round 19
74,50,Jarrod Witts,RUC,5,0,12,4,2,0,0,0,2014,Round 19
75,76,Jed Adcock,DEF,4,0,14,9,0,0,0,0,2014,Round 19
76,76,Mark Austin,KEYD,4,0,8,6,4,4,1,25,2014,Round 19
77,76,Mark Baguley,DEF,4,0,13,9,4,4,1,25,2014,Round 19
78,76,Rohan Bail,FWD,4,0,18,11,1,0,0,0,2014,Round 19
79,76,Michael Barlow,MID,4,2,19,9,0,0,0,0,2014,Round 19
80,76,Ryan Bastinac,MID,4,0,15,7,0,0,0,0,2014,Round 19
81,76,Travis Boak,MID,4,0,16,5,2,1,0,0,2014,Round 19
82,76,Greg Broughton,DEF,4,0,15,7,3,2,1,50,2014,Round 19
83,76,Tom Campbell,KEYF,4,1,9,3,2,0,0,0,2014,Round 19
84,76,Travis Cloke,KEYF,4,2,8,2,0,0,0,0,2014,Round 19
85,76,Stewart Crameri,FWD,4,0,16,8,3,0,0,0,2014,Round 19
86,76,Chris Dawes,KEYF,4,1,17,4,0,0,0,0,2014,Round 19
87,76,Sam Docherty,DEF,4,0,14,9,2,2,1,50,2014,Round 19
88,76,Sam Gibson,MID,4,1,11,6,0,0,0,0,2014,Round 19
89,76,Ryan Griffen,MID,4,0,12,5,2,1,0,0,2014,Round 19
90,76,Cameron Guthrie,MID,4,1,11,4,0,0,0,0,2014,Round 19
91,76,Tom Hawkins,KEYF,4,3,11,2,0,0,0,0,2014,Round 19
92,76,Stephen Hill,MID,4,2,19,10,2,1,0,0,2014,Round 19
93,76,Josh Hill,FWD,4,3,15,1,1,0,0,0,2014,Round 19
94,76,Jeremy Howe,DEF,4,0,14,12,3,0,0,0,2014,Round 19
95,76,Kieren Jack,MID,4,0,22,9,1,0,0,0,2014,Round 19
96,76,Josh Jenkins,KEYF,4,1,15,4,4,1,1,100,2014,Round 19
97,76,Chris Judd,MID,4,3,8,3,0,0,0,0,2014,Round 19
98,76,Brodie Martin,MID,4,1,19,7,1,0,0,0,2014,Round 19
99,76,Ben McGlynn,MID,4,0,37,18,0,0,0,0,2014,Round 19
100,76,Dale Morris,KEYD,4,0,12,9,6,6,1,16.7,2014,Round 19
101,76,Shane Mumford,RUC,4,1,12,3,1,1,0,0,2014,Round 19
102,76,David Mundy,MID,4,0,15,9,0,0,0,0,2014,Round 19
103,76,Robert Murphy,DEF,4,0,16,12,4,2,0,0,2014,Round 19
104,76,Rhys Palmer,FWD,4,3,19,2,0,0,0,0,2014,Round 19
105,76,Danyle Pearce,FWD,4,3,22,8,0,0,0,0,2014,Round 19
106,76,Paul Puopolo,FWD,4,3,25,5,0,0,0,0,2014,Round 19
107,76,Farren Ray,MID,4,0,19,11,0,1,0,0,2014,Round 19
108,76,Will Schofield,DEF,4,0,11,10,4,5,1,20,2014,Round 19
109,76,Joel Selwood,MID,4,1,12,0,1,1,0,0,2014,Round 19
110,76,Alex Sexton,FWD,4,0,8,3,0,0,0,0,2014,Round 19
111,76,Steele Sidebottom,MID,4,3,18,4,1,0,0,0,2014,Round 19
112,76,Matt Spangher,KEYD,4,0,15,11,3,2,1,50,2014,Round 19
113,76,Ben Stratton,KEYD,4,0,11,7,4,3,2,66.7,2014,Round 19
114,76,Harry Taylor,KEYD,4,0,4,4,4,1,0,0,2014,Round 19
115,76,Dean Terlich,DEF,4,0,11,11,2,0,0,0,2014,Round 19
116,76,Scott Thompson,MID,4,1,12,4,0,0,0,0,2014,Round 19
117,76,Adam Treloar,MID,4,0,11,4,0,1,1,100,2014,Round 19
