,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Kieren Jack,MID,13,0,32,23,0,0,0,0,2016,Preliminary Finals
1,1,Joel Selwood,MID,13,2,42,23,1,0,0,0,2016,Preliminary Finals
2,3,Josh Dunkley,FWD,9,2,26,14,0,0,0,0,2016,Preliminary Finals
3,3,George Hewett,FWD,9,0,17,12,1,0,0,0,2016,Preliminary Finals
4,3,Sam Naismith,RUC,9,1,15,8,3,1,0,0,2016,Preliminary Finals
5,6,Mark Blicavs,MID,8,4,19,5,0,0,0,0,2016,Preliminary Finals
6,6,Dan Hannebery,MID,8,1,32,20,0,0,0,0,2016,Preliminary Finals
7,6,Josh P. Kennedy,MID,8,0,20,11,0,0,0,0,2016,Preliminary Finals
8,6,Clay Smith,FWD,8,2,19,9,2,0,0,0,2016,Preliminary Finals
9,10,Isaac Heeney,FWD,7,0,30,21,2,1,0,0,2016,Preliminary Finals
10,10,Tom Liberatore,MID,7,2,25,8,0,0,0,0,2016,Preliminary Finals
11,10,Ben McGlynn,FWD,7,3,19,5,1,0,0,0,2016,Preliminary Finals
12,13,Sam Menegola,MID,6,1,16,4,0,0,0,0,2016,Preliminary Finals
13,13,Tom Mitchell,MID,6,0,16,7,0,0,0,0,2016,Preliminary Finals
14,13,Shane Mumford,RUC,6,0,17,10,4,0,0,0,2016,Preliminary Finals
15,13,Luke Parker,MID,6,0,19,13,0,0,0,0,2016,Preliminary Finals
16,13,Liam Picken,MID,6,0,25,11,0,0,0,0,2016,Preliminary Finals
17,13,Scott Selwood,MID,6,0,20,6,0,0,0,0,2016,Preliminary Finals
18,13,Jake Stringer,FWD,6,4,22,9,0,0,0,0,2016,Preliminary Finals
19,20,Josh Cowan,MID,5,2,16,3,0,0,0,0,2016,Preliminary Finals
20,20,Patrick Dangerfield,MID,5,1,17,7,0,0,0,0,2016,Preliminary Finals
21,20,Mitch Duncan,MID,5,1,19,10,2,2,0,0,2016,Preliminary Finals
22,20,Corey Enright,DEF,5,0,17,7,2,1,0,0,2016,Preliminary Finals
23,20,Josh Kelly,MID,5,0,18,12,0,1,0,0,2016,Preliminary Finals
24,20,Toby McLean,FWD,5,2,15,5,1,1,0,0,2016,Preliminary Finals
25,20,Tom Papley,FWD,5,3,12,5,1,0,0,0,2016,Preliminary Finals
26,20,Joel Patfull,KEYD,5,0,10,9,4,2,0,0,2016,Preliminary Finals
27,20,Tom Scully,MID,5,0,19,12,0,0,0,0,2016,Preliminary Finals
28,20,Dylan Shiel,MID,5,0,28,18,1,0,0,0,2016,Preliminary Finals
29,20,Devon Smith,FWD,5,1,27,10,1,0,0,0,2016,Preliminary Finals
30,20,Lachie Whitfield,MID,5,0,23,13,2,0,0,0,2016,Preliminary Finals
31,32,Marcus Bontempelli,MID,4,0,17,8,3,0,0,0,2016,Preliminary Finals
32,32,Stephen Coniglio,MID,4,0,23,12,0,0,0,0,2016,Preliminary Finals
33,32,Caleb Daniel,FWD,4,1,27,9,1,0,0,0,2016,Preliminary Finals
34,32,Lachie Henderson,KEYD,4,2,17,2,4,1,0,0,2016,Preliminary Finals
35,32,Jacob Hopper,FWD,4,0,19,14,0,0,0,0,2016,Preliminary Finals
36,32,Zak Jones,DEF,4,0,9,7,1,1,1,100,2016,Preliminary Finals
37,32,Jake Kolodjashnij,DEF,4,0,15,11,6,5,1,20,2016,Preliminary Finals
38,32,Andrew Mackie,DEF,4,0,9,6,1,4,3,75,2016,Preliminary Finals
39,32,Dane Rampe,KEYD,4,0,9,8,10,5,1,20,2016,Preliminary Finals
40,32,Adam Tomlinson,KEYD,4,0,9,8,6,5,0,0,2016,Preliminary Finals
41,42,Josh Caddy,FWD,3,1,13,4,0,0,0,0,2016,Preliminary Finals
42,42,Luke Dahlhaus,FWD,3,0,30,7,0,0,0,0,2016,Preliminary Finals
43,42,Phil Davis,KEYD,3,0,12,10,10,3,0,0,2016,Preliminary Finals
44,42,Tory Dickson,FWD,3,2,10,2,0,0,0,0,2016,Preliminary Finals
45,42,Ryan Griffen,MID,3,0,18,11,2,0,0,0,2016,Preliminary Finals
46,42,Heath Grundy,KEYD,3,0,9,8,8,8,3,37.5,2016,Preliminary Finals
47,42,Nick Haynes,KEYD,3,0,6,6,7,3,0,0,2016,Preliminary Finals
48,42,Jason Johannisen,DEF,3,0,12,8,2,0,0,0,2016,Preliminary Finals
49,42,Zac Smith,RUC,3,2,6,2,0,1,0,0,2016,Preliminary Finals
50,42,Nick Smith,DEF,3,0,16,13,6,1,0,0,2016,Preliminary Finals
51,42,Nathan Wilson,DEF,3,0,8,6,0,1,1,100,2016,Preliminary Finals
52,53,Jimmy Bartel,MID,2,1,16,5,1,0,0,0,2016,Preliminary Finals
53,53,Tom Boyd,KEYF,2,0,10,4,1,0,0,0,2016,Preliminary Finals
54,53,Toby Greene,FWD,2,0,16,0,0,0,0,0,2016,Preliminary Finals
55,53,Lachie Hunter,MID,2,0,13,6,1,0,0,0,2016,Preliminary Finals
56,53,Jeremy Laidler,DEF,2,0,9,7,2,2,0,0,2016,Preliminary Finals
