,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Rupert Wills,MID,13,0,32,17,0,0,0,0,2019,Finals Week 1
1,2,Jack Macrae,MID,10,0,30,21,0,0,0,0,2019,Finals Week 1
2,2,Dion Prestia,MID,10,2,27,14,0,0,0,0,2019,Finals Week 1
3,4,Taylor Adams,MID,9,3,29,18,0,0,0,0,2019,Finals Week 1
4,4,Brandan Parfitt,FWD,9,0,20,10,0,0,0,0,2019,Finals Week 1
5,4,Scott Pendlebury,MID,9,1,24,15,0,1,0,0,2019,Finals Week 1
6,4,Adam Treloar,MID,9,1,24,13,0,0,0,0,2019,Finals Week 1
7,8,Gary Ablett,FWD,8,1,17,7,0,0,0,0,2019,Finals Week 1
8,8,Mark Blicavs,KEYD,8,0,18,8,5,2,0,0,2019,Finals Week 1
9,8,Jack Graham,MID,8,3,32,9,0,0,0,0,2019,Finals Week 1
10,8,Joel Selwood,MID,8,0,25,13,1,0,0,0,2019,Finals Week 1
11,8,Dayne Zorko,MID,8,1,20,6,0,0,0,0,2019,Finals Week 1
12,8,Matt de Boer,MID,8,2,26,8,3,2,0,0,2019,Finals Week 1
13,14,Marcus Bontempelli,MID,7,1,25,14,1,0,0,0,2019,Finals Week 1
14,14,Josh Dunkley,MID,7,0,25,17,0,0,0,0,2019,Finals Week 1
15,14,Tim Kelly,MID,7,1,27,14,0,0,0,0,2019,Finals Week 1
16,14,Zach Merrett,MID,7,0,33,18,0,0,0,0,2019,Finals Week 1
17,14,John Noble,DEF,7,0,17,13,1,1,1,100,2019,Finals Week 1
18,19,Taylor Duryea,DEF,6,0,12,10,4,0,0,0,2019,Finals Week 1
19,19,Shane Edwards,DEF,6,0,16,11,0,0,0,0,2019,Finals Week 1
20,19,Sam Menegola,MID,6,0,15,9,0,0,0,0,2019,Finals Week 1
21,19,Jack Redden,MID,6,1,21,5,1,0,0,0,2019,Finals Week 1
22,19,Daniel Rioli,FWD,6,1,13,5,0,0,0,0,2019,Finals Week 1
23,19,Lachie Whitfield,FWD,6,0,19,7,0,0,0,0,2019,Finals Week 1
24,25,Callum L. Brown,FWD,5,2,21,10,0,0,0,0,2019,Finals Week 1
25,25,Luke Dahlhaus,FWD,5,2,16,3,0,0,0,0,2019,Finals Week 1
26,25,Brodie Grundy,RUC,5,1,10,5,1,0,0,0,2019,Finals Week 1
27,25,Kane Lambert,FWD,5,1,15,8,1,0,0,0,2019,Finals Week 1
28,25,Jarryd Lyons,MID,5,2,30,11,0,0,0,0,2019,Finals Week 1
29,25,Stefan Martin,RUC,5,1,11,2,2,0,0,0,2019,Finals Week 1
30,25,Brayden Maynard,DEF,5,0,14,11,1,3,0,0,2019,Finals Week 1
31,25,Lincoln McCarthy,FWD,5,2,14,2,0,0,0,0,2019,Finals Week 1
32,25,Toby Nankervis,RUC,5,1,16,8,5,1,0,0,2019,Finals Week 1
33,25,Mason Redman,DEF,5,1,16,13,2,0,0,0,2019,Finals Week 1
34,25,Steele Sidebottom,MID,5,0,15,9,2,1,0,0,2019,Finals Week 1
35,25,Tim Taranto,MID,5,2,18,5,0,0,0,0,2019,Finals Week 1
36,25,Elliot Yeo,MID,5,0,18,9,0,1,0,0,2019,Finals Week 1
37,38,Harris Andrews,KEYD,4,0,12,12,13,5,0,0,2019,Finals Week 1
38,38,Tom Atkins,FWD,4,0,23,7,1,0,0,0,2019,Finals Week 1
39,38,Shai Bolton,FWD,4,2,22,10,0,0,0,0,2019,Finals Week 1
40,38,Jack Crisp,DEF,4,0,9,6,5,1,0,0,2019,Finals Week 1
41,38,Brett Deledio,FWD,4,2,8,2,0,0,0,0,2019,Finals Week 1
42,38,Tim English,RUC,4,0,13,6,1,1,0,0,2019,Finals Week 1
43,38,Jacob Hopper,MID,4,0,12,3,1,0,0,0,2019,Finals Week 1
44,38,Lachie Hunter,MID,4,1,19,14,0,0,0,0,2019,Finals Week 1
45,38,Anthony McDonald-Tipungwuti,FWD,4,2,16,5,0,0,0,0,2019,Finals Week 1
46,38,Oscar McInerney,RUC,4,1,12,4,0,0,0,0,2019,Finals Week 1
47,38,Conor McKenna,DEF,4,0,8,7,3,3,1,33.3,2019,Finals Week 1
48,38,Shaun McKernan,KEYF,4,2,8,4,1,0,0,0,2019,Finals Week 1
49,38,Toby McLean,FWD,4,1,19,6,1,0,0,0,2019,Finals Week 1
50,38,Brody Mihocek,KEYF,4,1,11,7,2,0,0,0,2019,Finals Week 1
51,38,Shane Mumford,RUC,4,0,21,8,2,0,0,0,2019,Finals Week 1
52,38,Nic Naitanui,RUC,4,1,10,4,1,1,0,0,2019,Finals Week 1
53,38,Harry Perryman,MID,4,0,11,7,0,0,0,0,2019,Finals Week 1
54,38,Tom Phillips,MID,4,1,11,7,0,0,0,0,2019,Finals Week 1
55,38,Jack Riewoldt,KEYF,4,3,10,0,3,0,0,0,2019,Finals Week 1
56,38,Luke Shuey,MID,4,0,18,6,0,0,0,0,2019,Finals Week 1
57,38,Ivan Soldo,RUC,4,1,14,5,1,0,0,0,2019,Finals Week 1
58,38,Josh Thomas,FWD,4,2,12,4,0,0,0,0,2019,Finals Week 1
59,38,Nick Vlastuin,DEF,4,0,9,9,3,5,1,20,2019,Finals Week 1
60,61,Jarrod Berry,MID,3,1,23,4,1,1,0,0,2019,Finals Week 1
61,61,Jed Bews,DEF,3,0,9,6,1,1,0,0,2019,Finals Week 1
62,61,Jeremy Cameron,KEYF,3,0,12,4,2,0,0,0,2019,Finals Week 1
63,61,Jason Castagna,FWD,3,1,10,3,0,0,0,0,2019,Finals Week 1
64,61,Allen Christensen,FWD,3,3,17,0,2,0,0,0,2019,Finals Week 1
65,61,Jamie Cripps,FWD,3,1,22,2,0,0,0,0,2019,Finals Week 1
66,61,Brent Daniels,FWD,3,2,15,1,0,0,0,0,2019,Finals Week 1
67,61,Brandon Ellis,MID,3,0,14,12,0,1,1,100,2019,Finals Week 1
68,61,Orazio Fantasia,FWD,3,3,21,5,0,0,0,0,2019,Finals Week 1
69,61,Toby Greene,FWD,3,1,14,1,0,0,0,0,2019,Finals Week 1
70,61,Will Hayes,MID,3,1,22,14,0,0,0,0,2019,Finals Week 1
71,61,Tom Hickey,RUC,3,1,24,11,3,1,0,0,2019,Finals Week 1
72,61,Harry Himmelberg,KEYF,3,0,12,1,1,0,0,0,2019,Finals Week 1
73,61,Jason Johannisen,DEF,3,0,20,15,0,1,1,100,2019,Finals Week 1
74,61,Jake Kolodjashnij,DEF,3,0,8,5,3,0,0,0,2019,Finals Week 1
75,61,Dustin Martin,FWD,3,1,8,2,0,0,0,0,2019,Finals Week 1
76,61,Aaron Naughton,KEYF,3,0,10,4,2,1,1,100,2019,Finals Week 1
77,61,Mark O'Connor,DEF,3,0,14,9,0,0,0,0,2019,Finals Week 1
78,61,Darcy Parish,FWD,3,0,18,11,0,0,0,0,2019,Finals Week 1
79,61,Cam Rayner,FWD,3,0,9,4,0,0,0,0,2019,Finals Week 1
80,61,Jordan Roughead,KEYD,3,0,5,4,4,6,2,33.3,2019,Finals Week 1
81,61,Josh Schache,KEYF,3,0,19,8,1,0,0,0,2019,Finals Week 1
82,61,Dom Sheed,MID,3,1,12,1,0,0,0,0,2019,Finals Week 1
83,61,Dylan Shiel,MID,3,0,21,13,0,0,0,0,2019,Finals Week 1
84,61,Jayden Short,DEF,3,0,7,7,0,0,0,0,2019,Finals Week 1
85,61,Bailey Smith,FWD,3,0,12,7,0,0,0,0,2019,Finals Week 1
86,61,Zac Williams,DEF,3,0,13,7,1,2,0,0,2019,Finals Week 1
87,88,Noah Answerth,DEF,2,0,10,5,1,1,0,0,2019,Finals Week 1
88,88,David Astbury,KEYD,2,0,6,6,8,4,1,25,2019,Finals Week 1
89,88,Josh Caddy,FWD,2,0,7,3,2,0,0,0,2019,Finals Week 1
90,88,Trent Cotchin,MID,2,1,15,9,0,0,0,0,2019,Finals Week 1
91,88,Hayden Crozier,DEF,2,0,8,7,4,2,1,50,2019,Finals Week 1
92,88,Patrick Dangerfield,MID,2,0,12,4,4,1,0,0,2019,Finals Week 1
93,88,Jordan De Goey,FWD,2,1,2,1,0,0,0,0,2019,Finals Week 1
94,88,Jamie Elliott,FWD,2,2,8,2,0,0,0,0,2019,Finals Week 1
95,88,Brayden Ham,FWD,2,0,11,8,1,1,0,0,2019,Finals Week 1
96,88,Eric Hipwood,KEYF,2,1,8,3,0,0,0,0,2019,Finals Week 1
97,88,Michael Hurley,KEYD,2,0,7,6,3,3,2,66.7,2019,Finals Week 1
98,88,Josh Kelly,MID,2,0,18,9,0,0,0,0,2019,Finals Week 1
99,88,Chris Mayne,MID,2,0,12,7,0,2,0,0,2019,Finals Week 1
100,88,Hugh McCluggage,MID,2,1,9,3,0,0,0,0,2019,Finals Week 1
101,88,Jeremy McGovern,KEYD,2,0,5,4,4,3,1,33.3,2019,Finals Week 1
102,88,Daniel McStay,KEYF,2,2,8,0,1,0,0,0,2019,Finals Week 1
103,88,Darcy Moore,KEYD,2,0,6,5,8,2,0,0,2019,Finals Week 1
104,88,Esava Ratugolea,KEYF,2,1,8,3,3,1,1,100,2019,Finals Week 1
105,88,Mitch Robinson,MID,2,0,9,3,1,1,0,0,2019,Finals Week 1
106,88,Adam Saad,DEF,2,0,13,12,1,2,0,0,2019,Finals Week 1
107,88,Will Schofield,KEYD,2,0,3,3,3,0,0,0,2019,Finals Week 1
108,88,Heath Shaw,DEF,2,0,3,1,3,2,0,0,2019,Finals Week 1
109,88,Jake Stringer,FWD,2,0,23,10,0,0,0,0,2019,Finals Week 1
110,88,Sam Taylor,KEYD,2,0,6,5,4,0,0,0,2019,Finals Week 1
111,88,Easton Wood,DEF,2,0,10,9,3,3,1,33.3,2019,Finals Week 1
112,88,Lewis Young,KEYD,2,0,9,9,8,5,1,20,2019,Finals Week 1
113,114,Marcus Adams,KEYD,1,0,11,6,6,5,2,40,2019,Finals Week 1
114,114,Patrick Ambrose,KEYD,1,0,3,3,5,6,1,16.7,2019,Finals Week 1
115,114,Zac Bailey,DEF,1,0,9,5,2,2,0,0,2019,Finals Week 1
116,114,Liam Baker,DEF,1,0,11,7,1,2,1,50,2019,Finals Week 1
117,114,Tom Barrass,KEYD,1,0,1,0,4,2,0,0,2019,Finals Week 1
118,114,Tom Bellchambers,RUC,1,0,6,3,2,1,1,100,2019,Finals Week 1
119,114,Zaine Cordy,KEYD,1,0,11,11,7,4,1,25,2019,Finals Week 1
120,114,Aidan Corr,KEYD,1,0,4,3,4,2,0,0,2019,Finals Week 1
121,114,Bailey Dale,FWD,1,1,13,3,0,0,0,0,2019,Finals Week 1
122,114,Jack Darling,KEYF,1,1,22,0,2,0,0,0,2019,Finals Week 1
123,114,Andrew Gaff,MID,1,0,15,8,0,0,0,0,2019,Finals Week 1
124,114,Dylan Grimes,KEYD,1,0,3,3,1,5,1,20,2019,Finals Week 1
125,114,Tom Hawkins,KEYF,1,1,5,0,2,0,0,0,2019,Finals Week 1
126,114,Nick Haynes,DEF,1,0,5,2,3,3,1,33.3,2019,Finals Week 1
127,114,Jack Henry,DEF,1,0,3,3,9,4,0,0,2019,Finals Week 1
128,114,Luke Hodge,DEF,1,0,7,5,5,5,1,20,2019,Finals Week 1
129,114,Will Hoskin-Elliott,FWD,1,0,9,4,1,0,0,0,2019,Finals Week 1
130,114,Bachar Houli,DEF,1,0,18,17,1,0,0,0,2019,Finals Week 1
131,114,Jeremy Howe,KEYD,1,0,6,4,4,1,0,0,2019,Finals Week 1
132,114,Shannon Hurn,DEF,1,0,4,4,3,1,1,100,2019,Finals Week 1
133,114,Mark Hutchings,MID,1,0,14,7,0,0,0,0,2019,Finals Week 1
134,114,Lewis Jetta,DEF,1,0,9,7,3,2,2,100,2019,Finals Week 1
135,114,Adam Kennedy,DEF,1,0,9,7,0,1,1,100,2019,Finals Week 1
136,114,Josh J. Kennedy,KEYF,1,1,6,1,0,0,0,0,2019,Finals Week 1
137,114,Patrick Lipinski,FWD,1,0,9,5,0,0,0,0,2019,Finals Week 1
138,114,Daniel Lloyd,FWD,1,0,10,2,1,0,0,0,2019,Finals Week 1
139,114,Sam Lloyd,FWD,1,0,14,6,0,0,0,0,2019,Finals Week 1
140,114,Tom J. Lynch,KEYF,1,1,9,0,2,0,0,0,2019,Finals Week 1
141,114,Andrew McGrath,MID,1,0,11,6,2,1,0,0,2019,Finals Week 1
142,114,Gryan Miers,FWD,1,0,11,3,1,0,0,0,2019,Finals Week 1
143,114,Quinton Narkle,MID,1,0,11,4,0,0,0,0,2019,Finals Week 1
144,114,Lachie Neale,MID,1,0,19,10,0,0,0,0,2019,Finals Week 1
145,114,Jackson Nelson,DEF,1,0,5,3,0,1,0,0,2019,Finals Week 1
146,114,Sam J. Reid,DEF,1,0,21,8,1,0,0,0,2019,Finals Week 1
147,114,Daniel Rich,DEF,1,0,15,8,3,2,1,50,2019,Finals Week 1
