,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Brandan Parfitt,MID,9,1,18,7,0,1,1,100,2020,Semi Finals
1,2,Dan Butler,FWD,6,4,21,2,0,0,0,0,2020,Semi Finals
2,2,Nick Vlastuin,DEF,6,0,13,11,3,0,0,0,2020,Semi Finals
3,4,Taylor Adams,MID,5,1,18,8,1,0,0,0,2020,Semi Finals
4,4,Jack Crisp,DEF,5,1,18,10,3,1,0,0,2020,Semi Finals
5,4,Isaac Quaynor,DEF,5,0,16,13,1,1,1,100,2020,Semi Finals
6,7,Josh Daicos,MID,4,0,8,3,1,0,0,0,2020,Semi Finals
7,7,Jarryn Geary,DEF,4,0,14,6,0,0,0,0,2020,Semi Finals
8,7,Dylan Grimes,KEYD,4,0,11,9,8,4,1,25,2020,Semi Finals
9,7,Kane Lambert,FWD,4,1,22,9,0,0,0,0,2020,Semi Finals
10,7,Chris Mayne,MID,4,0,11,8,0,1,0,0,2020,Semi Finals
11,7,Toby Nankervis,RUC,4,1,11,3,2,0,0,0,2020,Semi Finals
12,7,Mark O'Connor,DEF,4,0,7,5,1,0,0,0,2020,Semi Finals
13,7,Joel Selwood,MID,4,0,15,10,2,0,0,0,2020,Semi Finals
14,7,Sam Simpson,FWD,4,1,10,0,0,0,0,0,2020,Semi Finals
15,7,Jack Steele,MID,4,2,23,10,0,0,0,0,2020,Semi Finals
16,7,Adam Treloar,MID,4,0,11,6,0,0,0,0,2020,Semi Finals
17,18,Jed Bews,DEF,3,1,14,11,1,1,0,0,2020,Semi Finals
18,18,Jack Billings,MID,3,2,13,6,0,0,0,0,2020,Semi Finals
19,18,Luke Dahlhaus,FWD,3,0,9,2,0,0,0,0,2020,Semi Finals
20,18,Shane Edwards,MID,3,0,15,4,0,0,0,0,2020,Semi Finals
21,18,Jamie Elliott,FWD,3,2,13,7,0,0,0,0,2020,Semi Finals
22,18,Jack Graham,MID,3,1,25,12,0,0,0,0,2020,Semi Finals
23,18,Levi Greenwood,MID,3,2,6,1,1,0,0,0,2020,Semi Finals
24,18,Cameron Guthrie,MID,3,0,13,8,0,0,0,0,2020,Semi Finals
25,18,Bradley Hill,MID,3,0,18,8,0,0,0,0,2020,Semi Finals
26,18,Zak Jones,MID,3,0,19,11,0,0,0,0,2020,Semi Finals
27,18,Tom J. Lynch,KEYF,3,3,12,1,1,0,0,0,2020,Semi Finals
28,18,Jack Riewoldt,KEYF,3,1,18,4,0,0,0,0,2020,Semi Finals
29,18,Daniel Rioli,FWD,3,2,15,2,1,0,0,0,2020,Semi Finals
30,31,Nathan Broad,DEF,2,0,10,7,3,4,0,0,2020,Semi Finals
31,31,Darcy Cameron,KEYF,2,0,9,5,1,0,0,0,2020,Semi Finals
32,31,Jason Castagna,FWD,2,0,10,1,0,0,0,0,2020,Semi Finals
33,31,Hunter Clark,DEF,2,0,16,11,0,0,0,0,2020,Semi Finals
34,31,Mitch Duncan,MID,2,0,2,2,0,0,0,0,2020,Semi Finals
