,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Josh Dunkley,MID,9,4,19,4,0,0,0,0,2024,Opening Round
1,1,Lachie Fogarty,FWD,9,5,16,5,0,0,0,0,2024,Opening Round
2,1,Jarryd Lyons,MID,9,0,23,12,0,0,0,0,2024,Opening Round
3,1,Tom Sparrow,FWD,9,0,31,11,0,0,0,0,2024,Opening Round
4,5,Oliver Hollands,MID,8,3,29,18,0,0,0,0,2024,Opening Round
5,6,Isaac Heeney,MID,7,1,26,12,2,0,0,0,2024,Opening Round
6,6,James Jordon,FWD,7,2,19,7,1,0,0,0,2024,Opening Round
7,6,James Rowbottom,MID,7,2,29,14,0,0,0,0,2024,Opening Round
8,6,Jack Viney,MID,7,4,30,14,0,0,0,0,2024,Opening Round
9,10,Jack Crisp,DEF,6,0,23,12,0,0,0,0,2024,Opening Round
10,10,Robbie Fox,KEYF,6,4,20,4,3,0,0,0,2024,Opening Round
11,10,Tom Green,MID,6,0,28,24,0,0,0,0,2024,Opening Round
12,10,Brodie Grundy,RUC,6,0,17,4,3,1,1,100,2024,Opening Round
13,10,Oscar McInerney,RUC,6,1,19,12,2,0,0,0,2024,Opening Round
14,10,Alex Neal-Bullen,FWD,6,3,20,12,1,0,0,0,2024,Opening Round
15,10,Cam Rayner,FWD,6,1,17,4,0,0,0,0,2024,Opening Round
16,10,Lachie Schultz,FWD,6,3,20,6,1,0,0,0,2024,Opening Round
17,10,Dayne Zorko,FWD,6,1,20,10,0,0,0,0,2024,Opening Round
18,19,Zac Bailey,FWD,5,2,20,6,1,0,0,0,2024,Opening Round
19,19,Darcy Cameron,RUC,5,4,15,7,1,1,0,0,2024,Opening Round
20,19,David Cuningham,FWD,5,3,18,7,0,0,0,0,2024,Opening Round
21,19,Josh Daicos,MID,5,1,16,8,0,0,0,0,2024,Opening Round
22,19,George Hewett,MID,5,1,17,5,0,0,0,0,2024,Opening Round
23,19,Brayden Maynard,DEF,5,0,17,14,0,1,0,0,2024,Opening Round
24,19,Matt Rowell,MID,5,0,19,11,1,0,0,0,2024,Opening Round
25,26,Lachie Ash,DEF,4,0,13,7,3,0,0,0,2024,Opening Round
26,26,Seth Campbell,FWD,4,0,17,8,0,0,0,0,2024,Opening Round
27,26,Adam Cerra,MID,4,1,30,21,0,0,0,0,2024,Opening Round
28,26,Nick Daicos,MID,4,1,32,13,0,0,0,0,2024,Opening Round
29,26,Max Gawn,RUC,4,1,11,5,0,1,1,100,2024,Opening Round
30,26,Beau McCreery,FWD,4,4,25,7,0,0,0,0,2024,Opening Round
31,26,Mitch McGovern,DEF,4,0,10,7,5,2,1,50,2024,Opening Round
32,26,Justin McInerney,FWD,4,0,15,9,0,0,0,0,2024,Opening Round
33,26,Touk Miller,MID,4,0,22,14,0,0,0,0,2024,Opening Round
34,26,Jayden Short,DEF,4,0,8,7,2,1,0,0,2024,Opening Round
35,26,Tim Taranto,MID,4,1,22,10,1,0,0,0,2024,Opening Round
36,26,Caleb Windsor,MID,4,0,20,12,1,0,0,0,2024,Opening Round
37,38,Callum Ah Chee,MID,3,0,9,9,1,1,0,0,2024,Opening Round
38,38,Sam Banks,MID,3,0,20,18,0,2,1,50,2024,Opening Round
39,38,Toby Bedford,FWD,3,0,16,6,1,0,0,0,2024,Opening Round
40,38,Thomas Berry,FWD,3,1,9,0,2,0,0,0,2024,Opening Round
41,38,Jordan Boyd,DEF,3,0,14,14,5,2,1,50,2024,Opening Round
42,38,Kieren Briggs,RUC,3,0,12,8,3,0,0,0,2024,Opening Round
43,38,Nathan Broad,DEF,3,0,10,9,4,1,0,0,2024,Opening Round
44,38,Charlie Cameron,FWD,3,0,12,2,0,0,0,0,2024,Opening Round
45,38,Kade Chandler,FWD,3,3,20,7,1,0,0,0,2024,Opening Round
46,38,Harry Cunningham,DEF,3,0,15,12,4,1,0,0,2024,Opening Round
47,38,Tom De Koning,RUC,3,1,14,8,0,0,0,0,2024,Opening Round
48,38,Thomson Dow,MID,3,0,25,4,0,0,0,0,2024,Opening Round
49,38,Jamie Elliott,FWD,3,3,18,2,0,0,0,0,2024,Opening Round
50,38,Brandon Ellis,MID,3,0,7,1,0,0,0,0,2024,Opening Round
51,38,Brayden Fiorini,MID,3,1,20,11,1,0,0,0,2024,Opening Round
52,38,Sam Flanders,MID,3,0,10,4,0,0,0,0,2024,Opening Round
53,38,Bayley Fritsch,FWD,3,3,11,1,1,0,0,0,2024,Opening Round
54,38,Bobby Hill,FWD,3,2,14,3,0,0,0,0,2024,Opening Round
55,38,Blake Howes,DEF,3,0,12,11,3,4,0,0,2024,Opening Round
56,38,Josh Kelly,MID,3,1,23,12,0,0,0,0,2024,Opening Round
57,38,Jacob Koschitzke,KEYF,3,1,6,1,2,0,0,0,2024,Opening Round
