,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Travis Boak,MID,33,16,17,6,69.7,3,2,10,62.5,0.9,23,2014,Preliminary Finals
1,2,Will Langford,MID,29,9,20,0,58.6,2,2,4,44.4,0.5,17,2014,Preliminary Finals
2,3,Ben Cunnington,MID,28,14,14,4,50,5,1,3,21.4,1,14,2014,Preliminary Finals
3,4,Luke Hodge,MID,27,19,8,3,70.4,4,2,12,63.2,2.4,19,2014,Preliminary Finals
4,4,Josh P. Kennedy,MID,27,12,15,4,66.7,1,0,5,41.7,0.8,18,2014,Preliminary Finals
5,6,Sam Mitchell,MID,26,16,10,4,57.7,2,1,10,62.5,1.6,15,2014,Preliminary Finals
6,6,Luke Parker,FWD,26,9,17,2,92.3,2,1,7,77.8,0.5,24,2014,Preliminary Finals
7,8,Brad Ebert,MID,25,14,11,3,68,5,0,7,50,1.3,17,2014,Preliminary Finals
8,8,Robbie Gray,FWD,25,9,16,2,76,6,1,5,55.6,0.6,19,2014,Preliminary Finals
9,10,Nick Dal Santo,FWD,24,7,17,2,79.2,1,4,4,57.1,0.4,19,2014,Preliminary Finals
10,11,Lance Franklin,KEYF,23,18,5,6,73.9,3,0,13,72.2,3.6,17,2014,Preliminary Finals
11,11,Kieren Jack,MID,23,13,10,5,73.9,4,2,8,61.5,1.3,17,2014,Preliminary Finals
12,11,Gary Rohan,DEF,23,12,11,6,78.3,2,3,8,66.7,1.1,18,2014,Preliminary Finals
13,14,Alipate Carlile,KEYD,22,6,16,0,63.6,0,2,3,50,0.4,14,2014,Preliminary Finals
14,14,Dan Hannebery,MID,22,8,14,5,77.3,4,1,4,50,0.6,17,2014,Preliminary Finals
15,14,Bradley Hill,FWD,22,13,9,4,86.4,3,2,11,84.6,1.4,19,2014,Preliminary Finals
16,14,Jordan Lewis,MID,22,8,14,2,90.9,0,4,7,87.5,0.6,20,2014,Preliminary Finals
17,14,Sam Wright,DEF,22,13,9,1,63.6,4,5,7,53.8,1.4,14,2014,Preliminary Finals
18,19,Kane Cornes,MID,21,8,13,1,61.9,1,0,6,75,0.6,13,2014,Preliminary Finals
19,19,Levi Greenwood,MID,21,13,8,4,71.4,3,1,9,69.2,1.6,15,2014,Preliminary Finals
20,21,Michael Firrito,DEF,20,9,11,2,85,3,9,9,100,0.8,17,2014,Preliminary Finals
21,21,Paul Puopolo,FWD,20,6,14,0,65,1,0,3,50,0.4,13,2014,Preliminary Finals
22,21,Jay Schulz,KEYF,20,10,10,2,55,0,0,6,60,1,11,2014,Preliminary Finals
23,21,Rhyce Shaw,DEF,20,14,6,0,55,1,5,6,42.9,2.3,11,2014,Preliminary Finals
24,21,Matthew Suckling,DEF,20,14,6,3,80,1,2,12,85.7,2.3,16,2014,Preliminary Finals
25,26,Shaun Atley,DEF,19,10,9,3,73.7,1,2,7,70,1.1,14,2014,Preliminary Finals
26,26,Sam Gibson,MID,19,9,10,2,78.9,2,2,7,77.8,0.9,15,2014,Preliminary Finals
27,26,Brent Harvey,FWD,19,13,6,4,78.9,0,4,10,76.9,2.2,15,2014,Preliminary Finals
28,26,Ben McGlynn,MID,19,12,7,6,73.7,1,1,8,66.7,1.7,14,2014,Preliminary Finals
29,26,Jasper Pittard,DEF,19,14,5,2,84.2,0,4,12,85.7,2.8,16,2014,Preliminary Finals
30,26,Jared Polec,MID,19,11,8,5,63.2,2,0,8,72.7,1.4,12,2014,Preliminary Finals
31,26,Isaac Smith,FWD,19,12,7,4,73.7,0,2,10,83.3,1.7,14,2014,Preliminary Finals
32,26,Ollie Wines,MID,19,10,9,3,57.9,5,1,3,30,1.1,11,2014,Preliminary Finals
33,34,Matthew Broadbent,DEF,18,5,13,2,61.1,2,1,2,40,0.4,11,2014,Preliminary Finals
34,34,Nick Malceski,DEF,18,16,2,6,61.1,2,4,9,56.3,8,11,2014,Preliminary Finals
35,34,Liam Shiels,MID,18,12,6,5,55.6,3,0,5,41.7,2,10,2014,Preliminary Finals
36,34,Andrew Swallow,MID,18,10,8,1,66.7,4,2,5,50,1.3,12,2014,Preliminary Finals
37,38,Adam Goodes,FWD,17,10,7,6,82.4,0,1,8,80,1.4,14,2014,Preliminary Finals
38,38,Hamish Hartlett,FWD,17,13,4,2,76.5,2,4,10,76.9,3.3,13,2014,Preliminary Finals
39,38,Jarryd Roughead,KEYF,17,12,5,2,70.6,1,0,9,75,2.4,12,2014,Preliminary Finals
40,41,Grant Birchall,DEF,16,9,7,0,75,1,2,6,66.7,1.3,12,2014,Preliminary Finals
41,41,Jack Gunston,FWD,16,9,7,2,75,1,1,8,88.9,1.3,12,2014,Preliminary Finals
42,41,Justin Westhoff,KEYF,16,8,8,6,68.8,2,0,3,37.5,1,11,2014,Preliminary Finals
43,44,Luke Breust,FWD,15,5,10,5,86.7,2,1,5,100,0.5,13,2014,Preliminary Finals
44,44,David Hale,RUC,15,5,10,1,66.7,2,0,4,80,0.5,10,2014,Preliminary Finals
45,44,Drew Petrie,KEYF,15,14,1,5,53.3,3,0,7,50,14,8,2014,Preliminary Finals
46,44,Lindsay Thomas,FWD,15,6,9,2,80,0,0,3,50,0.7,12,2014,Preliminary Finals
47,44,Kurt Tippett,KEYF,15,10,5,3,80,3,0,7,70,2,12,2014,Preliminary Finals
48,44,Daniel Wells,MID,15,9,6,2,66.7,2,3,4,44.4,1.5,10,2014,Preliminary Finals
49,44,Jack Ziebell,MID,15,5,10,2,66.7,5,0,3,60,0.5,10,2014,Preliminary Finals
50,51,Harry Cunningham,FWD,14,7,7,3,71.4,0,1,5,71.4,1,10,2014,Preliminary Finals
51,51,Jake Lloyd,FWD,14,6,8,3,85.7,1,1,5,83.3,0.8,12,2014,Preliminary Finals
