,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Andrew Gaff,MID,34,23,11,6,70.6,6,5,14,60.9,2.1,24,2017,Finals Week 1
1,2,Josh Kelly,MID,33,17,16,7,66.7,7,3,8,47.1,1.1,22,2017,Finals Week 1
2,2,Matthew Priddis,MID,33,17,16,7,72.7,5,3,10,58.8,1.1,24,2017,Finals Week 1
3,4,Luke Shuey,MID,32,17,15,2,68.8,3,2,11,64.7,1.1,22,2017,Finals Week 1
4,4,Callan Ward,MID,32,24,8,4,68.8,4,2,16,66.7,3,22,2017,Finals Week 1
5,6,Matt Crouch,MID,31,15,16,4,80.6,4,2,11,73.3,0.9,25,2017,Finals Week 1
6,6,Patrick Dangerfield,MID,31,16,15,1,45.2,9,2,5,31.3,1.1,14,2017,Finals Week 1
7,6,Dion Prestia,MID,31,18,13,6,48.4,5,0,7,38.9,1.4,15,2017,Finals Week 1
8,9,Robbie Gray,FWD,30,12,18,2,80,5,1,10,83.3,0.7,24,2017,Finals Week 1
9,9,Michael Hurley,KEYD,30,16,14,1,83.3,2,4,13,81.3,1.1,25,2017,Finals Week 1
10,11,Mitch Duncan,MID,29,15,14,1,65.5,3,2,7,46.7,1.1,19,2017,Finals Week 1
11,11,Josh P. Kennedy,MID,29,11,18,4,79.3,5,0,8,72.7,0.6,23,2017,Finals Week 1
12,13,Dustin Martin,MID,28,18,10,9,75,3,1,11,61.1,1.8,21,2017,Finals Week 1
13,13,Ollie Wines,MID,28,9,19,2,67.9,3,0,7,77.8,0.5,19,2017,Finals Week 1
14,15,Stephen Coniglio,MID,27,15,12,3,77.8,1,1,11,73.3,1.3,21,2017,Finals Week 1
15,15,Brad Crouch,MID,27,16,11,11,77.8,3,1,11,68.8,1.5,21,2017,Finals Week 1
16,15,Luke Parker,MID,27,15,12,6,63,4,0,7,46.7,1.3,17,2017,Finals Week 1
17,15,Scott Selwood,MID,27,12,15,8,66.7,2,0,7,58.3,0.8,18,2017,Finals Week 1
18,15,Zach Tuohy,DEF,27,16,11,2,63,4,6,9,56.3,1.5,17,2017,Finals Week 1
19,20,Travis Boak,FWD,26,14,12,4,69.2,2,2,8,57.1,1.2,18,2017,Finals Week 1
20,20,Sam Mitchell,MID,26,12,14,3,76.9,5,2,8,66.7,0.9,20,2017,Finals Week 1
21,20,Tom Scully,MID,26,7,19,2,69.2,4,1,4,57.1,0.4,18,2017,Finals Week 1
22,23,Martin Gleeson,DEF,25,16,9,2,84,2,4,13,81.3,1.8,21,2017,Finals Week 1
23,23,Brendon Goddard,MID,25,11,14,1,84,4,0,9,81.8,0.8,21,2017,Finals Week 1
24,23,Jake Lloyd,DEF,25,16,9,1,84,3,2,13,81.3,1.8,21,2017,Finals Week 1
25,23,Tom Lynch,FWD,25,15,10,2,72,1,1,13,86.7,1.5,18,2017,Finals Week 1
26,23,Jeremy McGovern,KEYD,25,18,7,2,76,1,3,16,88.9,2.6,19,2017,Finals Week 1
27,23,Jared Polec,MID,25,19,6,6,60,5,1,10,52.6,3.2,15,2017,Finals Week 1
28,29,Karl Amon,MID,24,14,10,2,70.8,3,3,9,64.3,1.4,17,2017,Finals Week 1
29,29,Darcy Byrne-Jones,DEF,24,12,12,3,87.5,3,1,9,75,1,21,2017,Finals Week 1
30,29,Shane Edwards,FWD,24,11,13,4,58.3,4,3,6,54.5,0.8,14,2017,Finals Week 1
31,29,Dyson Heppell,MID,24,15,9,4,62.5,4,4,8,53.3,1.7,15,2017,Finals Week 1
32,29,Kane Lambert,FWD,24,12,12,6,66.7,1,0,5,41.7,1,16,2017,Finals Week 1
33,29,Chad Wingard,FWD,24,13,11,0,70.8,4,1,7,53.8,1.2,17,2017,Finals Week 1
34,35,Charlie Dixon,KEYF,23,18,5,4,52.2,2,0,9,50,3.6,12,2017,Finals Week 1
35,35,Heath Shaw,DEF,23,18,5,1,69.6,5,10,11,61.1,3.6,16,2017,Finals Week 1
36,37,Brad Ebert,MID,22,6,16,2,63.6,8,0,1,16.7,0.4,14,2017,Finals Week 1
37,37,Heath Grundy,KEYD,22,10,12,1,90.9,2,1,9,90,0.8,20,2017,Finals Week 1
38,37,Andrew McGrath,DEF,22,9,13,2,59.1,2,1,4,44.4,0.7,13,2017,Finals Week 1
39,40,Trent Cotchin,MID,21,13,8,2,61.9,5,1,7,53.8,1.6,13,2017,Finals Week 1
40,40,Dan Hannebery,MID,21,8,13,3,85.7,1,0,7,87.5,0.6,18,2017,Finals Week 1
41,40,Hamish Hartlett,DEF,21,13,8,4,76.2,1,1,9,69.2,1.6,16,2017,Finals Week 1
42,40,Zak Jones,MID,21,19,2,3,85.7,4,3,16,84.2,9.5,18,2017,Finals Week 1
43,40,Jarrad McVeigh,DEF,21,17,4,4,95.2,1,6,16,94.1,4.3,20,2017,Finals Week 1
44,40,Zach Merrett,MID,21,12,9,1,76.2,1,1,9,75,1.3,16,2017,Finals Week 1
45,40,Darcy Parish,FWD,21,7,14,2,66.7,5,0,3,42.9,0.5,14,2017,Finals Week 1
46,40,Jack Redden,MID,21,10,11,2,66.7,5,2,5,50,0.9,14,2017,Finals Week 1
47,40,Justin Westhoff,MID,21,11,10,3,71.4,2,4,6,54.5,1.1,15,2017,Finals Week 1
48,40,David Zaharakis,MID,21,10,11,1,76.2,2,2,5,50,0.9,16,2017,Finals Week 1
49,50,Luke Brown,DEF,20,12,8,0,70,1,7,8,66.7,1.5,14,2017,Finals Week 1
50,50,Travis Colyer,MID,20,14,6,1,75,2,2,9,64.3,2.3,15,2017,Finals Week 1
51,50,Richard Douglas,MID,20,15,5,3,55,4,4,7,46.7,3,11,2017,Finals Week 1
52,50,Bachar Houli,DEF,20,14,6,2,55,2,2,8,57.1,2.3,11,2017,Finals Week 1
53,50,Jobe Watson,MID,20,7,13,2,60,4,0,2,28.6,0.5,12,2017,Finals Week 1
54,50,Zac Williams,DEF,20,14,6,4,60,4,2,7,50,2.3,12,2017,Finals Week 1
55,50,Elliot Yeo,DEF,20,14,6,0,80,1,7,10,71.4,2.3,16,2017,Finals Week 1
56,57,Riley Bonner,DEF,19,10,9,2,84.2,0,4,9,90,1.1,16,2017,Finals Week 1
57,57,Harry Cunningham,FWD,19,9,10,3,68.4,4,0,4,44.4,0.9,13,2017,Finals Week 1
58,57,Hugh Greenwood,MID,19,13,6,1,52.6,3,1,6,46.2,2.2,10,2017,Finals Week 1
59,57,Shaun Grigg,MID,19,16,3,2,36.8,6,1,5,31.3,5.3,7,2017,Finals Week 1
60,57,George Hewett,FWD,19,7,12,2,73.7,2,0,4,57.1,0.6,14,2017,Finals Week 1
61,57,Shannon Hurn,DEF,19,16,3,3,89.5,3,3,14,87.5,5.3,17,2017,Finals Week 1
62,57,Kieren Jack,FWD,19,14,5,3,57.9,1,1,7,50,2.8,11,2017,Finals Week 1
63,57,David Mackay,MID,19,13,6,2,63.2,2,3,7,53.8,2.2,12,2017,Finals Week 1
64,57,Andrew Mackie,DEF,19,13,6,3,63.2,5,3,7,53.8,2.2,12,2017,Finals Week 1
65,57,Jake Neade,FWD,19,8,11,3,52.6,3,2,2,25,0.7,10,2017,Finals Week 1
66,57,Sam Powell-Pepper,MID,19,10,9,5,68.4,4,0,5,50,1.1,13,2017,Finals Week 1
67,57,Joel Selwood,MID,19,6,13,2,78.9,3,3,4,66.7,0.5,15,2017,Finals Week 1
68,57,Dom Sheed,MID,19,13,6,3,68.4,1,1,9,69.2,2.2,13,2017,Finals Week 1
69,57,Nick Vlastuin,DEF,19,16,3,3,78.9,2,5,12,75,5.3,15,2017,Finals Week 1
70,71,Jacob Hopper,MID,18,5,13,1,50,3,0,2,40,0.4,9,2017,Finals Week 1
71,71,Dan Houston,DEF,18,8,10,4,77.8,2,2,6,75,0.8,14,2017,Finals Week 1
72,71,Steven Motlop,FWD,18,10,8,4,61.1,5,2,3,30,1.3,11,2017,Finals Week 1
