,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Shane Edwards,MID,27,15,12,4,51.9,5,2,5,33.3,1.3,14,2020,Grand Final
1,2,Mitch Duncan,MID,25,19,6,4,64,2,3,12,63.2,3.2,16,2020,Grand Final
2,2,Jayden Short,DEF,25,18,7,7,72,2,7,14,77.8,2.6,18,2020,Grand Final
3,4,Dustin Martin,FWD,21,16,5,5,66.7,2,0,11,68.8,3.2,14,2020,Grand Final
4,4,Joel Selwood,MID,21,14,7,4,52.4,3,0,4,28.6,2,11,2020,Grand Final
5,6,Tom Stewart,DEF,20,16,4,1,65,2,10,10,62.5,4,13,2020,Grand Final
6,7,Trent Cotchin,MID,19,13,6,3,52.6,5,3,5,38.5,2.2,10,2020,Grand Final
7,8,Jack Graham,MID,17,7,10,3,70.6,3,2,3,42.9,0.7,12,2020,Grand Final
8,9,Shai Bolton,MID,16,11,5,3,56.3,1,1,5,45.5,2.2,9,2020,Grand Final
9,10,Liam Baker,DEF,14,10,4,4,85.7,4,3,8,80,2.5,12,2020,Grand Final
10,10,Luke Dahlhaus,FWD,14,7,7,3,64.3,4,1,3,42.9,1,9,2020,Grand Final
11,10,Cameron Guthrie,MID,14,12,2,3,71.4,1,1,8,66.7,6,10,2020,Grand Final
12,10,Jack Henry,DEF,14,8,6,0,50,5,3,3,37.5,1.3,7,2020,Grand Final
13,10,Gryan Miers,FWD,14,10,4,4,85.7,1,0,8,80,2.5,12,2020,Grand Final
14,10,Marlion Pickett,MID,14,6,8,2,42.9,4,4,2,33.3,0.8,6,2020,Grand Final
15,10,Dion Prestia,MID,14,7,7,3,57.1,5,1,4,57.1,1,8,2020,Grand Final
16,10,Rhys Stanley,RUC,14,10,4,2,28.6,2,2,2,20,2.5,4,2020,Grand Final
17,10,Zach Tuohy,MID,14,6,8,0,64.3,1,1,2,33.3,0.8,9,2020,Grand Final
18,19,Mark Blicavs,KEYD,13,4,9,1,69.2,6,1,2,50,0.4,9,2020,Grand Final
19,19,Kane Lambert,FWD,13,6,7,2,69.2,2,0,4,66.7,0.9,9,2020,Grand Final
20,19,Kamdyn McIntosh,MID,13,8,5,3,61.5,3,0,4,50,1.6,8,2020,Grand Final
21,19,Sam Menegola,MID,13,10,3,2,84.6,1,3,9,90,3.3,11,2020,Grand Final
22,23,Gary Ablett,FWD,12,4,8,4,66.7,0,0,3,75,0.5,8,2020,Grand Final
23,23,Noah Balta,KEYD,12,9,3,2,50,4,1,5,55.6,3,6,2020,Grand Final
24,23,Patrick Dangerfield,MID,12,7,5,2,66.7,2,1,3,42.9,1.4,8,2020,Grand Final
25,23,Sam Simpson,FWD,12,3,9,2,66.7,1,0,2,66.7,0.3,8,2020,Grand Final
26,27,Jason Castagna,FWD,11,8,3,3,45.5,1,0,3,37.5,2.7,5,2020,Grand Final
27,27,Bachar Houli,DEF,11,4,7,0,90.9,1,3,3,75,0.6,10,2020,Grand Final
28,29,Tom Hawkins,KEYF,10,3,7,1,50,2,0,1,33.3,0.4,5,2020,Grand Final
29,30,Jed Bews,DEF,9,5,4,1,55.6,4,0,1,20,1.3,5,2020,Grand Final
30,30,Mark O'Connor,DEF,9,3,6,2,55.6,2,3,2,66.7,0.5,5,2020,Grand Final
31,30,Jack Riewoldt,KEYF,9,8,1,2,44.4,3,0,3,37.5,8,4,2020,Grand Final
32,33,Nathan Broad,DEF,8,7,1,0,75,3,2,5,71.4,7,6,2020,Grand Final
33,33,Jake Kolodjashnij,DEF,8,6,2,1,50,1,1,3,50,3,4,2020,Grand Final
34,33,Tom J. Lynch,KEYF,8,7,1,3,37.5,6,0,2,28.6,7,3,2020,Grand Final
35,33,Toby Nankervis,RUC,8,5,3,0,75,2,0,3,60,1.7,6,2020,Grand Final
36,37,David Astbury,KEYD,7,5,2,0,71.4,1,3,4,80,2.5,5,2020,Grand Final
37,37,Lachie Henderson,KEYD,7,5,2,0,85.7,3,4,5,100,2.5,6,2020,Grand Final
38,37,Brandan Parfitt,MID,7,5,2,2,42.9,2,0,2,40,2.5,3,2020,Grand Final
39,37,Harry Taylor,KEYD,7,1,6,0,57.1,3,0,1,100,0.2,4,2020,Grand Final
40,41,Daniel Rioli,FWD,6,1,5,0,83.3,2,0,1,100,0.2,5,2020,Grand Final
41,42,Gary Rohan,FWD,5,3,2,1,40,2,1,1,33.3,1.5,2,2020,Grand Final
42,43,Dylan Grimes,KEYD,4,3,1,0,75,0,1,2,66.7,3,3,2020,Grand Final
43,44,Nick Vlastuin,DEF,1,0,1,0,0,0,0,0,0,0,0,2020,Grand Final
