,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Caleb Serong,MID,34,19,15,4,70.6,4,3,14,73.7,1.3,24,2022,Semi Finals
1,2,Andrew Brayshaw,MID,32,17,15,3,56.3,7,3,6,35.3,1.1,18,2022,Semi Finals
2,3,Daniel Rich,DEF,30,25,5,2,66.7,4,9,16,64,5,20,2022,Semi Finals
3,4,Blake Acres,MID,27,17,10,5,81.5,2,2,16,94.1,1.7,22,2022,Semi Finals
4,4,Lachie Neale,MID,27,11,16,4,63,1,0,4,36.4,0.7,17,2022,Semi Finals
5,4,Christian Petracca,MID,27,13,14,3,51.9,5,1,5,38.5,0.9,14,2022,Semi Finals
6,7,Jarrod Berry,MID,26,13,13,2,76.9,2,3,8,61.5,1,20,2022,Semi Finals
7,8,Nick Daicos,DEF,25,16,9,3,80,4,3,13,81.3,1.8,20,2022,Semi Finals
8,8,Hugh McCluggage,MID,25,15,10,7,68,3,0,8,53.3,1.5,17,2022,Semi Finals
9,10,Jack Crisp,MID,24,14,10,7,58.3,4,2,6,42.9,1.4,14,2022,Semi Finals
10,10,Jordan De Goey,MID,24,18,6,8,70.8,6,0,13,72.2,3,17,2022,Semi Finals
11,10,Ed Langdon,MID,24,16,8,2,62.5,2,3,8,50,2,15,2022,Semi Finals
12,10,Scott Pendlebury,MID,24,8,16,1,75,3,3,6,75,0.5,18,2022,Semi Finals
13,14,Luke Ryan,DEF,23,20,3,1,91.3,1,13,19,95,6.7,21,2022,Semi Finals
14,15,Dayne Zorko,FWD,22,14,8,7,72.7,1,2,10,71.4,1.8,16,2022,Semi Finals
15,16,Patrick Lipinski,FWD,21,11,10,5,61.9,4,3,7,63.6,1.1,13,2022,Semi Finals
16,16,John Noble,DEF,21,14,7,3,81,4,3,11,78.6,2,17,2022,Semi Finals
17,16,Clayton Oliver,MID,21,10,11,6,52.4,4,2,4,40,0.9,11,2022,Semi Finals
18,16,Hayden Young,DEF,21,15,6,1,85.7,2,7,12,80,2.5,18,2022,Semi Finals
19,20,James Harmes,FWD,20,12,8,3,65,1,1,8,66.7,1.5,13,2022,Semi Finals
20,20,Jack Viney,MID,20,14,6,6,45,4,2,6,42.9,2.3,9,2022,Semi Finals
21,22,Keidean Coleman,DEF,19,18,1,3,78.9,2,5,14,77.8,18,15,2022,Semi Finals
22,22,Steele Sidebottom,MID,19,9,10,1,89.5,3,0,9,100,0.9,17,2022,Semi Finals
23,22,Brandon Walker,DEF,19,9,10,0,57.9,6,2,3,33.3,0.9,11,2022,Semi Finals
24,25,Angus Brayshaw,DEF,18,14,4,4,66.7,1,4,9,64.3,3.5,12,2022,Semi Finals
25,25,Jordan Clark,DEF,18,8,10,2,77.8,3,2,8,100,0.8,14,2022,Semi Finals
26,25,David Mundy,MID,18,11,7,4,88.9,3,0,9,81.8,1.6,16,2022,Semi Finals
27,25,Harrison Petty,KEYD,18,9,9,0,83.3,1,7,8,88.9,1,15,2022,Semi Finals
28,29,Will Brodie,MID,17,5,12,1,70.6,4,0,1,20,0.4,12,2022,Semi Finals
29,29,Heath Chapman,DEF,17,8,9,0,88.2,2,2,7,87.5,0.9,15,2022,Semi Finals
30,29,Josh Daicos,MID,17,10,7,4,41.2,4,2,5,50,1.4,7,2022,Semi Finals
31,29,Eric Hipwood,KEYF,17,11,6,5,76.5,7,0,8,72.7,1.8,13,2022,Semi Finals
32,29,Jeremy Howe,KEYD,17,15,2,2,94.1,2,4,14,93.3,7.5,16,2022,Semi Finals
33,29,Steven May,KEYD,17,15,2,3,82.4,4,7,12,80,7.5,14,2022,Semi Finals
34,29,Tom Sparrow,FWD,17,12,5,3,64.7,5,1,6,50,2.4,11,2022,Semi Finals
35,36,Zac Bailey,FWD,16,10,6,0,68.8,2,2,7,70,1.7,11,2022,Semi Finals
36,36,Trent Bianco,FWD,16,11,5,0,75,4,1,8,72.7,2.2,12,2022,Semi Finals
37,38,Jamie Elliott,FWD,15,8,7,3,53.3,4,0,4,50,1.1,8,2022,Semi Finals
38,38,Max Gawn,RUC,15,12,3,3,46.7,6,2,5,41.7,4,7,2022,Semi Finals
39,38,Darcy Moore,KEYD,15,7,8,0,93.3,2,5,7,100,0.9,14,2022,Semi Finals
40,38,Lachie Schultz,FWD,15,10,5,1,86.7,3,0,8,80,2,13,2022,Semi Finals
41,38,Darcy Wilmot,DEF,15,10,5,2,40,2,0,3,30,2,6,2022,Semi Finals
42,43,James Aish,MID,14,8,6,1,50,4,4,3,37.5,1.3,7,2022,Semi Finals
43,43,Michael Hibberd,DEF,14,7,7,1,78.6,0,2,5,71.4,1,11,2022,Semi Finals
44,43,Deven Robertson,FWD,14,8,6,3,78.6,2,1,5,62.5,1.3,11,2022,Semi Finals
45,46,Brennan Cox,KEYD,13,10,3,0,92.3,3,3,9,90,3.3,12,2022,Semi Finals
46,46,Sean Darcy,RUC,13,9,4,3,30.8,6,1,1,11.1,2.3,4,2022,Semi Finals
47,46,Alex Neal-Bullen,FWD,13,11,2,4,69.2,2,0,7,63.6,5.5,9,2022,Semi Finals
48,46,Nathan O'Driscoll,MID,13,6,7,2,61.5,4,1,2,33.3,0.9,8,2022,Semi Finals
49,46,Jack Payne,KEYD,13,12,1,0,69.2,1,6,8,66.7,12,9,2022,Semi Finals
50,51,Jye Amiss,KEYF,12,7,5,4,66.7,1,0,5,71.4,1.4,8,2022,Semi Finals
51,51,Harris Andrews,KEYD,12,10,2,0,100,2,5,10,100,5,12,2022,Semi Finals
52,51,Darcy Fort,RUC,12,12,0,2,41.7,8,3,5,41.7,12,5,2022,Semi Finals
53,51,Will Hoskin-Elliott,FWD,12,8,4,2,50,1,0,3,37.5,2,6,2022,Semi Finals
54,51,Rory Lobb,KEYF,12,10,2,2,66.7,3,0,6,60,5,8,2022,Semi Finals
55,51,Daniel McStay,KEYF,12,10,2,3,58.3,3,0,5,50,5,7,2022,Semi Finals
56,51,Cam Rayner,FWD,12,6,6,0,58.3,1,0,2,33.3,1,7,2022,Semi Finals
57,51,Brandon Starcevich,DEF,12,8,4,3,41.7,4,1,2,25,2,5,2022,Semi Finals
58,59,Darcy Gardiner,KEYD,11,7,4,0,90.9,0,1,6,85.7,1.8,10,2022,Semi Finals
59,59,Jack Ginnivan,FWD,11,9,2,1,54.5,3,0,6,66.7,4.5,6,2022,Semi Finals
60,59,Lincoln McCarthy,FWD,11,5,6,3,72.7,4,0,3,60,0.8,8,2022,Semi Finals
61,59,Christian Salem,DEF,11,8,3,2,63.6,3,2,5,62.5,2.7,7,2022,Semi Finals
62,59,Michael Walters,FWD,11,8,3,3,63.6,2,0,4,50,2.7,7,2022,Semi Finals
63,64,Callum Ah Chee,MID,10,7,3,2,60,0,2,4,57.1,2.3,6,2022,Semi Finals
64,64,Ben Brown,KEYF,10,7,3,2,100,1,0,7,100,2.3,10,2022,Semi Finals
65,64,Darcy Cameron,RUC,10,5,5,0,80,1,0,3,60,1,8,2022,Semi Finals
66,64,Mason Cox,RUC,10,7,3,4,70,3,0,4,57.1,2.3,7,2022,Semi Finals
