,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Tom Green,MID,38,21,17,3,60.5,3,2,11,52.4,1.2,23,2023,Round 8
1,2,Noah Anderson,MID,37,16,21,4,81.1,2,3,11,68.8,0.8,30,2023,Round 8
2,2,Errol Gulden,MID,37,32,5,5,64.9,3,5,19,59.4,6.4,24,2023,Round 8
3,2,Darcy Parish,MID,37,13,24,4,59.5,8,3,7,53.8,0.5,22,2023,Round 8
4,5,Jack Ziebell,DEF,36,30,6,2,94.4,2,9,28,93.3,5,34,2023,Round 8
5,6,Andrew Brayshaw,MID,34,19,15,3,70.6,2,3,13,68.4,1.3,24,2023,Round 8
6,6,Josh Kelly,MID,34,13,21,3,82.4,2,1,8,61.5,0.6,28,2023,Round 8
7,6,Luke Parker,MID,34,14,20,3,64.7,6,3,7,50,0.7,22,2023,Round 8
8,9,Adam Cerra,MID,33,18,15,7,75.8,4,2,12,66.7,1.2,25,2023,Round 8
9,9,Josh Dunkley,MID,33,22,11,3,60.6,8,4,12,54.5,2,20,2023,Round 8
10,11,Marcus Bontempelli,MID,32,20,12,7,59.4,2,0,12,60,1.7,19,2023,Round 8
11,11,Jacob Hopper,MID,32,19,13,9,62.5,9,0,9,47.4,1.5,20,2023,Round 8
12,11,Bailey Smith,FWD,32,14,18,5,75,4,4,10,71.4,0.8,24,2023,Round 8
13,14,Shai Bolton,FWD,31,16,15,5,71,5,0,10,62.5,1.1,22,2023,Round 8
14,14,Callum Mills,MID,31,12,19,2,80.6,5,0,10,83.3,0.6,25,2023,Round 8
15,14,Scott Pendlebury,MID,31,16,15,2,61.3,5,0,8,50,1.1,19,2023,Round 8
16,14,Lachie Whitfield,DEF,31,21,10,3,80.6,0,6,15,71.4,2.1,25,2023,Round 8
17,18,Jamaine Jones,DEF,30,18,12,1,80,2,8,15,83.3,1.5,24,2023,Round 8
18,18,Darcy Macpherson,DEF,30,22,8,3,53.3,7,6,10,45.5,2.8,16,2023,Round 8
19,18,Harry Sheezel,DEF,30,17,13,4,76.7,4,3,15,88.2,1.3,23,2023,Round 8
20,18,Tim Taranto,MID,30,14,16,3,53.3,5,1,5,35.7,0.9,16,2023,Round 8
21,22,Blake Acres,MID,29,14,15,2,75.9,7,3,8,57.1,0.9,22,2023,Round 8
22,22,Jarrod Berry,MID,29,17,12,3,75.9,2,5,12,70.6,1.4,22,2023,Round 8
23,22,Jordan Dawson,MID,29,18,11,6,82.8,5,0,13,72.2,1.6,24,2023,Round 8
24,22,Sam Docherty,MID,29,18,11,1,72.4,4,4,10,55.6,1.6,21,2023,Round 8
25,22,Oliver Florent,DEF,29,16,13,4,93.1,4,5,15,93.8,1.2,27,2023,Round 8
26,22,Nick Haynes,DEF,29,18,11,0,75.9,1,3,13,72.2,1.6,22,2023,Round 8
27,22,Tim Kelly,MID,29,11,18,3,58.6,9,2,4,36.4,0.6,17,2023,Round 8
28,22,Tom Liberatore,MID,29,13,16,4,65.5,2,1,7,53.8,0.8,19,2023,Round 8
29,22,Jack Macrae,FWD,29,15,14,5,72.4,2,4,10,66.7,1.1,21,2023,Round 8
30,22,Connor Rozee,MID,29,11,18,5,62.1,6,1,5,45.5,0.6,18,2023,Round 8
31,22,Dom Sheed,MID,29,14,15,3,72.4,4,1,10,71.4,0.9,21,2023,Round 8
32,33,Lachie Ash,DEF,28,20,8,4,78.6,4,3,16,80,2.5,22,2023,Round 8
33,33,Zak Butters,MID,28,16,12,6,75,2,1,10,62.5,1.3,21,2023,Round 8
34,33,Connor Idun,DEF,28,13,15,0,85.7,1,2,10,76.9,0.9,24,2023,Round 8
35,33,Zach Merrett,MID,28,16,12,5,50,6,4,7,43.8,1.3,14,2023,Round 8
36,33,Clayton Oliver,MID,28,12,16,5,78.6,1,1,8,66.7,0.8,22,2023,Round 8
37,33,Liam Shiels,MID,28,13,15,5,71.4,4,1,7,53.8,0.9,20,2023,Round 8
38,33,Sam Walsh,MID,28,11,17,3,50,6,1,4,36.4,0.6,14,2023,Round 8
39,33,Nasiah Wanganeen-Milera,DEF,28,20,8,1,82.1,2,5,15,75,2.5,23,2023,Round 8
40,33,Chad Warner,MID,28,14,14,5,75,5,3,12,85.7,1,21,2023,Round 8
41,33,Callum Wilkie,KEYD,28,18,10,1,85.7,6,8,14,77.8,1.8,24,2023,Round 8
42,43,Liam Duggan,DEF,27,20,7,9,63,8,5,10,50,2.9,17,2023,Round 8
43,43,Dustin Martin,FWD,27,16,11,4,63,4,0,10,62.5,1.5,17,2023,Round 8
44,43,Hugh McCluggage,MID,27,15,12,3,66.7,4,3,8,53.3,1.3,18,2023,Round 8
45,43,Luke Ryan,DEF,27,21,6,0,96.3,1,6,21,100,3.5,26,2023,Round 8
46,47,Stephen Coniglio,MID,26,12,14,3,61.5,3,0,3,25,0.9,16,2023,Round 8
47,47,Will Day,MID,26,13,13,3,73.1,5,1,7,53.8,1,19,2023,Round 8
48,47,George Hewett,MID,26,9,17,1,84.6,5,1,6,66.7,0.5,22,2023,Round 8
49,47,Bradley Hill,FWD,26,17,9,8,73.1,6,3,12,70.6,1.9,19,2023,Round 8
50,47,Conor Nash,MID,26,7,19,2,84.6,1,1,4,57.1,0.4,22,2023,Round 8
51,47,Jaeger O'Meara,MID,26,12,14,2,76.9,3,1,9,75,0.9,20,2023,Round 8
52,47,Christian Petracca,MID,26,12,14,8,69.2,4,3,8,66.7,0.9,18,2023,Round 8
53,47,Hayden Young,DEF,26,17,9,6,76.9,2,2,13,76.5,1.9,20,2023,Round 8
54,55,Karl Amon,MID,25,15,10,4,76,2,3,10,66.7,1.5,19,2023,Round 8
55,55,Nick Daicos,MID,25,15,10,3,72,4,2,10,66.7,1.5,18,2023,Round 8
56,55,Luke Davies-Uniacke,MID,25,13,12,6,56,9,2,6,46.2,1.1,14,2023,Round 8
57,55,Dan Houston,DEF,25,20,5,7,76,2,4,16,80,4,19,2023,Round 8
58,55,Wil Powell,DEF,25,18,7,1,68,3,5,13,72.2,2.6,17,2023,Round 8
59,55,Liam Stocker,DEF,25,19,6,4,88,6,4,17,89.5,3.2,22,2023,Round 8
60,55,David Swallow,MID,25,9,16,3,84,3,0,7,77.8,0.6,21,2023,Round 8
61,55,James Worpel,MID,25,16,9,4,48,5,0,5,31.3,1.8,12,2023,Round 8
62,63,Nick Blakey,DEF,24,17,7,2,79.2,3,7,12,70.6,2.4,19,2023,Round 8
63,63,Angus Brayshaw,MID,24,10,14,4,83.3,1,5,6,60,0.7,20,2023,Round 8
64,63,Ryan Byrnes,MID,24,13,11,3,62.5,2,0,7,53.8,1.2,15,2023,Round 8
65,63,Finn Callaghan,MID,24,12,12,4,66.7,4,2,6,50,1,16,2023,Round 8
66,63,Brayden Fiorini,MID,24,17,7,6,66.7,3,2,10,58.8,2.4,16,2023,Round 8
67,63,Robbie Fox,DEF,24,12,12,1,83.3,4,3,10,83.3,1,20,2023,Round 8
68,63,Luke Jackson,RUC,24,12,12,2,58.3,5,0,8,66.7,1,14,2023,Round 8
69,63,Jake Lloyd,DEF,24,18,6,0,91.7,1,6,17,94.4,3,22,2023,Round 8
70,63,Harry Morrison,MID,24,17,7,5,75,5,5,12,70.6,2.4,18,2023,Round 8
71,63,Caleb Serong,MID,24,19,5,9,66.7,1,1,11,57.9,3.8,16,2023,Round 8
72,63,Brodie Smith,DEF,24,16,8,2,75,1,8,14,87.5,2,18,2023,Round 8
73,63,Tom Stewart,DEF,24,17,7,1,66.7,4,4,12,70.6,2.4,16,2023,Round 8
74,63,Adam Treloar,MID,24,10,14,3,75,1,0,7,70,0.7,18,2023,Round 8
75,63,Dylan Williams,DEF,24,17,7,5,87.5,4,4,14,82.4,2.4,21,2023,Round 8
76,77,James Aish,MID,23,12,11,3,82.6,2,0,9,75,1.1,19,2023,Round 8
77,77,Brad Crouch,MID,23,13,10,2,73.9,3,3,8,61.5,1.3,17,2023,Round 8
78,77,Josh Daicos,MID,23,11,12,7,65.2,2,2,7,63.6,0.9,15,2023,Round 8
79,77,Tim English,RUC,23,14,9,0,73.9,4,2,8,57.1,1.6,17,2023,Round 8
80,77,Blake Hardwick,DEF,23,10,13,2,82.6,3,3,7,70,0.8,19,2023,Round 8
81,77,Lachie Hunter,MID,23,13,10,4,78.3,2,0,9,69.2,1.3,18,2023,Round 8
82,77,Justin McInerney,MID,23,12,11,1,87,1,4,11,91.7,1.1,20,2023,Round 8
83,77,Dion Prestia,MID,23,12,11,4,73.9,3,0,8,66.7,1.1,17,2023,Round 8
84,77,Adam Saad,DEF,23,14,9,1,73.9,3,4,9,64.3,1.6,17,2023,Round 8
85,77,Jack Sinclair,DEF,23,12,11,2,87,2,3,10,83.3,1.1,20,2023,Round 8
86,87,Taylor Adams,FWD,22,11,11,2,68.2,2,1,7,63.6,1,15,2023,Round 8
87,87,Rory Atkins,DEF,22,19,3,2,63.6,4,8,12,63.2,6.3,14,2023,Round 8
88,87,Liam Baker,DEF,22,13,9,4,81.8,1,2,10,76.9,1.4,18,2023,Round 8
89,87,Hunter Clark,MID,22,10,12,1,68.2,3,2,5,50,0.8,15,2023,Round 8
90,87,Willem Drew,MID,22,10,12,4,59.1,1,0,5,50,0.8,13,2023,Round 8
