,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Nick Daicos,MID,34,19,15,8,70.6,5,1,12,63.2,1.3,24,2024,Opening Round
1,2,Matt Rowell,MID,33,19,14,3,63.6,5,3,9,47.4,1.4,21,2024,Opening Round
2,2,Lachie Whitfield,DEF,33,24,9,0,78.8,4,10,19,79.2,2.7,26,2024,Opening Round
3,4,Josh Kelly,MID,32,22,10,7,59.4,8,5,11,50,2.2,19,2024,Opening Round
4,5,Tom Green,MID,30,16,14,3,73.3,1,4,9,56.3,1.1,22,2024,Opening Round
5,5,Clayton Oliver,MID,30,18,12,6,70,3,0,10,55.6,1.5,21,2024,Opening Round
6,5,Jack Viney,MID,30,19,11,9,70,7,1,13,68.4,1.7,21,2024,Opening Round
7,8,Stephen Coniglio,MID,28,12,16,5,78.6,6,3,9,75,0.8,22,2024,Opening Round
8,8,Josh Daicos,MID,28,16,12,5,67.9,2,2,9,56.3,1.3,19,2024,Opening Round
9,8,Touk Miller,MID,28,18,10,7,75,3,3,11,61.1,1.8,21,2024,Opening Round
10,8,Wil Powell,DEF,28,20,8,3,82.1,2,4,17,85,2.5,23,2024,Opening Round
11,12,George Hewett,MID,27,15,12,4,70.4,5,2,9,60,1.3,19,2024,Opening Round
12,12,Christian Salem,MID,27,20,7,5,55.6,6,4,11,55,2.9,15,2024,Opening Round
13,14,Nick Blakey,DEF,26,18,8,6,69.2,2,7,13,72.2,2.3,18,2024,Opening Round
14,14,Sam Flanders,MID,26,15,11,7,65.4,3,1,9,60,1.4,17,2024,Opening Round
15,14,Isaac Heeney,MID,26,17,9,8,69.2,2,2,10,58.8,1.9,18,2024,Opening Round
16,14,Patrick Lipinski,FWD,26,12,14,3,65.4,4,3,6,50,0.9,17,2024,Opening Round
17,14,Christian Petracca,MID,26,11,15,3,69.2,3,0,5,45.5,0.7,18,2024,Opening Round
18,14,Chad Warner,MID,26,17,9,12,73.1,7,1,13,76.5,1.9,19,2024,Opening Round
19,20,Noah Anderson,MID,25,16,9,6,76,3,3,10,62.5,1.8,19,2024,Opening Round
20,20,Lachie Ash,DEF,25,14,11,3,84,1,4,13,92.9,1.3,21,2024,Opening Round
21,20,Adam Cerra,MID,25,11,14,2,68,5,0,5,45.5,0.8,17,2024,Opening Round
22,20,Lachie Neale,MID,25,9,16,5,76,1,0,7,77.8,0.6,19,2024,Opening Round
23,24,Harry Himmelberg,KEYD,24,14,10,1,70.8,3,5,10,71.4,1.4,17,2024,Opening Round
24,25,Patrick Cripps,MID,23,8,15,3,73.9,4,0,5,62.5,0.5,17,2024,Opening Round
25,25,Brodie Grundy,RUC,23,12,11,5,43.5,9,1,2,16.7,1.1,10,2024,Opening Round
26,25,Nick Haynes,DEF,23,16,7,3,69.6,3,4,10,62.5,2.3,16,2024,Opening Round
27,25,Jacob Hopper,MID,23,14,9,2,52.2,5,2,8,57.1,1.6,12,2024,Opening Round
28,25,Jayden Short,DEF,23,20,3,1,95.7,1,11,19,95,6.7,22,2024,Opening Round
29,30,Blake Acres,MID,22,12,10,3,77.3,2,1,7,58.3,1.2,17,2024,Opening Round
30,30,Brent Daniels,FWD,22,14,8,4,63.6,9,1,11,78.6,1.8,14,2024,Opening Round
31,32,Connor Budarick,DEF,21,18,3,0,81,3,5,14,77.8,6,17,2024,Opening Round
32,32,Jordan De Goey,MID,21,11,10,4,71.4,6,1,8,72.7,1.1,15,2024,Opening Round
33,32,Josh Dunkley,MID,21,11,10,4,66.7,3,1,7,63.6,1.1,14,2024,Opening Round
34,32,Steven May,KEYD,21,14,7,2,85.7,1,7,13,92.9,2,18,2024,Opening Round
35,32,James Rowbottom,MID,21,12,9,5,57.1,4,2,5,41.7,1.3,12,2024,Opening Round
36,32,Alex Sexton,DEF,21,12,9,2,71.4,5,2,8,66.7,1.3,15,2024,Opening Round
37,32,Darcy Wilmot,DEF,21,17,4,4,66.7,4,5,10,58.8,4.3,14,2024,Opening Round
38,39,Darcy Cameron,RUC,20,15,5,1,55,6,2,10,66.7,3,11,2024,Opening Round
39,39,Errol Gulden,MID,20,16,4,5,55,4,2,7,43.8,4,11,2024,Opening Round
40,39,Justin McInerney,FWD,20,7,13,1,70,4,2,6,85.7,0.5,14,2024,Opening Round
41,39,Judd McVee,DEF,20,14,6,1,80,2,9,12,85.7,2.3,16,2024,Opening Round
42,39,Tom Papley,FWD,20,15,5,4,65,1,1,8,53.3,3,13,2024,Opening Round
43,39,Nick Vlastuin,DEF,20,18,2,1,85,3,7,16,88.9,9,17,2024,Opening Round
44,45,Brayden Fiorini,MID,19,12,7,3,89.5,1,2,10,83.3,1.7,17,2024,Opening Round
45,45,Ed Langdon,MID,19,10,9,5,52.6,4,3,3,30,1.1,10,2024,Opening Round
46,45,Jarryd Lyons,MID,19,10,9,2,78.9,3,0,10,100,1.1,15,2024,Opening Round
47,45,Dane Rampe,KEYD,19,13,6,1,78.9,1,6,10,76.9,2.2,15,2024,Opening Round
48,45,Matt Roberts,DEF,19,16,3,1,94.7,1,3,15,93.8,5.3,18,2024,Opening Round
49,45,Zac Williams,DEF,19,17,2,1,78.9,4,4,13,76.5,8.5,15,2024,Opening Round
50,45,Dayne Zorko,FWD,19,12,7,3,84.2,3,1,9,75,1.7,16,2024,Opening Round
51,52,Jack Crisp,DEF,18,9,9,3,77.8,3,2,6,66.7,1,14,2024,Opening Round
52,52,Harry Cunningham,DEF,18,14,4,2,77.8,1,0,11,78.6,3.5,14,2024,Opening Round
53,52,Oliver Florent,DEF,18,10,8,2,66.7,1,7,6,60,1.3,12,2024,Opening Round
54,52,James Jordon,FWD,18,8,10,4,77.8,3,2,5,62.5,0.8,14,2024,Opening Round
55,52,Hugh McCluggage,MID,18,12,6,4,83.3,3,2,10,83.3,2,15,2024,Opening Round
56,52,Scott Pendlebury,MID,18,10,8,2,72.2,0,0,7,70,1.3,13,2024,Opening Round
57,52,Dion Prestia,FWD,18,9,9,3,77.8,2,3,7,77.8,1,14,2024,Opening Round
58,59,Jarrod Berry,DEF,17,11,6,5,41.2,3,2,3,27.3,1.8,7,2024,Opening Round
59,59,Blake Howes,DEF,17,9,8,1,82.4,3,5,7,77.8,1.1,14,2024,Opening Round
60,59,Mitch McGovern,DEF,17,14,3,1,82.4,1,1,11,78.6,4.7,14,2024,Opening Round
61,59,Trent Rivers,DEF,17,10,7,3,64.7,4,2,4,40,1.4,11,2024,Opening Round
62,59,Steele Sidebottom,MID,17,14,3,7,88.2,3,2,12,85.7,4.7,15,2024,Opening Round
63,64,Callum Ah Chee,MID,16,11,5,1,75,6,1,8,72.7,2.2,12,2024,Opening Round
64,64,Liam Baker,FWD,16,8,8,2,56.3,2,0,4,50,1,9,2024,Opening Round
65,64,Jordan Boyd,DEF,16,14,2,1,87.5,4,5,13,92.9,7,14,2024,Opening Round
66,64,Braeden Campbell,MID,16,12,4,5,75,2,2,9,75,3,12,2024,Opening Round
67,64,Jamie Elliott,FWD,16,9,7,2,50,5,0,4,44.4,1.3,8,2024,Opening Round
68,64,Connor Idun,DEF,16,8,8,1,81.3,1,2,8,100,1,13,2024,Opening Round
69,64,Oleg Markov,DEF,16,5,11,1,81.3,3,1,2,40,0.5,13,2024,Opening Round
70,64,Brayden Maynard,DEF,16,15,1,3,87.5,3,4,13,86.7,15,14,2024,Opening Round
71,64,Nic Newman,DEF,16,15,1,4,62.5,3,5,10,66.7,15,10,2024,Opening Round
72,64,Lachie Schultz,FWD,16,8,8,5,56.3,3,0,3,37.5,1,9,2024,Opening Round
73,64,David Swallow,DEF,16,12,4,5,62.5,4,2,9,75,3,10,2024,Opening Round
74,75,Harris Andrews,KEYD,15,12,3,1,86.7,2,7,10,83.3,4,13,2024,Opening Round
75,75,Zac Bailey,FWD,15,12,3,6,86.7,2,1,10,83.3,4,13,2024,Opening Round
76,75,Noah Balta,KEYF,15,10,5,7,73.3,4,1,7,70,2,11,2024,Opening Round
77,75,Toby Greene,FWD,15,9,6,4,80,5,0,8,88.9,1.5,12,2024,Opening Round
78,75,Brodie Kemp,KEYD,15,6,9,1,80,2,5,4,66.7,0.7,12,2024,Opening Round
79,75,Ryan Lester,KEYD,15,12,3,1,80,3,3,10,83.3,4,12,2024,Opening Round
80,75,Kamdyn McIntosh,MID,15,8,7,0,86.7,4,4,6,75,1.1,13,2024,Opening Round
81,75,Alex Neal-Bullen,FWD,15,6,9,2,66.7,2,1,2,33.3,0.7,10,2024,Opening Round
82,75,Xavier O'Halloran,MID,15,10,5,5,40,10,2,4,40,2,6,2024,Opening Round
83,75,Isaac Quaynor,DEF,15,9,6,3,86.7,2,4,7,77.8,1.5,13,2024,Opening Round
84,75,Cam Rayner,FWD,15,8,7,1,73.3,4,2,4,50,1.1,11,2024,Opening Round
85,75,Daniel Rioli,DEF,15,12,3,5,80,2,5,10,83.3,4,12,2024,Opening Round
86,75,Adam Saad,DEF,15,9,6,0,86.7,2,7,7,77.8,1.5,13,2024,Opening Round
87,75,Tim Taranto,MID,15,10,5,3,53.3,9,1,5,50,2,8,2024,Opening Round
88,75,Sam Taylor,KEYD,15,8,7,0,93.3,2,2,8,100,1.1,14,2024,Opening Round
89,75,Lewis Young,KEYD,15,13,2,0,66.7,1,11,9,69.2,6.5,10,2024,Opening Round
90,91,Charlie Ballard,KEYD,14,12,2,1,78.6,3,2,10,83.3,6,11,2024,Opening Round
91,91,Jake Bowey,DEF,14,13,1,0,78.6,1,6,10,76.9,13,11,2024,Opening Round
92,91,Kieren Briggs,RUC,14,7,7,3,64.3,2,0,3,42.9,1,9,2024,Opening Round
93,91,Sam Collins,KEYD,14,6,8,0,78.6,1,0,3,50,0.8,11,2024,Opening Round
94,91,Matthew Cottrell,FWD,14,9,5,3,71.4,2,0,6,66.7,1.8,10,2024,Opening Round
95,91,Joe Daniher,KEYF,14,11,3,6,50,4,0,4,36.4,3.7,7,2024,Opening Round
96,91,Max Gawn,RUC,14,8,6,0,64.3,6,2,4,50,1.3,9,2024,Opening Round
97,91,Will Hoskin-Elliott,DEF,14,13,1,3,64.3,5,3,8,61.5,13,9,2024,Opening Round
98,91,Brody Mihocek,KEYF,14,8,6,0,57.1,1,0,3,37.5,1.3,8,2024,Opening Round
99,91,Jarrod Witts,RUC,14,11,3,5,64.3,4,0,7,63.6,3.7,9,2024,Opening Round
100,101,Ben Ainsworth,FWD,13,9,4,2,53.8,2,0,5,55.6,2.3,7,2024,Opening Round
101,101,Lachie Fogarty,FWD,13,5,8,4,61.5,1,0,2,40,0.6,8,2024,Opening Round
102,101,Nick Holman,FWD,13,8,5,4,69.2,1,0,4,50,1.6,9,2024,Opening Round
103,101,Jake Lloyd,MID,13,8,5,1,84.6,2,1,6,75,1.6,11,2024,Opening Round
104,101,Lincoln McCarthy,FWD,13,10,3,2,53.8,3,1,6,60,3.3,7,2024,Opening Round
105,101,Oscar McInerney,RUC,13,9,4,4,38.5,7,1,4,44.4,2.3,5,2024,Opening Round
106,101,Harry McKay,KEYF,13,9,4,2,76.9,3,0,7,77.8,2.3,10,2024,Opening Round
107,101,Marlion Pickett,FWD,13,8,5,4,61.5,3,0,3,37.5,1.6,8,2024,Opening Round
108,101,Malcolm Rosas,FWD,13,9,4,0,53.8,3,0,5,55.6,2.3,7,2024,Opening Round
109,101,Tom Sparrow,FWD,13,3,10,2,92.3,6,1,3,100,0.3,12,2024,Opening Round
110,101,Caleb Windsor,MID,13,6,7,0,61.5,2,0,4,66.7,0.9,8,2024,Opening Round
111,112,David Cuningham,FWD,12,5,7,3,75,1,0,2,40,0.7,9,2024,Opening Round
112,112,Brandon Ellis,MID,12,10,2,3,50,3,0,4,40,5,6,2024,Opening Round
113,112,Jesse Hogan,KEYF,12,9,3,1,83.3,2,0,8,88.9,3,10,2024,Opening Round
114,112,Jake Lever,KEYD,12,9,3,2,83.3,3,3,7,77.8,3,10,2024,Opening Round
115,112,Charlie Spargo,FWD,12,5,7,3,75,3,0,3,60,0.7,9,2024,Opening Round
116,112,Adam Tomlinson,KEYD,12,10,2,0,75,0,7,7,70,5,9,2024,Opening Round
117,118,Sam Banks,MID,11,7,4,0,63.6,2,1,5,71.4,1.8,7,2024,Opening Round
118,118,Toby Bedford,FWD,11,5,6,3,72.7,1,0,2,40,0.8,8,2024,Opening Round
119,118,Callum M. Brown,FWD,11,8,3,1,90.9,1,1,8,100,2.7,10,2024,Opening Round
120,118,Kade Chandler,FWD,11,4,7,3,81.8,3,0,3,75,0.6,9,2024,Opening Round
121,118,Charlie Curnow,KEYF,11,11,0,4,72.7,3,2,8,72.7,11,8,2024,Opening Round
122,118,Tom De Koning,RUC,11,5,6,2,72.7,4,1,3,60,0.8,8,2024,Opening Round
