,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Luke Hodge,MID,3,1,65,0,6,82,2012,Grand Final
1,1,Jordan Lewis,FWD,3,1,86,0,4,90,2012,Grand Final
2,3,Luke Breust,FWD,2,0,84,0,3,83,2012,Grand Final
3,3,Lance Franklin,KEYF,2,1,132,1,1,97,2012,Grand Final
4,3,Jack Gunston,FWD,2,0,61,0,1,83,2012,Grand Final
5,3,Jarrad McVeigh,MID,2,1,127,0,3,89,2012,Grand Final
6,3,Sam Mitchell,MID,2,1,79,0,1,87,2012,Grand Final
7,3,Mike Pyke,RUC,2,0,103,0,3,93,2012,Grand Final
8,3,Lewis Roberts-Thomson,KEYF,2,1,78,0,0,97,2012,Grand Final
9,10,Shaun Burgoyne,DEF,1,0,100,0,2,90,2012,Grand Final
10,10,Xavier Ellis,MID,1,0,42,0,1,43,2012,Grand Final
11,10,David Hale,RUC,1,0,92,0,5,85,2012,Grand Final
12,10,Kieren Jack,MID,1,2,92,0,0,78,2012,Grand Final
13,10,Lewis Jetta,FWD,1,1,48,5,3,85,2012,Grand Final
14,10,Shane Mumford,RUC,1,2,42,0,0,63,2012,Grand Final
15,10,Luke Parker,MID,1,1,14,0,0,16,2012,Grand Final
16,10,Cyril Rioli,FWD,1,1,58,1,1,79,2012,Grand Final
17,10,Liam Shiels,MID,1,1,65,1,1,81,2012,Grand Final
18,10,Matthew Suckling,DEF,1,1,67,1,1,76,2012,Grand Final
19,10,Clinton Young,MID,1,0,73,0,1,78,2012,Grand Final
20,21,Grant Birchall,DEF,0,0,50,3,0,82,2012,Grand Final
21,21,Craig Bird,FWD,0,2,79,0,0,82,2012,Grand Final
22,21,Jude Bolton,FWD,0,0,66,0,1,75,2012,Grand Final
23,21,Josh Gibson,KEYD,0,0,46,0,11,100,2012,Grand Final
24,21,Adam Goodes,FWD,0,0,71,1,4,93,2012,Grand Final
25,21,Heath Grundy,KEYD,0,3,43,0,7,97,2012,Grand Final
26,21,Dan Hannebery,MID,0,0,108,0,3,80,2012,Grand Final
27,21,Alex Johnson,DEF,0,0,65,0,1,87,2012,Grand Final
28,21,Josh P. Kennedy,MID,0,3,92,0,1,85,2012,Grand Final
29,21,Nick Malceski,DEF,0,1,91,1,7,80,2012,Grand Final
30,21,Marty Mattner,DEF,0,1,51,0,6,83,2012,Grand Final
31,21,Mitch Morton,FWD,0,1,59,0,2,60,2012,Grand Final
32,21,Ryan O'Keefe,MID,0,0,143,0,2,87,2012,Grand Final
33,21,Paul Puopolo,FWD,0,0,47,0,1,81,2012,Grand Final
34,21,Sam Reid,KEYF,0,0,60,0,5,96,2012,Grand Final
35,21,Ted Richards,KEYD,0,1,52,0,7,98,2012,Grand Final
36,21,Jarryd Roughead,KEYF,0,2,64,0,5,82,2012,Grand Final
37,21,Shane Savage,FWD,0,0,23,0,1,35,2012,Grand Final
38,21,Ryan Schoenmakers,KEYD,0,0,41,0,9,100,2012,Grand Final
39,21,Brad Sewell,MID,0,0,144,0,4,83,2012,Grand Final
40,21,Rhyce Shaw,DEF,0,0,56,3,5,83,2012,Grand Final
41,21,Isaac Smith,MID,0,0,61,3,2,84,2012,Grand Final
42,21,Nick Smith,DEF,0,1,53,0,2,93,2012,Grand Final
43,21,Ben Stratton,KEYD,0,1,35,1,5,98,2012,Grand Final
