,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Joel Selwood,MID,6,4,89,0,1,79,2018,Finals Week 1
1,2,Jeremy McGovern,KEYD,4,1,89,0,8,88,2018,Finals Week 1
2,2,Willie Rioli,FWD,4,0,75,0,2,78,2018,Finals Week 1
3,2,Steele Sidebottom,MID,4,0,98,0,3,90,2018,Finals Week 1
4,2,Jack Viney,MID,4,2,89,0,0,66,2018,Finals Week 1
5,6,James Aish,MID,3,1,71,0,3,84,2018,Finals Week 1
6,6,Jack Darling,KEYF,3,0,70,0,2,96,2018,Finals Week 1
7,6,Neville Jetta,DEF,3,0,43,0,1,78,2018,Finals Week 1
8,6,Ben McEvoy,RUC,3,1,57,0,4,79,2018,Finals Week 1
9,6,Clayton Oliver,MID,3,0,99,0,4,87,2018,Finals Week 1
10,6,Daniel Rioli,FWD,3,1,69,0,1,81,2018,Finals Week 1
11,6,Elliot Yeo,MID,3,3,144,0,3,88,2018,Finals Week 1
12,13,Taylor Adams,MID,2,2,118,1,4,73,2018,Finals Week 1
13,13,Mark Blicavs,KEYD,2,0,68,0,6,93,2018,Finals Week 1
14,13,Shaun Burgoyne,MID,2,1,66,0,1,79,2018,Finals Week 1
15,13,Josh Caddy,FWD,2,1,92,0,0,96,2018,Finals Week 1
16,13,Jeremy Cameron,KEYF,2,0,73,0,1,94,2018,Finals Week 1
17,13,Phil Davis,KEYD,2,0,84,0,6,96,2018,Finals Week 1
18,13,Heath Grundy,KEYD,2,0,64,0,1,79,2018,Finals Week 1
19,13,Dan Hannebery,MID,2,2,98,0,1,73,2018,Finals Week 1
20,13,Tom Hawkins,KEYF,2,2,67,0,1,100,2018,Finals Week 1
21,13,Nick Haynes,DEF,2,0,87,0,12,91,2018,Finals Week 1
22,13,Michael Hibberd,DEF,2,0,58,0,3,84,2018,Finals Week 1
23,13,Jack Higgins,FWD,2,1,84,0,3,72,2018,Finals Week 1
24,13,Jacob Hopper,MID,2,1,107,0,1,73,2018,Finals Week 1
25,13,Will Hoskin-Elliott,FWD,2,0,78,0,3,75,2018,Finals Week 1
26,13,Daniel Howe,MID,2,0,77,0,4,81,2018,Finals Week 1
27,13,Lewis Jetta,DEF,2,0,90,0,5,86,2018,Finals Week 1
28,13,Tim Kelly,FWD,2,1,80,0,0,87,2018,Finals Week 1
29,13,Adam Kennedy,DEF,2,0,65,0,2,89,2018,Finals Week 1
30,13,Jordan Lewis,DEF,2,1,79,0,4,89,2018,Finals Week 1
31,13,Toby Nankervis,RUC,2,1,79,0,5,78,2018,Finals Week 1
32,13,Alex Rance,KEYD,2,1,55,0,8,100,2018,Finals Week 1
33,13,Sam J. Reid,FWD,2,0,54,0,3,82,2018,Finals Week 1
34,13,Dylan Shiel,MID,2,1,89,1,3,81,2018,Finals Week 1
35,13,Harry Taylor,KEYD,2,0,79,0,8,74,2018,Finals Week 1
36,13,Josh Thomas,FWD,2,1,76,0,1,79,2018,Finals Week 1
37,13,Callan Ward,MID,2,4,81,1,1,89,2018,Finals Week 1
38,13,Sam Weideman,KEYF,2,0,118,0,2,85,2018,Finals Week 1
39,13,Lachie Whitfield,DEF,2,0,124,2,1,88,2018,Finals Week 1
40,41,Aliir Aliir,KEYD,1,0,62,0,5,90,2018,Finals Week 1
41,41,Tom Barrass,KEYD,1,0,32,0,13,92,2018,Finals Week 1
42,41,Nathan Broad,DEF,1,1,16,0,3,78,2018,Finals Week 1
43,41,Jason Castagna,FWD,1,0,52,0,1,78,2018,Finals Week 1
44,41,Jonathon Ceglar,RUC,1,0,55,0,4,68,2018,Finals Week 1
45,41,Tom Cole,DEF,1,1,15,0,3,92,2018,Finals Week 1
46,41,Stephen Coniglio,MID,1,1,106,1,1,83,2018,Finals Week 1
47,41,Trent Cotchin,MID,1,3,85,0,4,75,2018,Finals Week 1
48,41,Harry Cunningham,MID,1,0,107,0,1,90,2018,Finals Week 1
49,41,Patrick Dangerfield,FWD,1,6,85,0,3,84,2018,Finals Week 1
50,41,Jordan De Goey,FWD,1,4,50,0,1,87,2018,Finals Week 1
51,41,Brett Deledio,MID,1,2,88,0,1,74,2018,Finals Week 1
52,41,Mitch Duncan,MID,1,1,82,1,1,80,2018,Finals Week 1
53,41,Oliver Florent,MID,1,0,44,0,1,75,2018,Finals Week 1
54,41,James Frawley,KEYD,1,1,58,0,8,97,2018,Finals Week 1
55,41,Bayley Fritsch,FWD,1,0,62,0,3,80,2018,Finals Week 1
56,41,Sam Frost,KEYD,1,3,29,0,2,97,2018,Finals Week 1
57,41,Max Gawn,RUC,1,1,92,0,5,83,2018,Finals Week 1
58,41,Tyson Goldsack,KEYD,1,0,18,0,9,86,2018,Finals Week 1
59,41,Brodie Grundy,RUC,1,0,110,0,6,93,2018,Finals Week 1
60,41,Jack Gunston,KEYF,1,0,70,0,5,91,2018,Finals Week 1
61,41,Cameron Guthrie,DEF,1,1,52,0,1,66,2018,Finals Week 1
62,41,Will Hayward,FWD,1,0,46,0,2,72,2018,Finals Week 1
63,41,Isaac Heeney,FWD,1,2,75,0,1,85,2018,Finals Week 1
64,41,Ricky Henderson,MID,1,1,113,0,1,83,2018,Finals Week 1
65,41,George Hewett,MID,1,2,65,0,0,86,2018,Finals Week 1
66,41,Harry Himmelberg,KEYF,1,1,112,0,0,90,2018,Finals Week 1
67,41,Bachar Houli,DEF,1,0,86,0,4,73,2018,Finals Week 1
68,41,Jarman Impey,DEF,1,1,58,0,1,71,2018,Finals Week 1
69,41,Kane Lambert,FWD,1,2,79,0,2,83,2018,Finals Week 1
70,41,Tom Langdon,DEF,1,2,40,0,10,91,2018,Finals Week 1
71,41,Rory Lobb,RUC,1,1,74,0,9,91,2018,Finals Week 1
72,41,Scott Lycett,RUC,1,2,47,0,4,76,2018,Finals Week 1
73,41,Dustin Martin,MID,1,1,110,0,3,87,2018,Finals Week 1
74,41,Chris Masten,MID,1,0,41,0,1,85,2018,Finals Week 1
75,41,Brayden Maynard,DEF,1,2,53,0,7,87,2018,Finals Week 1
76,41,Tom McCartin,KEYF,1,1,21,0,0,73,2018,Finals Week 1
77,41,Kamdyn McIntosh,MID,1,1,70,0,4,81,2018,Finals Week 1
78,41,Jarrad McVeigh,DEF,1,0,63,0,3,87,2018,Finals Week 1
79,41,Jake Melksham,FWD,1,3,57,1,2,81,2018,Finals Week 1
80,41,Daniel Menzel,FWD,1,0,36,0,1,82,2018,Finals Week 1
81,41,Brody Mihocek,KEYF,1,1,76,0,3,83,2018,Finals Week 1
82,41,Jaeger O'Meara,MID,1,3,73,0,3,88,2018,Finals Week 1
83,41,Brandan Parfitt,FWD,1,1,56,0,2,74,2018,Finals Week 1
84,41,Harry Perryman,DEF,1,0,48,0,3,81,2018,Finals Week 1
