,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
0,1,Andrew McGrath,MID,4,1,141,1,3,81,2021,Round 1
1,2,Dom Sheed,MID,1,1,138,2,1,86,2021,Round 1
2,3,Jack Bowes,DEF,0,1,135,2,3,92,2021,Round 1
3,3,Jack Macrae,MID,2,1,135,0,2,78,2021,Round 1
4,5,Dustin Martin,FWD,2,1,131,0,2,89,2021,Round 1
5,5,Bailey Smith,MID,3,5,131,0,1,86,2021,Round 1
6,7,Shannon Hurn,DEF,0,0,129,1,2,78,2021,Round 1
7,8,Jaidyn Stephenson,FWD,3,1,128,1,1,76,2021,Round 1
8,9,Rory Laird,MID,3,1,119,0,0,78,2021,Round 1
9,10,Callum Mills,MID,1,0,117,0,3,84,2021,Round 1
10,11,Jack Graham,FWD,2,1,115,0,0,76,2021,Round 1
11,11,Lachie Hunter,MID,0,0,115,0,0,81,2021,Round 1
12,13,Steven Motlop,FWD,1,1,112,4,0,80,2021,Round 1
13,13,Bailey Williams,DEF,1,2,112,0,3,87,2021,Round 1
14,15,Caleb Daniel,DEF,2,0,111,1,2,85,2021,Round 1
15,15,Tim Kelly,MID,2,0,111,3,1,82,2021,Round 1
16,15,Zach Merrett,MID,1,0,111,1,3,74,2021,Round 1
17,18,Tom McDonald,KEYF,2,2,110,0,1,91,2021,Round 1
18,19,Travis Boak,MID,3,1,109,0,0,71,2021,Round 1
19,20,Errol Gulden,FWD,3,1,108,0,4,81,2021,Round 1
20,20,Oleg Markov,DEF,1,0,108,1,1,81,2021,Round 1
21,22,Josh Dunkley,FWD,0,0,107,1,6,83,2021,Round 1
22,22,Clayton Oliver,MID,0,1,107,0,1,88,2021,Round 1
23,22,David Swallow,MID,1,0,107,0,1,76,2021,Round 1
24,25,Tom Mitchell,MID,0,2,106,1,0,83,2021,Round 1
25,26,Andrew Brayshaw,MID,0,1,105,0,1,79,2021,Round 1
26,26,Jack Lukosius,DEF,0,0,105,1,2,78,2021,Round 1
27,26,Taylor Walker,KEYF,2,1,105,0,3,95,2021,Round 1
28,29,Jye Caldwell,MID,2,0,104,0,1,74,2021,Round 1
29,29,Jack Newnes,MID,2,0,104,0,1,85,2021,Round 1
30,31,Tom Barrass,KEYD,0,1,103,1,2,86,2021,Round 1
31,31,Will Day,DEF,0,2,103,0,2,90,2021,Round 1
32,31,Tom Liberatore,MID,1,2,103,0,4,80,2021,Round 1
33,31,Tim Taranto,FWD,2,1,103,0,1,89,2021,Round 1
34,35,Adam Cerra,MID,1,1,102,0,2,78,2021,Round 1
35,35,Lachlan Sholl,MID,1,0,102,1,0,95,2021,Round 1
36,37,Marcus Bontempelli,MID,1,3,101,1,4,83,2021,Round 1
37,37,Harry Perryman,DEF,0,0,101,0,6,81,2021,Round 1
38,39,Jack Billings,MID,0,0,100,0,1,86,2021,Round 1
39,39,Nick Hind,DEF,1,1,100,0,4,84,2021,Round 1
40,39,Tim Membrey,KEYF,2,0,100,0,1,89,2021,Round 1
41,42,Ed Curnow,MID,0,1,99,0,2,75,2021,Round 1
42,42,Matt Flynn,RUC,4,0,99,0,5,68,2021,Round 1
43,42,Brandan Parfitt,MID,4,1,99,1,2,72,2021,Round 1
44,45,Jarryd Lyons,MID,2,0,98,0,0,80,2021,Round 1
45,46,Luke Parker,MID,1,0,97,0,2,74,2021,Round 1
46,47,Patrick Dangerfield,MID,1,0,96,1,2,84,2021,Round 1
47,47,Alex Keath,KEYD,2,0,96,0,5,95,2021,Round 1
48,47,Adam Saad,DEF,2,0,96,4,2,83,2021,Round 1
49,47,Isaac Smith,MID,0,0,96,2,1,89,2021,Round 1
50,51,Jade Gresham,FWD,0,3,95,0,0,67,2021,Round 1
51,51,Ed Langdon,MID,0,0,95,0,1,94,2021,Round 1
52,51,Daniel Rich,DEF,0,0,95,0,4,84,2021,Round 1
53,51,Sam Walsh,MID,2,4,95,1,1,82,2021,Round 1
54,51,Jack Ziebell,DEF,2,0,95,0,2,83,2021,Round 1
55,56,Jayden Short,DEF,0,0,94,0,2,88,2021,Round 1
56,57,Oscar Allen,KEYF,3,1,93,0,2,81,2021,Round 1
57,57,Sam Collins,KEYD,4,0,93,0,9,92,2021,Round 1
58,57,Scott Pendlebury,MID,1,2,93,3,2,77,2021,Round 1
59,57,Bailey Scott,FWD,1,1,93,0,3,83,2021,Round 1
60,61,Tom Hickey,RUC,3,2,92,0,6,82,2021,Round 1
61,61,Steven May,KEYD,2,1,92,0,4,100,2021,Round 1
62,61,Dayne Zorko,MID,1,6,92,0,1,82,2021,Round 1
