,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Jarryd Lyons,MID,4,0,105,0,0,80,2021,Semi Finals
1,2,Jack Macrae,MID,3,0,146,0,3,81,2021,Semi Finals
2,2,Lachie Neale,MID,3,3,99,0,0,88,2021,Semi Finals
3,2,Gary Rohan,FWD,3,2,68,1,2,92,2021,Semi Finals
4,5,Lachie Ash,DEF,2,1,82,1,2,83,2021,Semi Finals
5,5,Jeremy Cameron,KEYF,2,0,74,0,4,90,2021,Semi Finals
6,5,Nakia Cockatoo,FWD,2,2,22,0,4,72,2021,Semi Finals
7,5,Keidean Coleman,FWD,2,3,50,0,5,91,2021,Semi Finals
8,5,Patrick Dangerfield,MID,2,1,75,0,6,71,2021,Semi Finals
9,5,Caleb Daniel,DEF,2,1,97,2,1,79,2021,Semi Finals
10,5,Josh Dunkley,FWD,2,0,95,0,6,80,2021,Semi Finals
11,5,Taylor Duryea,DEF,2,2,48,0,1,73,2021,Semi Finals
12,5,Tim English,RUC,2,2,84,0,5,85,2021,Semi Finals
13,5,Darcy Gardiner,KEYD,2,2,40,0,4,80,2021,Semi Finals
14,5,Ryan Gardner,KEYD,2,2,8,0,5,100,2021,Semi Finals
15,5,Mitch Hannan,FWD,2,1,42,0,0,83,2021,Semi Finals
16,5,Jack Henry,KEYD,2,0,59,0,4,100,2021,Semi Finals
17,5,Max Holmes,FWD,2,0,63,0,0,71,2021,Semi Finals
18,5,Jacob Hopper,MID,2,2,102,0,1,81,2021,Semi Finals
19,5,Lachie Hunter,MID,2,0,76,0,4,93,2021,Semi Finals
20,5,Tom Liberatore,MID,2,4,94,0,4,75,2021,Semi Finals
21,5,Aaron Naughton,KEYF,2,0,68,0,2,93,2021,Semi Finals
22,5,Esava Ratugolea,RUC,2,1,30,0,5,64,2021,Semi Finals
23,5,Rhys Stanley,RUC,2,0,123,0,4,78,2021,Semi Finals
24,5,Callan Ward,MID,2,1,79,0,1,82,2021,Semi Finals
25,26,Jarrod Berry,MID,1,1,37,0,1,31,2021,Semi Finals
26,26,Mark Blicavs,KEYD,1,1,41,0,13,100,2021,Semi Finals
27,26,Tanner Bruhn,FWD,1,1,33,1,0,58,2021,Semi Finals
28,26,Joe Daniher,KEYF,1,1,32,0,0,100,2021,Semi Finals
29,26,Mitch Duncan,FWD,1,2,84,0,2,84,2021,Semi Finals
30,26,Tom Fullarton,RUC,1,1,61,0,3,79,2021,Semi Finals
31,26,Cameron Guthrie,MID,1,1,89,0,1,73,2021,Semi Finals
32,26,Zach Guthrie,DEF,1,0,38,0,0,54,2021,Semi Finals
33,26,Tom Hawkins,KEYF,1,1,106,0,1,98,2021,Semi Finals
34,26,Nick Haynes,DEF,1,0,93,2,5,88,2021,Semi Finals
35,26,Lachie Henderson,KEYD,1,0,48,0,3,100,2021,Semi Finals
36,26,Harry Himmelberg,KEYF,1,1,54,0,4,89,2021,Semi Finals
37,26,Connor Idun,DEF,1,1,38,0,4,79,2021,Semi Finals
38,26,Alex Keath,KEYD,1,0,37,0,4,100,2021,Semi Finals
39,26,Josh Kelly,MID,1,1,105,0,2,90,2021,Semi Finals
40,26,Daniel Lloyd,FWD,1,1,25,0,3,86,2021,Semi Finals
41,26,Lincoln McCarthy,FWD,1,1,80,0,2,79,2021,Semi Finals
42,26,Hugh McCluggage,MID,1,1,110,3,3,92,2021,Semi Finals
43,26,Gryan Miers,FWD,1,0,74,0,2,88,2021,Semi Finals
44,26,Shane Mumford,RUC,1,0,104,0,4,88,2021,Semi Finals
45,26,Harry Perryman,DEF,1,1,54,0,2,83,2021,Semi Finals
46,26,Josh Schache,KEYD,1,0,48,0,1,72,2021,Semi Finals
47,26,Isaac Smith,MID,1,0,94,3,0,83,2021,Semi Finals
48,26,Bailey Smith,MID,1,0,126,0,2,81,2021,Semi Finals
49,26,Tim Taranto,FWD,1,0,80,0,0,84,2021,Semi Finals
50,26,Adam Treloar,FWD,1,1,43,0,3,72,2021,Semi Finals
51,26,Zach Tuohy,DEF,1,1,96,1,1,81,2021,Semi Finals
52,26,Laitham Vandermeer,FWD,1,1,41,0,1,76,2021,Semi Finals
53,26,Lachie Whitfield,MID,1,3,113,0,3,83,2021,Semi Finals
54,26,Bailey Williams,DEF,1,1,47,0,4,83,2021,Semi Finals
55,26,Lewis Young,KEYD,1,0,44,0,6,53,2021,Semi Finals
56,26,Dayne Zorko,MID,1,3,90,0,1,86,2021,Semi Finals
57,26,Matt de Boer,FWD,1,0,79,0,1,85,2021,Semi Finals
58,59,Marcus Adams,KEYD,0,1,43,0,18,94,2021,Semi Finals
59,59,Harris Andrews,KEYD,0,0,74,0,10,92,2021,Semi Finals
60,59,Tom Atkins,DEF,0,2,28,0,4,86,2021,Semi Finals
61,59,Zac Bailey,FWD,0,1,77,0,2,92,2021,Semi Finals
62,59,Jed Bews,DEF,0,0,47,0,0,64,2021,Semi Finals
63,59,Grant Birchall,DEF,0,0,64,0,1,79,2021,Semi Finals
64,59,Marcus Bontempelli,MID,0,2,96,4,2,84,2021,Semi Finals
65,59,Charlie Cameron,FWD,0,2,81,1,2,96,2021,Semi Finals
66,59,Brad Close,FWD,0,0,59,0,1,70,2021,Semi Finals
67,59,Stephen Coniglio,FWD,0,0,74,0,1,82,2021,Semi Finals
68,59,Isaac Cumming,DEF,0,0,55,0,2,81,2021,Semi Finals
69,59,Bailey Dale,DEF,0,0,71,1,1,83,2021,Semi Finals
70,59,Phil Davis,KEYD,0,3,32,0,7,82,2021,Semi Finals
