,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Harry McKay,KEYF,4,0,66,0,2,91,2023,Preliminary Finals
1,2,Jordan De Goey,MID,3,0,114,0,2,83,2023,Preliminary Finals
2,2,Ryan Lester,KEYD,3,0,89,0,7,88,2023,Preliminary Finals
3,2,Sam Taylor,KEYD,3,1,73,0,9,100,2023,Preliminary Finals
4,5,Darcy Cameron,RUC,2,0,87,0,6,70,2023,Preliminary Finals
5,5,Joe Daniher,KEYF,2,1,66,0,0,93,2023,Preliminary Finals
6,5,Eric Hipwood,KEYF,2,1,59,0,4,91,2023,Preliminary Finals
7,5,Conor McKenna,DEF,2,0,84,0,5,82,2023,Preliminary Finals
8,5,Lachie Neale,MID,2,0,77,0,3,86,2023,Preliminary Finals
9,10,Jarrod Berry,MID,1,1,82,0,2,79,2023,Preliminary Finals
10,10,Jordan Boyd,DEF,1,1,76,0,1,85,2023,Preliminary Finals
11,10,Kieren Briggs,RUC,1,0,68,0,4,61,2023,Preliminary Finals
12,10,Callum M. Brown,FWD,1,0,66,0,0,85,2023,Preliminary Finals
13,10,Jack Buckley,KEYD,1,0,72,0,5,94,2023,Preliminary Finals
14,10,Charlie Cameron,FWD,1,0,61,0,1,78,2023,Preliminary Finals
15,10,Adam Cerra,MID,1,1,73,0,1,65,2023,Preliminary Finals
16,10,Stephen Coniglio,MID,1,0,90,0,0,87,2023,Preliminary Finals
17,10,Patrick Cripps,MID,1,2,75,0,3,79,2023,Preliminary Finals
18,10,Charlie Curnow,KEYF,1,1,39,0,2,97,2023,Preliminary Finals
19,10,Josh Daicos,MID,1,0,62,0,1,77,2023,Preliminary Finals
20,10,Darcy Gardiner,KEYD,1,2,39,0,12,90,2023,Preliminary Finals
21,10,Toby Greene,FWD,1,0,69,0,0,92,2023,Preliminary Finals
22,10,George Hewett,MID,1,0,72,0,1,76,2023,Preliminary Finals
23,10,Bobby Hill,FWD,1,1,48,0,2,81,2023,Preliminary Finals
24,10,Harry Himmelberg,KEYD,1,0,52,0,7,78,2023,Preliminary Finals
25,10,Connor Idun,DEF,1,0,63,2,7,94,2023,Preliminary Finals
26,10,Lachlan Keeffe,KEYF,1,1,42,0,5,77,2023,Preliminary Finals
27,10,Patrick Lipinski,FWD,1,1,64,0,0,75,2023,Preliminary Finals
28,10,Caleb Marchbank,KEYD,1,0,81,0,7,98,2023,Preliminary Finals
29,10,Oleg Markov,DEF,1,0,40,1,2,70,2023,Preliminary Finals
30,10,Jack Martin,FWD,1,0,60,0,1,70,2023,Preliminary Finals
31,10,Mitch McGovern,DEF,1,1,84,0,1,68,2023,Preliminary Finals
32,10,Oscar McInerney,RUC,1,1,104,0,1,85,2023,Preliminary Finals
33,10,Tom Mitchell,MID,1,0,107,0,1,68,2023,Preliminary Finals
34,10,Nathan Murphy,KEYD,1,1,50,0,4,100,2023,Preliminary Finals
35,10,Nic Newman,DEF,1,1,84,1,3,87,2023,Preliminary Finals
36,10,Xavier O'Halloran,FWD,1,1,18,0,0,12,2023,Preliminary Finals
