,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
0,1,Lachie Whitfield,DEF,1,0,137,0,2,81,2024,Opening Round
1,2,Darcy Cameron,RUC,2,0,131,0,1,81,2024,Opening Round
2,3,Jack Viney,MID,4,2,123,0,2,79,2024,Opening Round
3,4,Isaac Heeney,MID,2,0,121,0,4,79,2024,Opening Round
4,5,Brodie Grundy,RUC,3,4,118,0,4,78,2024,Opening Round
5,6,Josh Kelly,MID,1,1,117,0,1,84,2024,Opening Round
6,7,Tom Green,MID,1,1,116,0,1,87,2024,Opening Round
7,8,Matt Rowell,MID,4,0,112,0,2,84,2024,Opening Round
8,9,Nick Daicos,MID,1,3,111,1,0,80,2024,Opening Round
9,9,Josh Daicos,MID,1,0,111,0,0,92,2024,Opening Round
10,11,Touk Miller,MID,1,0,110,0,1,82,2024,Opening Round
11,12,Wil Powell,DEF,2,1,106,2,2,86,2024,Opening Round
12,13,Dayne Zorko,FWD,1,1,105,0,0,76,2024,Opening Round
13,14,Josh Dunkley,MID,0,0,104,0,1,82,2024,Opening Round
14,15,Jayden Short,DEF,0,0,103,0,2,84,2024,Opening Round
15,16,Lachie Ash,DEF,1,0,102,0,4,80,2024,Opening Round
16,17,George Hewett,MID,2,1,100,0,0,77,2024,Opening Round
17,18,Noah Anderson,MID,1,0,99,3,1,82,2024,Opening Round
18,18,Nick Blakey,DEF,2,0,99,6,6,78,2024,Opening Round
19,18,Brayden Maynard,DEF,2,1,99,0,1,85,2024,Opening Round
20,21,Brayden Fiorini,MID,0,0,98,0,1,88,2024,Opening Round
21,22,Brent Daniels,FWD,0,1,96,0,0,82,2024,Opening Round
22,23,Jacob Hopper,MID,3,2,95,0,0,79,2024,Opening Round
23,23,Christian Salem,MID,0,2,95,0,0,80,2024,Opening Round
24,25,Jarryd Lyons,MID,1,2,94,0,0,70,2024,Opening Round
25,26,Nick Haynes,DEF,0,0,93,0,5,80,2024,Opening Round
26,27,Harry Cunningham,DEF,0,0,92,0,5,83,2024,Opening Round
27,27,Sam Flanders,MID,1,0,92,0,3,77,2024,Opening Round
28,29,Stephen Coniglio,MID,3,1,91,0,1,84,2024,Opening Round
29,29,Matt Roberts,DEF,1,0,91,0,1,84,2024,Opening Round
30,31,Mitch McGovern,DEF,1,0,90,0,5,80,2024,Opening Round
31,32,Clayton Oliver,MID,0,1,89,0,1,82,2024,Opening Round
32,33,Connor Budarick,DEF,0,0,88,0,2,84,2024,Opening Round
33,33,Chad Warner,MID,2,2,88,1,2,81,2024,Opening Round
34,35,Max Gawn,RUC,6,4,87,0,0,82,2024,Opening Round
35,35,Tom Papley,FWD,1,0,87,0,3,81,2024,Opening Round
36,35,Christian Petracca,MID,1,0,87,0,3,84,2024,Opening Round
37,38,Callum M. Brown,FWD,1,0,86,0,3,85,2024,Opening Round
38,38,Harry Himmelberg,KEYD,1,0,86,1,7,80,2024,Opening Round
39,38,Nick Vlastuin,DEF,0,1,86,0,3,82,2024,Opening Round
40,41,Nic Newman,DEF,0,0,83,0,5,84,2024,Opening Round
41,42,Oscar McInerney,RUC,3,2,82,0,2,79,2024,Opening Round
42,42,Harry McKay,KEYF,1,1,82,0,4,94,2024,Opening Round
