,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Josh P. Kennedy,MID,130,15.9,1,28,3,11,4,14,14,1,2015,Semi Finals
1,2,Luke Breust,FWD,136,25.7,6,18,7,8,1,12,6,0,2015,Semi Finals
2,2,Scott Thompson,MID,111,10.2,0,28,6,8,8,11,17,0,2015,Semi Finals
3,2,Jack Ziebell,MID,109,10.7,0,25,3,8,8,21,4,1,2015,Semi Finals
4,5,Charles Cameron,FWD,41,6.7,0,5,1,6,0,2,3,0,2015,Semi Finals
5,5,Isaac Heeney,FWD,83,4.4,1,13,6,6,0,11,2,0,2015,Semi Finals
6,5,Jarrad McVeigh,MID,99,9,0,21,7,6,4,14,7,0,2015,Semi Finals
7,5,Dane Rampe,DEF,124,11.2,0,31,8,6,3,23,8,0,2015,Semi Finals
8,5,Cyril Rioli,FWD,74,10.6,1,11,5,6,1,6,5,0,2015,Semi Finals
9,5,Andrew Swallow,MID,76,7.1,0,22,1,6,6,12,10,0,2015,Semi Finals
10,11,Eddie Betts,FWD,39,2.2,0,9,0,5,3,4,5,0,2015,Semi Finals
11,11,Ben Cunnington,MID,97,12.3,0,29,2,5,7,14,15,1,2015,Semi Finals
12,11,Ben Jacobs,MID,52,10.8,0,12,1,5,2,4,8,0,2015,Semi Finals
13,11,Ben McGlynn,FWD,42,0.3,0,6,2,5,3,4,2,0,2015,Semi Finals
14,15,Grant Birchall,DEF,99,4.5,0,25,9,4,0,12,13,0,2015,Semi Finals
15,15,Harry Cunningham,FWD,50,9.6,0,13,1,4,2,5,8,0,2015,Semi Finals
16,15,Patrick Dangerfield,MID,105,18.5,1,29,5,4,10,10,19,4,2015,Semi Finals
17,15,Michael Firrito,KEYD,62,5.7,0,15,1,4,0,10,5,0,2015,Semi Finals
18,15,Sam Gibson,MID,81,1.4,2,17,2,4,2,10,7,0,2015,Semi Finals
19,15,Todd Goldstein,RUC,87,19.5,1,11,4,4,4,4,7,34,2015,Semi Finals
20,15,Luke Hodge,MID,107,25,4,24,4,4,6,15,9,1,2015,Semi Finals
21,15,Sam Jacobs,RUC,120,16.7,0,17,6,4,3,12,5,41,2015,Semi Finals
22,15,Josh Jenkins,KEYF,87,6.6,4,10,5,4,0,9,1,2,2015,Semi Finals
23,15,Ben McEvoy,RUC,72,4,0,11,5,4,2,7,4,17,2015,Semi Finals
24,15,Tom Mitchell,MID,67,10.9,0,19,3,4,2,6,13,0,2015,Semi Finals
25,15,Paul Puopolo,FWD,58,8.8,1,13,1,4,0,6,7,0,2015,Semi Finals
26,15,Jarryd Roughead,KEYF,86,19.9,2,19,4,4,2,10,9,1,2015,Semi Finals
27,15,Ryan Schoenmakers,KEYF,88,6.1,1,16,8,4,1,11,5,0,2015,Semi Finals
28,15,Liam Shiels,MID,100,15.4,0,24,7,4,2,16,8,0,2015,Semi Finals
29,15,Nick Smith,DEF,96,8.9,0,24,8,4,1,10,14,0,2015,Semi Finals
30,15,Daniel Talia,KEYD,54,3.2,0,12,4,4,0,5,7,0,2015,Semi Finals
31,15,Kurt Tippett,KEYF,115,14.5,2,16,10,4,3,12,4,14,2015,Semi Finals
32,15,Dean Towers,FWD,65,2.2,0,12,4,4,2,8,4,6,2015,Semi Finals
