,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Matthew Priddis,MID,108,6.5,0,24,1,12,6,10,14,0,2017,Round 13
1,1,Dayne Zorko,MID,157,21.1,2,32,4,12,5,24,8,0,2017,Round 13
2,3,Cameron Guthrie,MID,111,12.7,0,25,3,11,5,8,17,0,2017,Round 13
3,4,Bryce Gibbs,MID,194,21.5,2,43,8,10,7,31,12,0,2017,Round 13
4,5,Gary Ablett,MID,91,13.9,0,25,0,9,4,13,12,0,2017,Round 13
5,5,Sam Docherty,DEF,143,12.7,0,30,9,9,0,22,8,0,2017,Round 13
6,5,Jeff Garlett,FWD,102,6.9,2,15,4,9,1,10,5,0,2017,Round 13
7,5,Shaun Higgins,MID,87,7.6,0,18,2,9,2,8,10,0,2017,Round 13
8,5,Kane Lambert,FWD,96,5.6,0,19,4,9,2,9,10,0,2017,Round 13
9,5,Tom Liberatore,MID,109,17,1,29,1,9,4,10,19,0,2017,Round 13
10,5,Toby Nankervis,RUC,76,1.6,0,9,1,9,0,3,6,21,2017,Round 13
11,5,Jordan Roughead,RUC,116,12.9,1,19,3,9,2,8,11,24,2017,Round 13
12,5,Mitch Wallis,FWD,97,18.9,0,23,3,9,4,8,15,0,2017,Round 13
13,14,Jack Billings,FWD,105,9.6,2,18,4,8,1,11,7,0,2017,Round 13
14,14,Brad Ebert,MID,99,15.1,0,24,2,8,7,15,9,0,2017,Round 13
15,14,Josh P. Kennedy,MID,102,12.1,1,23,4,8,3,9,14,0,2017,Round 13
16,14,Sam Mitchell,MID,117,15.7,0,29,4,8,3,14,15,0,2017,Round 13
17,14,Clayton Oliver,MID,94,8.5,0,29,1,8,5,6,23,0,2017,Round 13
18,14,Scott Selwood,MID,60,0.2,0,10,3,8,1,4,6,0,2017,Round 13
19,14,Jack Viney,MID,74,15,0,16,2,8,4,4,12,0,2017,Round 13
20,21,Marcus Bontempelli,MID,94,13.2,1,24,1,7,3,11,13,1,2017,Round 13
21,21,Patrick Cripps,MID,101,14.6,0,27,4,7,10,10,17,0,2017,Round 13
22,21,David Cuningham,FWD,64,-0.7,0,10,3,7,0,7,3,0,2017,Round 13
23,21,Isaac Heeney,MID,109,18,1,22,5,7,5,13,9,0,2017,Round 13
24,21,Nic Newman,MID,112,14.7,0,26,4,7,2,19,7,0,2017,Round 13
