,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Rupert Wills,MID,94,6,0,13,4,13,3,6,7,0,2019,Finals Week 1
1,2,Jack Macrae,MID,133,13.5,0,32,5,10,7,14,18,0,2019,Finals Week 1
2,2,Dion Prestia,MID,123,21.9,0,32,2,10,8,15,17,0,2019,Finals Week 1
3,4,Taylor Adams,MID,112,15.4,2,26,3,9,9,16,10,0,2019,Finals Week 1
4,4,Brandan Parfitt,FWD,102,15,1,22,2,9,4,14,8,0,2019,Finals Week 1
5,4,Scott Pendlebury,MID,128,14.3,1,24,8,9,3,14,10,0,2019,Finals Week 1
6,4,Adam Treloar,MID,118,8.7,0,28,5,9,6,11,17,0,2019,Finals Week 1
7,8,Gary Ablett,FWD,72,6.8,0,17,1,8,3,8,9,0,2019,Finals Week 1
8,8,Mark Blicavs,KEYD,72,14.4,0,11,2,8,3,1,10,14,2019,Finals Week 1
9,8,Jack Graham,MID,62,9.1,0,14,1,8,0,7,7,0,2019,Finals Week 1
10,8,Joel Selwood,MID,79,7.9,0,18,0,8,6,7,11,0,2019,Finals Week 1
11,8,Dayne Zorko,MID,101,16.8,0,21,3,8,3,16,5,0,2019,Finals Week 1
12,8,Matt de Boer,MID,68,9.3,0,18,1,8,6,9,9,1,2019,Finals Week 1
13,14,Marcus Bontempelli,MID,71,11.5,0,13,2,7,4,9,4,3,2019,Finals Week 1
14,14,Josh Dunkley,MID,86,8.1,0,20,2,7,4,10,10,4,2019,Finals Week 1
15,14,Tim Kelly,MID,107,8,1,28,1,7,4,14,14,0,2019,Finals Week 1
16,14,Zach Merrett,MID,91,11,0,24,1,7,2,13,11,0,2019,Finals Week 1
17,14,John Noble,DEF,72,-0.1,0,19,0,7,0,11,8,0,2019,Finals Week 1
18,19,Taylor Duryea,DEF,80,9.5,0,17,2,6,2,13,4,0,2019,Finals Week 1
19,19,Shane Edwards,DEF,118,14.7,1,29,6,6,8,13,16,0,2019,Finals Week 1
20,19,Sam Menegola,MID,90,15.6,1,16,6,6,0,9,7,0,2019,Finals Week 1
21,19,Jack Redden,MID,117,14.3,0,29,9,6,3,15,14,0,2019,Finals Week 1
22,19,Daniel Rioli,FWD,59,14,2,7,0,6,0,6,1,0,2019,Finals Week 1
23,19,Lachie Whitfield,FWD,131,12.2,1,30,7,6,3,21,9,0,2019,Finals Week 1
24,25,Callum L. Brown,FWD,40,5.7,0,9,1,5,2,1,8,0,2019,Finals Week 1
25,25,Luke Dahlhaus,FWD,60,2,0,13,1,5,0,7,6,0,2019,Finals Week 1
26,25,Brodie Grundy,RUC,130,19.6,0,21,4,5,7,11,10,47,2019,Finals Week 1
27,25,Kane Lambert,FWD,78,6.3,0,20,2,5,2,12,8,0,2019,Finals Week 1
28,25,Jarryd Lyons,MID,86,12.5,0,24,2,5,7,11,13,0,2019,Finals Week 1
29,25,Stefan Martin,RUC,102,11.3,0,17,5,5,4,13,4,24,2019,Finals Week 1
30,25,Brayden Maynard,DEF,70,9.4,0,16,2,5,0,12,4,0,2019,Finals Week 1
