,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Shai Bolton,MID,81,16.1,0,16,3,7,4,11,5,0,2020,Grand Final
1,1,Brandan Parfitt,MID,50,6,0,7,1,7,1,5,2,0,2020,Grand Final
2,3,Toby Nankervis,RUC,64,20.2,0,8,0,6,4,5,3,25,2020,Grand Final
3,3,Jayden Short,DEF,102,17.1,0,25,3,6,2,18,7,0,2020,Grand Final
4,5,Jack Graham,MID,59,9.3,0,17,0,5,2,7,10,0,2020,Grand Final
5,5,Marlion Pickett,MID,55,1,0,14,0,5,0,6,8,0,2020,Grand Final
6,5,Dion Prestia,MID,59,12.8,2,14,0,5,4,7,7,0,2020,Grand Final
7,5,Joel Selwood,MID,88,11.4,0,21,3,5,6,14,7,0,2020,Grand Final
8,9,Mark Blicavs,KEYD,47,6.8,0,13,0,4,2,4,9,10,2020,Grand Final
9,9,Jason Castagna,FWD,59,5.2,1,11,2,4,0,8,3,0,2020,Grand Final
10,9,Trent Cotchin,MID,72,12.1,0,19,2,4,6,13,6,0,2020,Grand Final
11,9,Mitch Duncan,MID,112,10.5,1,25,7,4,4,19,6,0,2020,Grand Final
12,9,Kane Lambert,FWD,66,8.9,1,13,4,4,0,6,7,0,2020,Grand Final
13,9,Daniel Rioli,FWD,29,3.4,0,6,1,4,0,1,5,0,2020,Grand Final
14,15,Luke Dahlhaus,FWD,49,7.8,0,14,1,3,0,7,7,0,2020,Grand Final
15,15,Patrick Dangerfield,MID,53,10.7,1,12,1,3,3,7,5,0,2020,Grand Final
16,15,Cameron Guthrie,MID,71,10,1,14,4,3,5,12,2,0,2020,Grand Final
17,15,Tom Hawkins,KEYF,53,0.4,1,10,3,3,1,3,7,4,2020,Grand Final
18,15,Tom J. Lynch,KEYF,45,-0.8,1,8,3,3,2,7,1,0,2020,Grand Final
19,15,Dustin Martin,FWD,98,25.7,4,21,1,3,5,16,5,0,2020,Grand Final
20,15,Jack Riewoldt,KEYF,63,6.6,2,9,3,3,0,8,1,0,2020,Grand Final
21,15,Tom Stewart,DEF,87,8.4,0,20,6,3,0,16,4,0,2020,Grand Final
22,23,Liam Baker,DEF,49,9.6,0,14,3,2,1,10,4,0,2020,Grand Final
23,23,Noah Balta,KEYD,47,4.7,0,12,2,2,1,9,3,2,2020,Grand Final
24,23,Jed Bews,DEF,29,0.5,0,9,0,2,1,5,4,0,2020,Grand Final
25,23,Nathan Broad,DEF,34,3.6,0,8,2,2,0,7,1,0,2020,Grand Final
26,23,Shane Edwards,MID,75,14.7,0,27,0,2,9,15,12,0,2020,Grand Final
27,23,Jake Kolodjashnij,DEF,42,-0.7,0,8,4,2,1,6,2,0,2020,Grand Final
28,23,Kamdyn McIntosh,MID,57,12.8,1,13,3,2,0,8,5,0,2020,Grand Final
29,23,Gryan Miers,FWD,70,10.3,1,14,5,2,0,10,4,0,2020,Grand Final
30,23,Gary Rohan,FWD,25,2.1,0,5,1,2,0,3,2,0,2020,Grand Final
31,23,Nick Vlastuin,DEF,10,0.2,0,1,0,2,0,0,1,0,2020,Grand Final
32,33,Gary Ablett,FWD,35,8.4,0,12,1,1,1,4,8,0,2020,Grand Final
33,33,David Astbury,KEYD,27,2.5,0,7,1,1,0,5,2,0,2020,Grand Final
34,33,Lachie Henderson,KEYD,17,0.8,0,7,1,1,0,5,2,0,2020,Grand Final
35,33,Jack Henry,DEF,49,6,0,14,3,1,1,8,6,0,2020,Grand Final
36,33,Bachar Houli,DEF,30,7.5,0,11,1,1,1,4,7,0,2020,Grand Final
37,33,Mark O'Connor,DEF,26,5.4,0,9,0,1,1,3,6,0,2020,Grand Final
38,33,Sam Simpson,FWD,31,11.5,0,12,0,1,2,3,9,0,2020,Grand Final
39,33,Rhys Stanley,RUC,82,10,0,14,3,1,2,10,4,29,2020,Grand Final
40,33,Harry Taylor,KEYD,17,6.3,0,7,0,1,0,1,6,0,2020,Grand Final
41,33,Zach Tuohy,MID,45,6.3,0,14,2,1,3,6,8,0,2020,Grand Final
42,43,Dylan Grimes,KEYD,17,5.2,0,4,2,0,0,3,1,0,2020,Grand Final
43,43,Sam Menegola,MID,63,21,2,13,5,0,1,10,3,0,2020,Grand Final
