,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
0,1,Andrew McGrath,MID,141,16,1,33,2,11,5,17,16,0,2021,Round 1
1,2,Dom Sheed,MID,138,8.7,0,34,12,3,9,23,11,0,2021,Round 1
2,3,Jack Bowes,DEF,135,13.1,0,30,14,2,1,28,2,0,2021,Round 1
3,3,Jack Macrae,MID,135,12.9,0,35,7,7,3,17,18,0,2021,Round 1
4,5,Dustin Martin,FWD,131,29.9,2,31,7,4,5,19,12,0,2021,Round 1
5,5,Bailey Smith,MID,131,16.8,2,36,8,3,3,23,13,0,2021,Round 1
6,7,Shannon Hurn,DEF,129,16.8,0,31,12,2,0,23,8,0,2021,Round 1
7,8,Jaidyn Stephenson,FWD,128,8.6,0,33,5,7,5,17,16,0,2021,Round 1
8,9,Rory Laird,MID,119,9.1,0,27,7,6,4,18,9,0,2021,Round 1
9,10,Callum Mills,MID,117,17,2,29,8,2,3,14,15,0,2021,Round 1
10,11,Jack Graham,FWD,115,18,0,33,5,3,5,22,11,0,2021,Round 1
11,11,Lachie Hunter,MID,115,1.8,0,31,11,1,3,16,15,0,2021,Round 1
12,13,Steven Motlop,FWD,112,12.8,1,24,12,2,0,16,8,0,2021,Round 1
13,13,Bailey Williams,DEF,112,13.9,0,28,8,4,0,21,7,0,2021,Round 1
14,15,Caleb Daniel,DEF,111,11.1,0,28,5,5,1,18,10,0,2021,Round 1
15,15,Tim Kelly,MID,111,15.7,0,28,7,3,5,19,9,0,2021,Round 1
16,15,Zach Merrett,MID,111,19.5,1,31,4,3,2,18,13,0,2021,Round 1
17,18,Tom McDonald,KEYF,110,7.7,2,18,9,5,0,12,6,5,2021,Round 1
18,19,Travis Boak,MID,109,25.5,2,27,3,4,7,17,10,0,2021,Round 1
19,20,Errol Gulden,FWD,108,17.2,3,19,10,1,1,17,2,0,2021,Round 1
20,20,Oleg Markov,DEF,108,6.7,0,20,14,2,0,17,3,0,2021,Round 1
21,22,Josh Dunkley,FWD,107,13,0,30,7,3,2,13,17,0,2021,Round 1
22,22,Clayton Oliver,MID,107,20.7,0,35,6,3,7,10,25,0,2021,Round 1
23,22,David Swallow,MID,107,12,1,29,5,3,2,14,15,0,2021,Round 1
24,25,Tom Mitchell,MID,106,19.8,0,39,1,5,2,11,28,0,2021,Round 1
25,26,Andrew Brayshaw,MID,105,15.1,1,29,5,4,0,13,16,0,2021,Round 1
26,26,Jack Lukosius,DEF,105,12.2,0,23,11,1,1,20,3,0,2021,Round 1
27,26,Taylor Walker,KEYF,105,26.6,5,18,7,1,2,11,7,2,2021,Round 1
28,29,Jye Caldwell,MID,104,4.7,0,22,4,9,3,9,13,0,2021,Round 1
29,29,Jack Newnes,MID,104,16.5,0,27,10,1,2,14,13,0,2021,Round 1
30,31,Tom Barrass,KEYD,103,10.8,0,22,13,2,0,15,7,0,2021,Round 1
31,31,Will Day,DEF,103,17.2,0,28,8,3,3,17,11,0,2021,Round 1
32,31,Tom Liberatore,MID,103,12.9,0,28,3,7,7,14,14,0,2021,Round 1
33,31,Tim Taranto,FWD,103,14,1,26,3,4,3,19,7,0,2021,Round 1
34,35,Adam Cerra,MID,102,13.6,0,24,7,5,3,14,10,0,2021,Round 1
35,35,Lachlan Sholl,MID,102,6,0,23,9,3,1,16,7,0,2021,Round 1
36,37,Marcus Bontempelli,MID,101,7.5,0,28,9,3,3,13,15,0,2021,Round 1
37,37,Harry Perryman,DEF,101,8.3,0,26,7,3,0,15,11,0,2021,Round 1
38,39,Jack Billings,MID,100,15.1,1,30,5,1,2,15,15,0,2021,Round 1
39,39,Nick Hind,DEF,100,11.1,0,25,6,4,1,18,7,0,2021,Round 1
40,39,Tim Membrey,KEYF,100,14.9,3,21,7,0,0,15,6,2,2021,Round 1
41,42,Ed Curnow,MID,99,6.1,0,29,8,1,7,16,13,0,2021,Round 1
42,42,Matt Flynn,RUC,99,20.2,0,18,6,0,5,7,11,34,2021,Round 1
43,42,Brandan Parfitt,MID,99,12.6,2,18,1,9,3,11,7,0,2021,Round 1
44,45,Jarryd Lyons,MID,98,15.5,1,28,4,2,6,14,14,0,2021,Round 1
45,46,Luke Parker,MID,97,10.4,2,23,5,3,3,11,12,0,2021,Round 1
46,47,Patrick Dangerfield,MID,96,21,0,26,6,2,6,17,9,0,2021,Round 1
47,47,Alex Keath,KEYD,96,7.6,0,18,9,4,0,15,3,0,2021,Round 1
48,47,Adam Saad,DEF,96,14.6,0,25,4,4,2,16,9,0,2021,Round 1
49,47,Isaac Smith,MID,96,1.7,2,21,6,2,0,15,6,0,2021,Round 1
50,51,Jade Gresham,FWD,95,15.4,0,28,5,3,5,21,7,0,2021,Round 1
51,51,Ed Langdon,MID,95,11.7,1,22,5,4,1,13,9,0,2021,Round 1
52,51,Daniel Rich,DEF,95,6.3,0,23,8,1,0,21,2,0,2021,Round 1
53,51,Sam Walsh,MID,95,13.9,0,31,6,3,6,12,19,0,2021,Round 1
54,51,Jack Ziebell,DEF,95,9,0,25,4,3,0,19,6,0,2021,Round 1
55,56,Jayden Short,DEF,94,8.4,0,23,5,3,0,21,2,0,2021,Round 1
56,57,Oscar Allen,KEYF,93,12.2,4,13,8,2,0,11,2,0,2021,Round 1
