,Rank,Player,Position,AF,R,G,D,M,T    ,C,K,H,HO,Season,Round
0,1,Tom Mitchell,MID,107,11.5,0,24,3,10,4,9,15,0,2023,Preliminary Finals
1,2,Lincoln McCarthy,FWD,95,14.2,2,18,3,7,2,10,8,0,2023,Preliminary Finals
2,3,Toby Bedford,FWD,37,5.9,0,8,0,6,1,2,6,0,2023,Preliminary Finals
3,3,Patrick Cripps,MID,75,11.8,2,13,4,6,4,6,7,0,2023,Preliminary Finals
4,3,George Hewett,MID,72,13,0,20,0,6,3,7,13,0,2023,Preliminary Finals
5,3,Harry Perryman,DEF,74,14.1,0,14,5,6,0,10,4,0,2023,Preliminary Finals
6,3,Sam Taylor,KEYD,73,16.5,0,16,3,6,0,8,8,0,2023,Preliminary Finals
7,3,Sam Walsh,MID,105,25.2,0,33,3,6,3,15,18,0,2023,Preliminary Finals
8,9,Adam Cerra,MID,73,6,0,20,2,5,4,8,12,0,2023,Preliminary Finals
9,9,Jack Crisp,MID,92,15.5,1,19,5,5,4,15,4,0,2023,Preliminary Finals
10,9,Sam Docherty,MID,88,7,1,19,5,5,2,9,10,0,2023,Preliminary Finals
11,9,Josh Dunkley,MID,90,13.3,0,23,5,5,6,9,14,0,2023,Preliminary Finals
12,9,Patrick Lipinski,FWD,64,3.6,0,17,1,5,1,9,8,0,2023,Preliminary Finals
13,9,Brayden Maynard,DEF,80,13.8,0,18,5,5,0,12,6,0,2023,Preliminary Finals
14,9,Deven Robertson,FWD,55,3.7,0,11,3,5,2,6,5,0,2023,Preliminary Finals
15,16,Jordan Boyd,DEF,76,7.5,0,17,5,4,0,13,4,0,2023,Preliminary Finals
16,16,Keidean Coleman,DEF,106,18.2,0,21,10,4,1,18,3,0,2023,Preliminary Finals
17,16,Stephen Coniglio,MID,90,4.5,0,25,3,4,1,14,11,0,2023,Preliminary Finals
18,16,Nick Daicos,MID,100,8.3,0,28,4,4,6,15,13,0,2023,Preliminary Finals
19,16,Brent Daniels,FWD,87,4.8,0,19,6,4,2,14,5,0,2023,Preliminary Finals
20,16,Jeremy Howe,KEYD,87,7.9,0,15,10,4,0,11,4,0,2023,Preliminary Finals
21,16,Daniel Lloyd,FWD,87,5,1,14,8,4,0,12,2,0,2023,Preliminary Finals
22,16,Jack Martin,FWD,60,10.8,2,10,2,4,1,4,6,0,2023,Preliminary Finals
23,16,Beau McCreery,FWD,53,8.2,1,8,3,4,0,5,3,0,2023,Preliminary Finals
24,16,Isaac Quaynor,DEF,89,6.5,0,19,8,4,0,13,6,0,2023,Preliminary Finals
25,16,Steele Sidebottom,MID,97,7.5,0,24,6,4,7,18,6,0,2023,Preliminary Finals
26,16,Callan Ward,MID,50,3.7,0,13,2,4,3,5,8,0,2023,Preliminary Finals
27,16,Dayne Zorko,FWD,96,5.5,0,22,6,4,3,17,5,0,2023,Preliminary Finals
28,29,Kieren Briggs,RUC,68,6.1,0,11,3,3,3,9,2,15,2023,Preliminary Finals
29,29,Callum M. Brown,FWD,66,12.3,1,14,4,3,0,5,9,0,2023,Preliminary Finals
30,29,Jack Buckley,KEYD,72,7.5,0,16,6,3,1,9,7,0,2023,Preliminary Finals
31,29,Finn Callaghan,MID,67,12.9,0,21,3,3,3,4,17,0,2023,Preliminary Finals
32,29,Mason Cox,RUC,81,13.3,1,9,4,3,1,6,3,27,2023,Preliminary Finals
33,29,Tom De Koning,RUC,52,6.9,0,8,3,3,0,5,3,16,2023,Preliminary Finals
34,29,Jamie Elliott,FWD,55,7.9,1,10,4,3,1,6,4,0,2023,Preliminary Finals
35,29,Jaspa Fletcher,MID,67,5.9,0,11,8,3,0,9,2,0,2023,Preliminary Finals
36,29,Lachie Fogarty,FWD,32,2.6,0,7,1,3,0,3,4,0,2023,Preliminary Finals
37,29,Bobby Hill,FWD,48,3.9,1,9,2,3,0,8,1,0,2023,Preliminary Finals
38,29,Oliver Hollands,MID,50,5.1,0,11,3,3,1,7,4,0,2023,Preliminary Finals
39,29,Hugh McCluggage,MID,63,7.6,0,15,4,3,0,10,5,0,2023,Preliminary Finals
40,29,Oscar McInerney,RUC,104,16.1,2,14,2,3,6,10,4,38,2023,Preliminary Finals
41,29,Nathan Murphy,KEYD,50,6.2,0,14,1,3,0,9,5,0,2023,Preliminary Finals
42,29,Lachie Neale,MID,77,17.3,0,23,2,3,8,11,12,0,2023,Preliminary Finals
43,29,Nic Newman,DEF,84,9.1,0,23,4,3,0,16,7,0,2023,Preliminary Finals
44,29,Lachie Whitfield,DEF,86,9.3,0,26,3,3,1,19,7,0,2023,Preliminary Finals
45,46,Blake Acres,MID,63,9.6,0,18,4,2,1,7,11,0,2023,Preliminary Finals
46,46,Zac Bailey,FWD,59,10.5,0,19,2,2,6,10,9,0,2023,Preliminary Finals
47,46,Charlie Cameron,FWD,61,0,1,10,5,2,1,8,2,0,2023,Preliminary Finals
