,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Taylor Walker,KEYF,10,3,2,4,0,2015,Finals Week 1
1,2,Lachlan Hansen,KEYD,9,0,2,0,5,2015,Finals Week 1
2,2,Lachie Hunter,MID,9,0,0,0,2,2015,Finals Week 1
3,2,Michael Johnson,KEYD,9,0,1,0,3,2015,Finals Week 1
4,2,Josh J. Kennedy,KEYF,9,5,3,1,0,2015,Finals Week 1
5,2,Mark LeCras,FWD,9,5,0,2,0,2015,Finals Week 1
6,2,Easton Wood,DEF,9,0,1,0,4,2015,Finals Week 1
7,8,Shaun Higgins,FWD,8,3,1,1,0,2015,Finals Week 1
8,8,Jarrad Waite,KEYF,8,5,2,4,0,2015,Finals Week 1
9,10,Troy Chaplin,KEYD,7,0,1,0,3,2015,Finals Week 1
10,10,Adam Goodes,FWD,7,1,1,2,0,2015,Finals Week 1
11,10,Luke Hodge,MID,7,1,0,0,0,2015,Finals Week 1
12,10,Liam Picken,MID,7,0,1,0,1,2015,Finals Week 1
13,10,Jack Riewoldt,KEYF,7,3,3,2,0,2015,Finals Week 1
14,10,Jarryd Roughead,KEYF,7,2,2,1,0,2015,Finals Week 1
15,10,Rhyce Shaw,DEF,7,0,0,0,1,2015,Finals Week 1
16,10,Dean Towers,FWD,7,2,1,1,0,2015,Finals Week 1
17,10,Jack Ziebell,MID,7,0,0,1,1,2015,Finals Week 1
18,19,Hayden Ballantyne,FWD,6,3,0,1,1,2015,Finals Week 1
19,19,Jake Batchelor,DEF,6,0,0,0,1,2015,Finals Week 1
20,19,Patrick Dangerfield,MID,6,0,3,1,1,2015,Finals Week 1
21,19,Josh Gibson,KEYD,6,0,0,0,2,2015,Finals Week 1
22,19,Sam Gibson,MID,6,1,0,0,2,2015,Finals Week 1
23,19,Jarrad Grant,MID,6,3,0,1,0,2015,Finals Week 1
24,19,Josh Hill,FWD,6,1,0,0,1,2015,Finals Week 1
25,19,Bachar Houli,DEF,6,0,3,1,3,2015,Finals Week 1
26,19,Garrick Ibbotson,DEF,6,0,0,0,3,2015,Finals Week 1
27,19,Brian Lake,KEYD,6,1,2,1,2,2015,Finals Week 1
28,19,Anthony Miles,MID,6,1,0,0,0,2015,Finals Week 1
29,19,Tendai Mzungu,MID,6,0,0,0,1,2015,Finals Week 1
30,19,Jack Redpath,KEYF,6,2,2,3,1,2015,Finals Week 1
31,19,Lee Spurr,DEF,6,1,0,0,2,2015,Finals Week 1
32,19,Cam Sutcliffe,DEF,6,0,1,0,3,2015,Finals Week 1
33,19,Kurt Tippett,KEYF,6,2,2,3,1,2015,Finals Week 1
34,19,Mitch Wallis,MID,6,0,0,0,1,2015,Finals Week 1
35,19,Elliot Yeo,MID,6,2,2,0,0,2015,Finals Week 1
36,37,Michael Firrito,KEYD,5,0,3,0,4,2015,Finals Week 1
37,37,Isaac Heeney,FWD,5,1,1,3,0,2015,Finals Week 1
38,37,Taylor Hunt,DEF,5,0,0,1,1,2015,Finals Week 1
39,37,Shannon Hurn,DEF,5,0,0,0,2,2015,Finals Week 1
40,37,Josh P. Kennedy,MID,5,2,1,1,1,2015,Finals Week 1
41,37,Jamie Macmillan,DEF,5,1,1,0,2,2015,Finals Week 1
42,37,Ben McEvoy,RUC,5,1,2,0,2,2015,Finals Week 1
43,37,Ben McGlynn,FWD,5,1,0,1,0,2015,Finals Week 1
44,37,Jarrad McVeigh,MID,5,0,0,1,0,2015,Finals Week 1
45,37,Dale Morris,KEYD,5,0,3,0,4,2015,Finals Week 1
46,37,Matthew Pavlich,KEYF,5,0,1,2,0,2015,Finals Week 1
47,37,Drew Petrie,KEYF,5,2,1,1,0,2015,Finals Week 1
48,37,Alex Rance,KEYD,5,0,0,0,2,2015,Finals Week 1
49,37,Gary Rohan,FWD,5,1,0,0,1,2015,Finals Week 1
50,37,Matt Rosa,MID,5,0,0,0,0,2015,Finals Week 1
51,37,Brad Sheppard,DEF,5,0,1,0,2,2015,Finals Week 1
52,53,Michael Barlow,FWD,4,0,1,0,1,2015,Finals Week 1
53,53,Eddie Betts,FWD,4,4,0,1,0,2015,Finals Week 1
54,53,Matthew Boyd,DEF,4,0,0,0,1,2015,Finals Week 1
55,53,Luke Breust,FWD,4,2,0,0,0,2015,Finals Week 1
56,53,Jamie Cripps,FWD,4,1,0,0,0,2015,Finals Week 1
57,53,Nat Fyfe,MID,4,0,1,0,1,2015,Finals Week 1
58,53,Shaun Grigg,MID,4,0,0,0,0,2015,Finals Week 1
59,53,Dylan Grimes,DEF,4,0,1,0,2,2015,Finals Week 1
60,53,Joel Hamling,KEYD,4,0,3,0,3,2015,Finals Week 1
61,53,Kyle Hartigan,KEYD,4,0,1,0,3,2015,Finals Week 1
62,53,Ricky Henderson,MID,4,0,1,0,0,2015,Finals Week 1
63,53,Stephen Hill,MID,4,0,1,0,1,2015,Finals Week 1
64,53,Lin Jong,MID,4,2,1,0,2,2015,Finals Week 1
65,53,Jordan Lewis,MID,4,0,0,0,0,2015,Finals Week 1
66,53,Jake Lloyd,MID,4,0,0,0,0,2015,Finals Week 1
67,53,Dustin Martin,FWD,4,0,0,1,0,2015,Finals Week 1
68,53,Chris Mayne,FWD,4,3,1,2,0,2015,Finals Week 1
69,53,Kamdyn McIntosh,MID,4,1,0,0,1,2015,Finals Week 1
70,53,Tom Mitchell,MID,4,1,0,1,0,2015,Finals Week 1
71,53,Chris Newman,DEF,4,0,0,0,1,2015,Finals Week 1
72,53,Fletcher Roberts,KEYD,4,0,1,0,0,2015,Finals Week 1
73,53,Tommy Sheridan,DEF,4,0,0,0,0,2015,Finals Week 1
74,53,Callum Sinclair,RUC,4,0,2,0,1,2015,Finals Week 1
75,53,Isaac Smith,MID,4,1,0,0,0,2015,Finals Week 1
76,53,Daniel Talia,KEYD,4,0,1,0,2,2015,Finals Week 1
77,53,Ty Vickery,KEYF,4,0,2,1,0,2015,Finals Week 1
78,53,Sharrod Wellingham,DEF,4,0,2,0,2,2015,Finals Week 1
79,53,Sam Wright,DEF,4,0,0,0,1,2015,Finals Week 1
80,81,Shaun Atley,DEF,3,0,0,0,1,2015,Finals Week 1
81,81,Marcus Bontempelli,MID,3,2,0,0,0,2015,Finals Week 1
82,81,Charles Cameron,FWD,3,1,0,0,0,2015,Finals Week 1
83,81,Zac Clarke,RUC,3,1,0,1,0,2015,Finals Week 1
84,81,Stewart Crameri,FWD,3,0,0,1,0,2015,Finals Week 1
85,81,Matt Crouch,MID,3,0,0,0,1,2015,Finals Week 1
86,81,Harry Cunningham,FWD,3,0,1,0,2,2015,Finals Week 1
87,81,Jack Darling,KEYF,3,2,2,0,0,2015,Finals Week 1
88,81,Zac Dawson,KEYD,3,0,2,0,3,2015,Finals Week 1
89,81,Richard Douglas,MID,3,0,0,0,0,2015,Finals Week 1
90,81,Shane Edwards,FWD,3,0,0,0,0,2015,Finals Week 1
91,81,Xavier Ellis,DEF,3,0,0,0,0,2015,Finals Week 1
92,81,Todd Goldstein,RUC,3,0,2,0,1,2015,Finals Week 1
93,81,Ben Griffiths,KEYF,3,1,1,0,0,2015,Finals Week 1
94,81,Dan Hannebery,MID,3,0,1,0,1,2015,Finals Week 1
95,81,Mark Hutchings,MID,3,0,0,1,0,2015,Finals Week 1
96,81,Ben Jacobs,MID,3,1,1,0,0,2015,Finals Week 1
97,81,Sam Jacobs,RUC,3,0,1,0,1,2015,Finals Week 1
98,81,Josh Jenkins,KEYF,3,0,1,1,0,2015,Finals Week 1
99,81,Lewis Jetta,MID,3,0,0,0,0,2015,Finals Week 1
100,81,Rory Laird,DEF,3,0,1,0,1,2015,Finals Week 1
101,81,Tom Lynch,FWD,3,1,1,0,0,2015,Finals Week 1
102,81,Jeremy McGovern,KEYD,3,0,0,0,2,2015,Finals Week 1
103,81,Sam Mitchell,MID,3,0,0,0,1,2015,Finals Week 1
104,81,David Mundy,MID,3,0,0,0,0,2015,Finals Week 1
105,81,Robert Murphy,DEF,3,0,0,0,0,2015,Finals Week 1
106,81,Lachie Neale,MID,3,1,0,0,1,2015,Finals Week 1
107,81,Sam Reid,KEYF,3,1,1,1,0,2015,Finals Week 1
108,81,Cyril Rioli,FWD,3,1,0,0,0,2015,Finals Week 1
109,81,Aaron Sandilands,RUC,3,0,2,0,2,2015,Finals Week 1
110,81,Dom Sheed,MID,3,1,0,0,0,2015,Finals Week 1
111,81,Luke Shuey,MID,3,0,0,0,1,2015,Finals Week 1
112,81,Scott D. Thompson,KEYD,3,0,1,0,1,2015,Finals Week 1
113,81,Nathan Van Berlo,MID,3,0,0,0,1,2015,Finals Week 1
114,81,Nick Vlastuin,DEF,3,0,0,0,2,2015,Finals Week 1
115,81,Michael Walters,FWD,3,1,0,1,0,2015,Finals Week 1
116,81,Matt de Boer,FWD,3,0,0,0,0,2015,Finals Week 1
117,118,Shane Biggs,DEF,2,0,0,0,0,2015,Finals Week 1
118,118,Luke Brown,DEF,2,1,0,0,0,2015,Finals Week 1
119,118,Shaun Burgoyne,DEF,2,1,0,0,0,2015,Finals Week 1
120,118,Reece Conca,FWD,2,0,0,0,1,2015,Finals Week 1
121,118,Luke Dahlhaus,FWD,2,0,0,0,0,2015,Finals Week 1
122,118,Nick Dal Santo,MID,2,0,1,0,0,2015,Finals Week 1
123,118,Brett Deledio,FWD,2,0,0,2,0,2015,Finals Week 1
124,118,Tory Dickson,FWD,2,2,0,1,0,2015,Finals Week 1
