,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Bachar Houli,DEF,11,2,1,0,3,2017,Grand Final
1,2,Rory Laird,DEF,9,0,0,0,1,2017,Grand Final
2,3,Jake Lever,KEYD,8,0,0,0,3,2017,Grand Final
3,4,Kyle Hartigan,KEYD,6,0,2,0,3,2017,Grand Final
4,4,Jake Kelly,DEF,6,0,1,0,1,2017,Grand Final
5,4,Alex Rance,KEYD,6,0,3,0,5,2017,Grand Final
6,4,Jack Riewoldt,KEYF,6,4,3,1,0,2017,Grand Final
7,4,Nick Vlastuin,DEF,6,0,1,0,3,2017,Grand Final
8,4,Taylor Walker,KEYF,6,4,2,3,0,2017,Grand Final
9,10,Josh Caddy,FWD,5,1,2,0,0,2017,Grand Final
10,10,Josh Jenkins,KEYF,5,1,1,0,0,2017,Grand Final
11,10,Riley Knight,FWD,5,3,1,1,0,2017,Grand Final
12,10,Tom Lynch,FWD,5,1,0,1,0,2017,Grand Final
13,10,Paul Seedsman,MID,5,0,0,0,1,2017,Grand Final
14,15,Rory Atkins,MID,4,0,0,1,0,2017,Grand Final
15,15,Luke Brown,DEF,4,0,0,0,1,2017,Grand Final
16,15,Trent Cotchin,MID,4,0,0,0,0,2017,Grand Final
17,15,Brad Crouch,MID,4,0,0,0,0,2017,Grand Final
18,15,Kane Lambert,FWD,4,1,1,0,1,2017,Grand Final
19,15,Toby Nankervis,RUC,4,0,2,0,3,2017,Grand Final
20,15,Andy Otten,KEYF,4,0,0,2,0,2017,Grand Final
21,15,Dion Prestia,MID,4,0,0,0,0,2017,Grand Final
22,15,Rory Sloane,MID,4,1,1,0,1,2017,Grand Final
23,24,Matt Crouch,MID,3,0,0,0,0,2017,Grand Final
24,24,Brandon Ellis,DEF,3,0,0,0,0,2017,Grand Final
25,24,Sam Jacobs,RUC,3,0,1,0,3,2017,Grand Final
26,27,Eddie Betts,FWD,2,1,1,1,0,2017,Grand Final
27,27,Nathan Broad,DEF,2,0,0,0,0,2017,Grand Final
28,27,Charles Cameron,FWD,2,1,0,0,0,2017,Grand Final
29,27,Richard Douglas,MID,2,0,0,0,0,2017,Grand Final
30,27,Shane Edwards,FWD,2,0,0,0,0,2017,Grand Final
31,27,Jack Graham,MID,2,1,0,1,0,2017,Grand Final
32,27,Dylan Grimes,DEF,2,0,0,0,0,2017,Grand Final
33,27,David Mackay,MID,2,1,0,0,0,2017,Grand Final
34,27,Kamdyn McIntosh,MID,2,0,0,0,1,2017,Grand Final
35,27,Daniel Rioli,FWD,2,0,1,0,0,2017,Grand Final
36,27,Daniel Talia,KEYD,2,0,0,0,2,2017,Grand Final
37,27,Jacob Townsend,FWD,2,2,0,1,1,2017,Grand Final
38,39,David Astbury,KEYD,1,0,0,0,1,2017,Grand Final
39,39,Hugh Greenwood,MID,1,0,0,0,0,2017,Grand Final
40,39,Shaun Grigg,MID,1,1,0,0,0,2017,Grand Final
41,39,Dustin Martin,MID,1,1,1,0,0,2017,Grand Final
42,43,Dan Butler,FWD,0,0,0,0,0,2017,Grand Final
43,43,Jason Castagna,FWD,0,0,0,0,0,2017,Grand Final
