,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Hayden Young,DEF,11,0,0,0,3,2022,Semi Finals
1,2,Jack Payne,KEYD,10,0,0,0,0,2022,Semi Finals
2,3,Blake Acres,MID,9,0,0,0,2,2022,Semi Finals
3,3,Keidean Coleman,DEF,9,0,1,0,3,2022,Semi Finals
4,5,Jarrod Berry,MID,8,0,1,0,0,2022,Semi Finals
5,5,Jeremy Howe,KEYD,8,0,1,0,4,2022,Semi Finals
6,5,Harrison Petty,KEYD,8,1,3,0,5,2022,Semi Finals
7,8,Harris Andrews,KEYD,7,0,0,0,1,2022,Semi Finals
8,8,Heath Chapman,DEF,7,0,0,0,0,2022,Semi Finals
9,8,Nick Daicos,DEF,7,0,0,0,3,2022,Semi Finals
10,8,Darcy Gardiner,KEYD,7,0,1,0,2,2022,Semi Finals
11,8,Steele Sidebottom,MID,7,0,0,2,0,2022,Semi Finals
12,13,Eric Hipwood,KEYF,6,4,2,2,0,2022,Semi Finals
13,13,Jake Lever,KEYD,6,0,2,0,5,2022,Semi Finals
14,13,Daniel McStay,KEYF,6,0,1,2,0,2022,Semi Finals
15,13,Jake Melksham,FWD,6,2,2,1,0,2022,Semi Finals
16,13,Alex Neal-Bullen,FWD,6,2,0,2,0,2022,Semi Finals
17,13,John Noble,DEF,6,0,0,0,0,2022,Semi Finals
18,13,Luke Ryan,DEF,6,0,0,0,1,2022,Semi Finals
19,13,Dayne Zorko,FWD,6,0,0,0,1,2022,Semi Finals
20,21,Zac Bailey,FWD,5,1,1,0,0,2022,Semi Finals
21,21,Trent Bianco,FWD,5,0,0,1,0,2022,Semi Finals
22,21,Angus Brayshaw,DEF,5,0,0,0,0,2022,Semi Finals
23,21,Ben Brown,KEYF,5,0,1,1,0,2022,Semi Finals
24,21,Mason Cox,RUC,5,0,3,0,1,2022,Semi Finals
25,21,Brennan Cox,KEYD,5,0,1,0,1,2022,Semi Finals
26,21,Bayley Fritsch,FWD,5,2,1,1,1,2022,Semi Finals
27,21,Jack Ginnivan,FWD,5,3,1,1,0,2022,Semi Finals
28,21,Will Hoskin-Elliott,FWD,5,2,0,1,1,2022,Semi Finals
29,21,Steven May,KEYD,5,0,2,0,3,2022,Semi Finals
30,21,Brayden Maynard,DEF,5,0,1,0,2,2022,Semi Finals
31,21,Hugh McCluggage,MID,5,0,0,0,0,2022,Semi Finals
32,21,Brody Mihocek,KEYF,5,4,2,1,0,2022,Semi Finals
33,21,Nathan Murphy,KEYD,5,0,0,0,2,2022,Semi Finals
34,21,Alex Pearce,KEYD,5,0,1,0,1,2022,Semi Finals
35,21,Trent Rivers,DEF,5,0,0,0,0,2022,Semi Finals
36,37,Andrew Brayshaw,MID,4,0,0,0,0,2022,Semi Finals
37,37,Jordan Clark,DEF,4,0,1,0,3,2022,Semi Finals
38,37,Josh Daicos,MID,4,1,0,0,0,2022,Semi Finals
39,37,Max Gawn,RUC,4,0,2,0,3,2022,Semi Finals
40,37,James Harmes,FWD,4,0,0,0,2,2022,Semi Finals
41,37,Rory Lobb,KEYF,4,1,3,1,0,2022,Semi Finals
42,37,David Mundy,MID,4,0,0,0,0,2022,Semi Finals
43,37,Lachie Schultz,FWD,4,2,0,0,0,2022,Semi Finals
44,37,Caleb Serong,MID,4,0,0,0,0,2022,Semi Finals
45,46,Noah Answerth,DEF,3,0,0,0,0,2022,Semi Finals
46,46,Charlie Cameron,FWD,3,3,0,2,0,2022,Semi Finals
47,46,Jack Crisp,MID,3,1,0,0,0,2022,Semi Finals
48,46,Ash Johnson,KEYF,3,0,1,0,0,2022,Semi Finals
49,46,Patrick Lipinski,FWD,3,0,0,0,0,2022,Semi Finals
50,46,Griffin Logue,KEYD,3,1,0,1,0,2022,Semi Finals
51,46,Christian Petracca,MID,3,0,0,0,0,2022,Semi Finals
52,46,Isaac Quaynor,DEF,3,0,0,0,0,2022,Semi Finals
53,46,Daniel Rich,DEF,3,0,0,0,0,2022,Semi Finals
54,46,Deven Robertson,FWD,3,0,0,1,1,2022,Semi Finals
55,46,Tom Sparrow,FWD,3,1,0,0,0,2022,Semi Finals
56,46,Michael Walters,FWD,3,1,1,0,0,2022,Semi Finals
57,58,Callum Ah Chee,MID,2,0,0,0,2,2022,Semi Finals
58,58,James Aish,MID,2,0,0,0,0,2022,Semi Finals
59,58,Jye Amiss,KEYF,2,0,2,0,0,2022,Semi Finals
