,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1
0,Greater Western Sydney,Sydney,37.0,100.0,Stadium Australia,2012,Round 1,Sat,24-Mar-2012,38203.0,0
1,Richmond,Carlton,81.0,125.0,M.C.G.,2012,Round 1,Thu,29-Mar-2012,78285.0,0
2,Hawthorn,Collingwood,137.0,115.0,M.C.G.,2012,Round 1,Fri,30-Mar-2012,78466.0,1
3,Melbourne,Brisbane Lions,78.0,119.0,M.C.G.,2012,Round 1,Sat,31-Mar-2012,33473.0,0
4,Gold Coast,Adelaide,68.0,137.0,Carrara,2012,Round 1,Sat,31-Mar-2012,12790.0,0
5,Fremantle,Geelong,105.0,101.0,Subiaco,2012,Round 1,Sat,31-Mar-2012,34601.0,1
6,North Melbourne,Essendon,102.0,104.0,Docklands,2012,Round 1,Sat,31-Mar-2012,45818.0,0
7,Western Bulldogs,West Coast,87.0,136.0,Docklands,2012,Round 1,Sun,01-Apr-2012,24977.0,0
8,Port Adelaide,St Kilda,89.0,85.0,Football Park,2012,Round 1,Sun,01-Apr-2012,21179.0,1
9,Brisbane Lions,Carlton,63.0,154.0,Gabba,2012,Round 2,Thu,05-Apr-2012,25913.0,0
10,Essendon,Port Adelaide,111.0,86.0,Docklands,2012,Round 2,Sat,07-Apr-2012,34118.0,1
11,Sydney,Fremantle,94.0,81.0,S.C.G.,2012,Round 2,Sat,07-Apr-2012,22242.0,1
12,West Coast,Melbourne,166.0,58.0,Subiaco,2012,Round 2,Sat,07-Apr-2012,35674.0,1
13,Adelaide,Western Bulldogs,82.0,64.0,Football Park,2012,Round 2,Sat,07-Apr-2012,34021.0,1
14,Collingwood,Richmond,85.0,64.0,M.C.G.,2012,Round 2,Sat,07-Apr-2012,57268.0,1
15,North Melbourne,Greater Western Sydney,183.0,54.0,Bellerive Oval,2012,Round 2,Sun,08-Apr-2012,11127.0,1
16,St Kilda,Gold Coast,139.0,47.0,Docklands,2012,Round 2,Sun,08-Apr-2012,21078.0,1
17,Geelong,Hawthorn,92.0,90.0,M.C.G.,2012,Round 2,Mon,09-Apr-2012,69231.0,1
18,Carlton,Collingwood,122.0,62.0,M.C.G.,2012,Round 3,Fri,13-Apr-2012,84259.0,1
19,Richmond,Melbourne,133.0,74.0,M.C.G.,2012,Round 3,Sat,14-Apr-2012,49826.0,1
20,Port Adelaide,Sydney,83.0,105.0,Football Park,2012,Round 3,Sat,14-Apr-2012,19032.0,0
21,Fremantle,Brisbane Lions,64.0,35.0,Subiaco,2012,Round 3,Sat,14-Apr-2012,33473.0,1
22,Gold Coast,Essendon,88.0,105.0,Carrara,2012,Round 3,Sat,14-Apr-2012,17069.0,0
23,Western Bulldogs,St Kilda,40.0,103.0,Docklands,2012,Round 3,Sat,14-Apr-2012,28971.0,0
24,Greater Western Sydney,West Coast,69.0,150.0,Blacktown,2012,Round 3,Sun,15-Apr-2012,6875.0,0
25,Hawthorn,Adelaide,140.0,84.0,M.C.G.,2012,Round 3,Sun,15-Apr-2012,33524.0,1
26,North Melbourne,Geelong,131.0,114.0,Docklands,2012,Round 3,Sun,15-Apr-2012,29630.0,1
27,St Kilda,Fremantle,79.0,92.0,Docklands,2012,Round 4,Fri,20-Apr-2012,30172.0,0
28,Carlton,Essendon,79.0,109.0,M.C.G.,2012,Round 4,Sat,21-Apr-2012,73172.0,0
29,Collingwood,Port Adelaide,97.0,73.0,Docklands,2012,Round 4,Sat,21-Apr-2012,30741.0,1
30,Adelaide,Greater Western Sydney,96.0,50.0,Football Park,2012,Round 4,Sat,21-Apr-2012,28261.0,1
31,West Coast,Hawthorn,51.0,46.0,Subiaco,2012,Round 4,Sat,21-Apr-2012,40080.0,1
32,Brisbane Lions,Gold Coast,111.0,46.0,Gabba,2012,Round 4,Sat,21-Apr-2012,21980.0,1
33,Geelong,Richmond,75.0,65.0,Kardinia Park,2012,Round 4,Sun,22-Apr-2012,21952.0,1
34,Sydney,North Melbourne,113.0,77.0,S.C.G.,2012,Round 4,Sun,22-Apr-2012,21049.0,1
35,Melbourne,Western Bulldogs,67.0,88.0,M.C.G.,2012,Round 4,Sun,22-Apr-2012,33565.0,0
36,Collingwood,Essendon,80.0,79.0,M.C.G.,2012,Round 5,Wed,25-Apr-2012,86932.0,1
37,Fremantle,Carlton,57.0,65.0,Subiaco,2012,Round 5,Fri,27-Apr-2012,38847.0,0
38,Greater Western Sydney,Western Bulldogs,62.0,104.0,Manuka Oval,2012,Round 5,Sat,28-Apr-2012,9128.0,0
39,North Melbourne,Gold Coast,127.0,93.0,Docklands,2012,Round 5,Sat,28-Apr-2012,17680.0,1
40,Melbourne,St Kilda,66.0,84.0,M.C.G.,2012,Round 5,Sat,28-Apr-2012,24877.0,0
41,Brisbane Lions,Geelong,41.0,79.0,Gabba,2012,Round 5,Sat,28-Apr-2012,15534.0,0
42,Hawthorn,Sydney,69.0,106.0,York Park,2012,Round 5,Sun,29-Apr-2012,19217.0,0
43,Richmond,West Coast,97.0,107.0,Docklands,2012,Round 5,Sun,29-Apr-2012,28464.0,0
