,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Tom Liberatore,MID,21,8,8,3,72.4,15,1,2014,Round 10
1,2,Travis Boak,MID,19,12,3,9,61.3,13,2,2014,Round 10
2,2,Matthew Priddis,MID,19,15,0,0,0,0,0,2014,Round 10
3,4,Patrick Dangerfield,MID,18,7,5,4,72,13,1,2014,Round 10
4,4,Levi Greenwood,MID,18,14,5,11,56.3,12,0,2014,Round 10
5,4,Scott Pendlebury,MID,18,15,0,0,0,0,0,2014,Round 10
6,7,Gary Ablett,MID,17,8,5,1,68,9,2,2014,Round 10
7,8,Adam Treloar,MID,16,18,8,10,47.1,12,0,2014,Round 10
8,9,Richard Douglas,MID,15,14,7,3,51.7,11,2,2014,Round 10
9,9,Steele Sidebottom,MID,15,13,0,0,0,0,0,2014,Round 10
10,11,Jimmy Bartel,FWD,14,17,10,3,45.2,10,3,2014,Round 10
11,11,Ryan Griffen,MID,14,13,2,3,51.9,12,2,2014,Round 10
12,11,Tom Hawkins,KEYF,14,4,1,4,77.8,7,6,2014,Round 10
13,11,Scott Thompson,MID,14,17,3,2,45.2,10,0,2014,Round 10
14,15,Troy Chaplin,KEYD,13,7,13,1,65,10,0,2014,Round 10
15,15,Jordan Lewis,MID,13,24,2,7,35.1,10,2,2014,Round 10
16,15,Dylan Shiel,MID,13,22,3,6,37.1,5,0,2014,Round 10
17,15,Matt Thomas,MID,13,16,4,3,44.8,10,1,2014,Round 10
18,19,Dayne Beams,MID,12,18,0,0,0,0,0,2014,Round 10
19,19,Brad Ebert,MID,12,16,3,6,42.9,10,0,2014,Round 10
20,19,Brandon Ellis,MID,12,22,5,6,35.3,10,0,2014,Round 10
21,19,Bryce Gibbs,MID,12,17,5,5,41.4,9,1,2014,Round 10
22,19,Brock McLean,FWD,12,14,3,5,46.2,6,1,2014,Round 10
23,19,Dion Prestia,MID,12,24,6,7,33.3,8,0,2014,Round 10
24,19,Kade Simpson,DEF,12,25,6,7,32.4,11,0,2014,Round 10
25,19,Jarrad Waite,KEYF,12,5,2,6,70.6,6,3,2014,Round 10
26,19,Callan Ward,MID,12,6,4,3,66.7,9,0,2014,Round 10
27,28,Adam Cooney,MID,11,7,0,4,61.1,7,1,2014,Round 10
28,28,Robbie Gray,FWD,11,8,1,2,57.9,8,1,2014,Round 10
29,28,Brent Harvey,FWD,11,22,4,4,33.3,8,2,2014,Round 10
30,28,Heritier Lumumba,DEF,11,13,0,0,0,0,0,2014,Round 10
31,28,Jack Macrae,MID,11,14,3,4,44,6,1,2014,Round 10
32,28,Dustin Martin,FWD,11,27,1,5,28.9,6,0,2014,Round 10
33,28,Nic Naitanui,RUC,11,5,0,0,0,0,0,2014,Round 10
34,28,Paul Puopolo,FWD,11,12,2,3,47.8,8,2,2014,Round 10
35,28,Isaac Smith,FWD,11,17,2,5,39.3,9,1,2014,Round 10
36,28,Sharrod Wellingham,FWD,11,10,0,0,0,0,0,2014,Round 10
37,28,Marley Williams,DEF,11,8,0,0,0,0,0,2014,Round 10
38,28,Jack Ziebell,MID,11,15,5,5,42.3,10,0,2014,Round 10
39,40,Luke Dahlhaus,FWD,10,17,2,2,37,9,2,2014,Round 10
40,40,Andrejs Everitt,MID,10,11,5,4,47.6,6,1,2014,Round 10
41,40,Andrew Gaff,MID,10,16,0,0,0,0,0,2014,Round 10
42,40,Darren Glass,KEYD,10,13,0,0,0,0,0,2014,Round 10
43,40,Cameron Guthrie,MID,10,12,1,4,45.5,9,3,2014,Round 10
44,40,Mitch Hallahan,MID,10,10,3,4,50,10,1,2014,Round 10
45,40,Jarrod Harbrow,DEF,10,17,5,4,37,6,0,2014,Round 10
46,40,Rory Sloane,MID,10,10,7,6,50,8,1,2014,Round 10
47,40,Mathew Stokes,MID,10,18,4,2,35.7,9,1,2014,Round 10
48,49,Matthew Boyd,MID,9,20,4,3,31,4,0,2014,Round 10
49,49,Shaun Burgoyne,DEF,9,15,4,5,37.5,8,2,2014,Round 10
50,49,Ben Cunnington,MID,9,6,2,2,60,7,1,2014,Round 10
51,49,Nick Dal Santo,FWD,9,19,4,3,32.1,6,1,2014,Round 10
52,49,Shane Edwards,FWD,9,5,3,2,64.3,5,0,2014,Round 10
53,49,Luke Hodge,MID,9,11,3,3,45,5,0,2014,Round 10
54,49,Sam Jacobs,RUC,9,12,6,0,42.9,6,0,2014,Round 10
55,49,James Kelly,DEF,9,24,4,4,27.3,6,0,2014,Round 10
56,49,Rory Laird,DEF,9,19,13,6,32.1,6,0,2014,Round 10
57,49,David Mackay,MID,9,9,2,3,50,6,3,2014,Round 10
58,49,Scott Selwood,MID,9,17,0,0,0,0,0,2014,Round 10
59,49,Liam Shiels,MID,9,17,3,3,34.6,5,1,2014,Round 10
60,49,Elliot Yeo,DEF,9,10,0,0,0,0,0,2014,Round 10
61,62,Eddie Betts,FWD,8,5,1,0,61.5,7,5,2014,Round 10
62,62,Reece Conca,MID,8,13,0,1,38.1,6,1,2014,Round 10
63,62,Jack Darling,KEYF,8,10,0,0,0,0,0,2014,Round 10
64,62,Mitch Duncan,MID,8,11,2,2,42.1,5,1,2014,Round 10
65,62,Jamie Elliott,FWD,8,11,0,0,0,0,0,2014,Round 10
66,62,Michael Firrito,DEF,8,11,6,5,42.1,4,0,2014,Round 10
67,62,Chris Masten,MID,8,19,0,0,0,0,0,2014,Round 10
68,62,Hamish McIntosh,RUC,8,8,4,3,50,3,2,2014,Round 10
69,62,Kane Mitchell,FWD,8,8,3,2,50,6,0,2014,Round 10
70,62,Marc Murphy,MID,8,13,3,3,38.1,4,1,2014,Round 10
71,62,Alex Rance,KEYD,8,13,9,3,38.1,5,0,2014,Round 10
72,62,Joel Selwood,MID,8,19,3,4,29.6,5,1,2014,Round 10
73,62,Brad Sewell,MID,8,11,2,4,42.1,6,0,2014,Round 10
74,62,Jonathan Simpkin,FWD,8,10,1,3,44.4,5,2,2014,Round 10
75,62,Ben Stratton,KEYD,8,9,8,1,47.1,5,0,2014,Round 10
76,62,David Swallow,MID,8,9,3,1,47.1,7,2,2014,Round 10
77,62,Chad Wingard,FWD,8,7,3,1,53.3,3,2,2014,Round 10
78,79,Leigh Adams,FWD,7,13,5,4,35,5,2,2014,Round 10
79,79,Luke Ball,FWD,7,12,0,0,0,0,0,2014,Round 10
80,79,Ryan Bastinac,MID,7,7,0,2,50,6,3,2014,Round 10
81,79,Grant Birchall,DEF,7,14,8,3,33.3,4,0,2014,Round 10
82,79,Marcus Bontempelli,FWD,7,6,1,1,53.8,6,2,2014,Round 10
83,79,Jonathon Ceglar,RUC,7,9,2,1,43.8,3,0,2014,Round 10
84,79,Dean Cox,RUC,7,10,0,0,0,0,0,2014,Round 10
85,79,Stewart Crameri,FWD,7,6,1,4,53.8,6,3,2014,Round 10
86,79,Majak Daw,KEYF,7,2,1,1,77.8,6,2,2014,Round 10
