,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Nat Fyfe,MID,21,8,3,4,72.4,15,3,2014,Semi Finals
1,2,Hamish Hartlett,FWD,17,16,5,4,51.5,13,0,2014,Semi Finals
2,2,Lachie Neale,MID,17,16,3,4,51.5,13,3,2014,Semi Finals
3,4,Joel Selwood,MID,16,10,3,3,61.5,5,0,2014,Semi Finals
4,5,Josh Caddy,MID,15,12,3,4,55.6,12,2,2014,Semi Finals
5,5,Sam Gibson,MID,15,21,6,8,41.7,11,1,2014,Semi Finals
6,7,Ben Cunnington,MID,14,8,2,4,63.6,10,0,2014,Semi Finals
7,8,Robbie Gray,FWD,13,5,4,2,72.2,5,4,2014,Semi Finals
8,8,Ollie Wines,MID,13,13,2,6,50,11,2,2014,Semi Finals
9,10,Nick Dal Santo,FWD,11,24,3,4,31.4,8,1,2014,Semi Finals
10,10,Brad Ebert,MID,11,7,5,5,61.1,9,1,2014,Semi Finals
11,10,Todd Goldstein,RUC,11,6,5,3,64.7,4,0,2014,Semi Finals
12,10,Cameron Guthrie,MID,11,2,1,3,84.6,8,3,2014,Semi Finals
13,10,Brent Harvey,FWD,11,15,7,1,42.3,8,1,2014,Semi Finals
14,10,David Mundy,MID,11,15,2,3,42.3,6,0,2014,Semi Finals
15,16,Michael Barlow,MID,10,13,2,4,43.5,6,0,2014,Semi Finals
16,17,Tom Hawkins,KEYF,9,10,0,2,47.4,3,3,2014,Semi Finals
17,17,Stephen Hill,MID,9,19,4,6,32.1,8,2,2014,Semi Finals
18,17,Andrew Swallow,MID,9,13,1,4,40.9,6,0,2014,Semi Finals
19,20,Mitch Duncan,MID,8,12,3,2,40,5,0,2014,Semi Finals
20,20,Chris Mayne,FWD,8,3,2,1,72.7,4,1,2014,Semi Finals
21,20,Danyle Pearce,FWD,8,12,5,6,40,4,0,2014,Semi Finals
22,20,Jackson Trengove,KEYD,8,5,4,3,61.5,5,0,2014,Semi Finals
23,20,Chad Wingard,FWD,8,10,3,4,44.4,6,2,2014,Semi Finals
24,25,Travis Boak,MID,7,8,1,2,46.7,7,2,2014,Semi Finals
25,25,Ryan Crowley,MID,7,4,2,3,63.6,7,0,2014,Semi Finals
26,25,Levi Greenwood,MID,7,15,2,1,31.8,4,0,2014,Semi Finals
27,25,George Horlin-Smith,MID,7,4,2,3,63.6,5,1,2014,Semi Finals
28,25,Jared Polec,MID,7,10,3,5,41.2,5,1,2014,Semi Finals
29,25,Daniel Wells,MID,7,15,5,5,31.8,4,0,2014,Semi Finals
30,25,Justin Westhoff,KEYF,7,14,4,4,33.3,4,1,2014,Semi Finals
31,32,Zac Clarke,RUC,6,2,2,3,75,3,1,2014,Semi Finals
32,32,Kane Cornes,MID,6,11,2,1,35.3,5,0,2014,Semi Finals
33,32,Jack Hombsch,KEYD,6,11,5,5,35.3,5,0,2014,Semi Finals
34,32,James Kelly,DEF,6,3,6,3,66.7,4,0,2014,Semi Finals
35,32,Steven Motlop,FWD,6,7,2,4,46.2,4,0,2014,Semi Finals
36,32,Jake Neade,FWD,6,10,2,1,37.5,3,0,2014,Semi Finals
37,32,Jay Schulz,KEYF,6,7,2,2,46.2,3,1,2014,Semi Finals
38,32,Mathew Stokes,MID,6,7,4,3,46.2,3,0,2014,Semi Finals
39,32,Travis Varcoe,DEF,6,8,2,3,42.9,4,0,2014,Semi Finals
40,32,Matt de Boer,FWD,6,7,2,4,46.2,5,0,2014,Semi Finals
41,42,Mark Blicavs,RUC,5,4,1,2,55.6,2,1,2014,Semi Finals
42,42,Ben Brown,KEYF,5,3,0,2,62.5,3,1,2014,Semi Finals
43,42,Paul Duffield,DEF,5,4,5,4,55.6,3,0,2014,Semi Finals
44,42,Corey Enright,DEF,5,11,5,4,31.3,4,1,2014,Semi Finals
45,42,Garrick Ibbotson,DEF,5,10,7,2,33.3,0,0,2014,Semi Finals
46,42,Tom Lonergan,KEYD,5,3,6,0,62.5,2,0,2014,Semi Finals
47,42,Cameron O'Shea,DEF,5,10,6,3,33.3,4,0,2014,Semi Finals
48,42,Nicholas Suban,FWD,5,5,2,3,50,4,1,2014,Semi Finals
49,50,Jimmy Bartel,FWD,4,10,2,5,28.6,1,0,2014,Semi Finals
50,50,Aaron Black,KEYF,4,7,0,1,36.4,2,2,2014,Semi Finals
51,50,Matthew Broadbent,DEF,4,14,5,3,22.2,3,0,2014,Semi Finals
52,50,Hayden Crozier,FWD,4,9,2,2,30.8,2,0,2014,Semi Finals
53,50,Michael Firrito,DEF,4,7,4,2,36.4,4,0,2014,Semi Finals
54,50,Nathan Grima,KEYD,4,7,7,2,36.4,4,0,2014,Semi Finals
55,50,Matthew Lobbe,RUC,4,3,1,0,57.1,2,0,2014,Semi Finals
56,50,Lincoln McCarthy,FWD,4,2,0,0,66.7,4,2,2014,Semi Finals
57,50,Luke McDonald,DEF,4,16,4,2,20,3,0,2014,Semi Finals
58,50,Angus Monfries,FWD,4,7,0,4,36.4,2,1,2014,Semi Finals
59,50,Andrew Moore,MID,4,4,0,2,50,3,0,2014,Semi Finals
60,50,Jordan Murdoch,FWD,4,4,1,2,50,2,0,2014,Semi Finals
61,50,Drew Petrie,KEYF,4,10,2,0,28.6,1,0,2014,Semi Finals
62,50,Jared Rivers,KEYD,4,6,4,2,40,2,0,2014,Semi Finals
63,50,Aaron Sandilands,RUC,4,5,1,0,44.4,3,0,2014,Semi Finals
64,50,Harry Taylor,KEYD,4,6,7,2,40,2,0,2014,Semi Finals
65,50,Scott D. Thompson,KEYD,4,15,5,7,21.1,2,0,2014,Semi Finals
