,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Josh P. Kennedy,MID,18,10,1,3,64.3,15,5,2017,Finals Week 1
1,1,Dion Prestia,MID,18,14,4,4,56.3,10,1,2017,Finals Week 1
2,3,Hugh Greenwood,MID,17,4,4,5,81,12,3,2017,Finals Week 1
3,3,Ollie Wines,MID,17,10,5,3,63,14,4,2017,Finals Week 1
4,5,Charlie Dixon,KEYF,16,7,3,4,69.6,8,4,2017,Finals Week 1
5,5,Luke Parker,MID,16,12,3,4,57.1,7,3,2017,Finals Week 1
6,5,Matthew Priddis,MID,16,16,3,9,50,13,0,2017,Finals Week 1
7,8,Patrick Dangerfield,MID,15,18,4,13,45.5,11,2,2017,Finals Week 1
8,8,Kane Lambert,FWD,15,10,3,6,60,13,3,2017,Finals Week 1
9,8,Jack Redden,MID,15,7,3,6,68.2,13,0,2017,Finals Week 1
10,11,Darcy Byrne-Jones,DEF,14,11,13,3,56,9,1,2017,Finals Week 1
11,11,Stephen Coniglio,MID,14,15,2,1,48.3,5,0,2017,Finals Week 1
12,11,Trent Cotchin,MID,14,4,4,3,77.8,13,2,2017,Finals Week 1
13,11,Matt Crouch,MID,14,17,4,6,45.2,12,1,2017,Finals Week 1
14,11,Mitch Duncan,MID,14,14,4,3,50,11,1,2017,Finals Week 1
15,11,Dustin Martin,MID,14,12,5,3,53.8,13,4,2017,Finals Week 1
16,11,Darcy Parish,FWD,14,7,3,4,66.7,12,0,2017,Finals Week 1
17,11,Luke Shuey,MID,14,18,1,5,43.8,8,0,2017,Finals Week 1
18,19,Robbie Gray,FWD,13,17,4,5,43.3,7,1,2017,Finals Week 1
19,19,Tom Lynch,FWD,13,12,5,1,52,11,0,2017,Finals Week 1
20,19,Jeremy McGovern,KEYD,13,13,11,8,50,7,0,2017,Finals Week 1
21,19,Drew Petrie,KEYF,13,4,6,5,76.5,7,1,2017,Finals Week 1
22,19,Scott Selwood,MID,13,12,4,5,52,9,1,2017,Finals Week 1
23,24,Josh Kelly,MID,12,21,5,7,36.4,11,0,2017,Finals Week 1
24,24,Zach Tuohy,DEF,12,13,9,8,48,11,1,2017,Finals Week 1
25,24,Zac Williams,DEF,12,8,11,6,60,12,1,2017,Finals Week 1
26,27,Karl Amon,MID,11,13,7,6,45.8,8,0,2017,Finals Week 1
27,27,Hamish Hartlett,DEF,11,10,12,2,52.4,10,0,2017,Finals Week 1
28,27,Dyson Heppell,MID,11,14,1,5,44,6,0,2017,Finals Week 1
29,27,Sam Mitchell,MID,11,18,2,5,37.9,8,1,2017,Finals Week 1
30,27,Tom Scully,MID,11,16,1,4,40.7,7,1,2017,Finals Week 1
31,27,Joel Selwood,MID,11,7,2,1,61.1,7,0,2017,Finals Week 1
32,27,Dylan Shiel,MID,11,7,3,5,61.1,7,0,2017,Finals Week 1
33,27,Matt de Boer,FWD,11,6,2,2,64.7,11,6,2017,Finals Week 1
34,35,Brad Crouch,MID,10,14,6,4,41.7,5,1,2017,Finals Week 1
35,35,Joe Daniher,KEYF,10,7,0,5,58.8,2,1,2017,Finals Week 1
36,35,Jack Darling,KEYF,10,1,1,1,90.9,7,2,2017,Finals Week 1
37,35,Richard Douglas,MID,10,8,2,5,55.6,8,0,2017,Finals Week 1
38,35,Toby Greene,FWD,10,6,0,6,62.5,6,2,2017,Finals Week 1
39,35,Zach Guthrie,DEF,10,4,7,1,71.4,7,0,2017,Finals Week 1
40,35,Riley Knight,FWD,10,8,5,4,55.6,6,1,2017,Finals Week 1
41,35,Dom Sheed,MID,10,10,2,0,50,6,1,2017,Finals Week 1
42,35,Dean Towers,FWD,10,5,3,5,66.7,6,1,2017,Finals Week 1
43,35,Jobe Watson,MID,10,10,2,6,50,6,0,2017,Finals Week 1
44,35,Chad Wingard,FWD,10,14,3,5,41.7,8,2,2017,Finals Week 1
45,46,Eddie Betts,FWD,9,4,1,1,69.2,6,4,2017,Finals Week 1
46,46,Josh Caddy,FWD,9,7,4,5,56.3,6,2,2017,Finals Week 1
47,46,Jamie Cripps,FWD,9,8,3,9,52.9,8,3,2017,Finals Week 1
48,46,Brad Ebert,MID,9,14,2,6,39.1,5,0,2017,Finals Week 1
49,46,Shane Edwards,FWD,9,14,6,5,39.1,8,2,2017,Finals Week 1
50,46,Jacob Hopper,MID,9,11,6,6,45,8,2,2017,Finals Week 1
51,46,Toby Nankervis,RUC,9,2,0,1,81.8,2,0,2017,Finals Week 1
52,46,Alex Rance,KEYD,9,7,9,3,56.3,5,0,2017,Finals Week 1
53,46,Jack Riewoldt,KEYF,9,9,2,4,50,5,2,2017,Finals Week 1
54,46,Callan Ward,MID,9,23,4,4,28.1,7,0,2017,Finals Week 1
55,56,Travis Boak,FWD,8,18,4,4,30.8,6,1,2017,Finals Week 1
56,56,Luke Brown,DEF,8,9,7,2,47.1,7,0,2017,Finals Week 1
57,56,Aidan Corr,KEYD,8,4,9,1,66.7,5,0,2017,Finals Week 1
58,56,Brett Deledio,FWD,8,4,4,2,66.7,7,2,2017,Finals Week 1
59,56,Martin Gleeson,DEF,8,16,10,3,33.3,6,0,2017,Finals Week 1
60,56,Jack Graham,MID,8,1,4,2,88.9,6,0,2017,Finals Week 1
61,56,Tom Hawkins,KEYF,8,7,0,4,53.3,4,2,2017,Finals Week 1
62,56,Bachar Houli,DEF,8,12,8,4,40,6,0,2017,Finals Week 1
63,56,Sam Jacobs,RUC,8,2,2,3,80,4,0,2017,Finals Week 1
64,56,Eric Mackenzie,KEYD,8,7,7,3,53.3,3,0,2017,Finals Week 1
65,56,Anthony McDonald-Tipungwuti,FWD,8,3,2,1,72.7,6,1,2017,Finals Week 1
66,56,Sam Naismith,RUC,8,1,1,2,88.9,4,0,2017,Finals Week 1
67,56,Sam Powell-Pepper,MID,8,10,1,2,44.4,5,2,2017,Finals Week 1
68,56,Sam Reid,KEYF,8,5,1,1,61.5,3,2,2017,Finals Week 1
69,56,Paddy Ryder,RUC,8,0,0,1,100,6,1,2017,Finals Week 1
70,56,Zac Smith,RUC,8,4,4,2,66.7,3,0,2017,Finals Week 1
71,72,Riley Bonner,DEF,7,12,5,2,36.8,6,0,2017,Finals Week 1
72,72,Travis Colyer,MID,7,13,0,2,35,5,3,2017,Finals Week 1
73,72,Sam Gray,FWD,7,10,2,4,41.2,5,2,2017,Finals Week 1
74,72,Shaun Grigg,MID,7,11,2,6,38.9,6,1,2017,Finals Week 1
75,72,Heath Grundy,KEYD,7,16,9,3,30.4,3,0,2017,Finals Week 1
76,72,Michael Hurley,KEYD,7,22,8,3,24.1,5,0,2017,Finals Week 1
77,72,Jake Lever,KEYD,7,8,8,0,46.7,4,0,2017,Finals Week 1
78,72,Zach Merrett,MID,7,14,3,4,33.3,7,0,2017,Finals Week 1
79,72,Nick Vlastuin,DEF,7,10,10,3,41.2,4,0,2017,Finals Week 1
80,72,Taylor Walker,KEYF,7,6,1,4,53.8,3,2,2017,Finals Week 1
81,72,Justin Westhoff,MID,7,16,4,4,30.4,4,1,2017,Finals Week 1
82,83,Phil Davis,KEYD,6,5,6,3,54.5,4,0,2017,Finals Week 1
83,83,Orazio Fantasia,FWD,6,11,1,4,35.3,6,2,2017,Finals Week 1
84,83,Dan Hannebery,MID,6,14,3,2,30,4,2,2017,Finals Week 1
85,83,Nick Haynes,DEF,6,8,6,5,42.9,3,0,2017,Finals Week 1
86,83,Isaac Heeney,MID,6,8,4,2,42.9,5,1,2017,Finals Week 1
87,83,George Hewett,FWD,6,14,1,3,30,5,0,2017,Finals Week 1
88,83,Harry Himmelberg,KEYF,6,6,2,2,50,5,3,2017,Finals Week 1
89,83,Shannon Hurn,DEF,6,11,8,6,35.3,3,0,2017,Finals Week 1
90,83,Kieren Jack,FWD,6,13,2,6,31.6,4,2,2017,Finals Week 1
91,83,James Kelly,DEF,6,10,2,1,37.5,4,0,2017,Finals Week 1
92,83,Sam Menegola,FWD,6,9,1,3,40,6,1,2017,Finals Week 1
93,83,Steven Motlop,FWD,6,12,3,7,33.3,4,0,2017,Finals Week 1
94,83,Jake Neade,FWD,6,15,2,5,28.6,4,0,2017,Finals Week 1
95,83,Brandan Parfitt,FWD,6,6,0,3,50,4,1,2017,Finals Week 1
96,83,Paul Seedsman,MID,6,7,2,1,46.2,5,0,2017,Finals Week 1
97,83,Callum Sinclair,RUC,6,5,1,1,54.5,1,1,2017,Finals Week 1
98,83,David Zaharakis,MID,6,17,3,3,26.1,3,1,2017,Finals Week 1
99,100,Jed Bews,DEF,5,7,6,1,41.7,4,0,2017,Finals Week 1
100,100,Jason Castagna,FWD,5,1,0,5,83.3,4,3,2017,Finals Week 1
