,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Taylor Adams,MID,19,17,7,7,52.8,12,0,2018,Preliminary Finals
1,2,Jack Viney,MID,17,5,2,5,77.3,10,0,2018,Preliminary Finals
2,3,Clayton Oliver,MID,15,13,3,3,53.6,11,3,2018,Preliminary Finals
3,3,Scott Pendlebury,MID,15,13,4,7,53.6,6,0,2018,Preliminary Finals
4,5,Dom Sheed,MID,14,14,4,3,50,11,2,2018,Preliminary Finals
5,6,James Harmes,MID,13,11,2,3,54.2,8,2,2018,Preliminary Finals
6,6,Christian Petracca,FWD,13,9,4,4,59.1,11,4,2018,Preliminary Finals
7,8,Jamie Cripps,FWD,12,14,5,3,46.2,8,0,2018,Preliminary Finals
8,8,Daniel Venables,FWD,12,5,2,3,70.6,8,2,2018,Preliminary Finals
9,10,Trent Cotchin,MID,11,14,1,6,44,6,1,2018,Preliminary Finals
10,10,Mason Cox,KEYF,11,3,1,4,78.6,2,0,2018,Preliminary Finals
11,10,Brodie Grundy,RUC,11,10,1,5,52.4,7,2,2018,Preliminary Finals
12,10,Toby Nankervis,RUC,11,4,5,4,73.3,7,0,2018,Preliminary Finals
13,10,Elliot Yeo,MID,11,13,3,5,45.8,9,1,2018,Preliminary Finals
14,15,Jack Crisp,DEF,10,22,12,5,31.3,6,0,2018,Preliminary Finals
15,15,Liam Ryan,FWD,10,8,2,4,55.6,6,1,2018,Preliminary Finals
16,15,Luke Shuey,MID,10,10,4,8,50,8,1,2018,Preliminary Finals
17,15,Brayden Sier,MID,10,10,1,2,50,7,0,2018,Preliminary Finals
18,19,Jack Darling,KEYF,9,7,0,2,56.3,2,1,2018,Preliminary Finals
19,19,Dylan Grimes,DEF,9,4,10,1,69.2,8,0,2018,Preliminary Finals
20,19,Jack Higgins,FWD,9,6,3,3,60,8,4,2018,Preliminary Finals
21,19,Kane Lambert,FWD,9,11,2,5,45,7,1,2018,Preliminary Finals
22,19,Jeremy McGovern,KEYD,9,8,9,7,52.9,5,0,2018,Preliminary Finals
23,19,Brody Mihocek,KEYF,9,5,1,3,64.3,5,2,2018,Preliminary Finals
24,19,Dion Prestia,MID,9,17,4,9,34.6,7,0,2018,Preliminary Finals
25,19,Joel Smith,DEF,9,5,5,4,64.3,6,1,2018,Preliminary Finals
26,27,Josh Caddy,FWD,8,3,0,3,72.7,7,3,2018,Preliminary Finals
27,27,Josh J. Kennedy,KEYF,8,6,3,1,57.1,3,2,2018,Preliminary Finals
28,27,Tom Langdon,DEF,8,18,13,3,30.8,6,0,2018,Preliminary Finals
29,27,Dustin Martin,MID,8,8,3,3,50,8,2,2018,Preliminary Finals
30,27,Oscar McDonald,KEYD,8,4,10,0,66.7,8,0,2018,Preliminary Finals
31,27,Jack Redden,MID,8,22,3,2,26.7,7,1,2018,Preliminary Finals
32,27,Nick Vlastuin,DEF,8,9,10,1,47.1,6,0,2018,Preliminary Finals
33,27,Aaron vandenBerg,FWD,8,11,1,3,42.1,5,0,2018,Preliminary Finals
34,35,Angus Brayshaw,MID,7,23,3,8,23.3,5,0,2018,Preliminary Finals
35,35,Max Gawn,RUC,7,3,3,4,70,3,0,2018,Preliminary Finals
36,35,Levi Greenwood,DEF,7,9,4,6,43.8,4,0,2018,Preliminary Finals
37,35,Alex Rance,KEYD,7,12,10,1,36.8,5,0,2018,Preliminary Finals
38,35,Dom Tyson,MID,7,8,4,1,46.7,4,0,2018,Preliminary Finals
39,40,Jason Castagna,FWD,6,2,3,2,75,4,2,2018,Preliminary Finals
40,40,Reece Conca,MID,6,13,5,6,31.6,3,0,2018,Preliminary Finals
41,40,Shane Edwards,FWD,6,6,2,2,50,6,0,2018,Preliminary Finals
42,40,Shaun Grigg,MID,6,11,4,3,35.3,4,0,2018,Preliminary Finals
43,40,Bachar Houli,DEF,6,14,7,5,30,6,0,2018,Preliminary Finals
44,40,Mark LeCras,FWD,6,6,2,3,50,4,1,2018,Preliminary Finals
45,40,Scott Lycett,RUC,6,1,0,3,85.7,6,0,2018,Preliminary Finals
46,40,Chris Masten,MID,6,11,3,4,35.3,6,0,2018,Preliminary Finals
