,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Patrick Dangerfield,MID,19,8,3,4,70.4,10,5,2022,Grand Final
1,2,Chad Warner,MID,18,13,7,8,58.1,14,1,2022,Grand Final
2,3,Mark Blicavs,RUC,14,10,1,3,58.3,10,1,2022,Grand Final
3,4,Isaac Smith,FWD,11,21,4,6,34.4,11,2,2022,Grand Final
4,5,Tom Atkins,DEF,10,7,3,1,58.8,6,1,2022,Grand Final
5,5,Luke Parker,MID,10,11,4,4,47.6,10,0,2022,Grand Final
6,7,Brad Close,FWD,9,12,3,1,42.9,6,4,2022,Grand Final
7,7,James Rowbottom,MID,9,9,2,3,50,5,1,2022,Grand Final
8,9,Tom Papley,FWD,8,11,3,5,42.1,7,1,2022,Grand Final
9,10,Mitch Duncan,DEF,7,22,6,1,24.1,4,1,2022,Grand Final
10,10,Robbie Fox,DEF,7,19,6,4,26.9,4,0,2022,Grand Final
11,10,Cameron Guthrie,MID,7,9,3,3,43.8,6,0,2022,Grand Final
12,10,Isaac Heeney,FWD,7,5,1,2,58.3,4,0,2022,Grand Final
13,10,Tom McCartin,KEYD,7,5,7,3,58.3,5,0,2022,Grand Final
14,10,Tom Stewart,DEF,7,6,8,2,53.8,7,0,2022,Grand Final
15,16,Tom Hawkins,KEYF,6,9,1,2,40,1,1,2022,Grand Final
16,16,Tom Hickey,RUC,6,7,3,5,46.2,3,0,2022,Grand Final
17,16,Gryan Miers,FWD,6,12,1,2,33.3,5,3,2022,Grand Final
18,16,Joel Selwood,MID,6,21,5,5,22.2,4,1,2022,Grand Final
19,16,Zach Tuohy,DEF,6,13,6,2,31.6,6,0,2022,Grand Final
20,21,Jeremy Cameron,KEYF,5,14,2,4,26.3,3,2,2022,Grand Final
21,21,Ryan Clarke,FWD,5,7,1,3,41.7,3,0,2022,Grand Final
22,21,Sam De Koning,KEYD,5,11,6,4,31.3,2,0,2022,Grand Final
23,21,Zach Guthrie,DEF,5,10,5,4,33.3,5,0,2022,Grand Final
24,21,Mark O'Connor,DEF,5,8,5,3,38.5,3,0,2022,Grand Final
25,21,Rhys Stanley,RUC,5,12,0,1,29.4,5,0,2022,Grand Final
26,27,Errol Gulden,FWD,4,11,3,5,26.7,3,0,2022,Grand Final
27,27,Will Hayward,FWD,4,8,2,5,33.3,4,2,2022,Grand Final
28,27,Jake Kolodjashnij,KEYD,4,14,5,2,22.2,2,0,2022,Grand Final
29,27,Paddy McCartin,KEYD,4,3,1,0,57.1,2,1,2022,Grand Final
30,27,Tyson Stengle,FWD,4,12,0,1,25,2,2,2022,Grand Final
31,32,Jed Bews,DEF,3,5,3,3,37.5,2,0,2022,Grand Final
32,32,Hayden McLean,KEYF,3,3,1,0,50,1,0,2022,Grand Final
33,32,Callum Mills,MID,3,11,2,5,21.4,2,0,2022,Grand Final
34,32,Brandan Parfitt,MID,3,4,1,0,42.9,2,0,2022,Grand Final
35,36,Nick Blakey,DEF,2,6,3,3,25,1,0,2022,Grand Final
36,36,Oliver Florent,DEF,2,12,1,5,14.3,2,0,2022,Grand Final
37,36,Jack Henry,KEYD,2,8,4,1,20,2,0,2022,Grand Final
38,36,Jake Lloyd,DEF,2,11,2,4,15.4,1,0,2022,Grand Final
39,36,Justin McInerney,MID,2,5,2,1,28.6,2,0,2022,Grand Final
40,36,Dane Rampe,KEYD,2,11,4,5,15.4,2,0,2022,Grand Final
41,36,Gary Rohan,FWD,2,5,1,2,28.6,2,0,2022,Grand Final
42,36,Dylan Stephens,MID,2,11,0,3,15.4,2,0,2022,Grand Final
43,44,Braeden Campbell,DEF,1,3,1,2,25,1,0,2022,Grand Final
44,44,Lance Franklin,KEYF,1,4,0,1,20,1,0,2022,Grand Final
45,44,Sam Reid,KEYF,1,3,1,0,25,1,0,2022,Grand Final
