,Rank,Player,Position,CP    ,UP,IP,T,CPR,GBG,F50GBG,Season,Round
0,1,Matt Rowell,MID,26,8,2,7,76.5,17,3,2024,Opening Round
1,2,Isaac Heeney,MID,18,10,4,2,64.3,11,1,2024,Opening Round
2,3,Nick Daicos,MID,16,19,5,5,45.7,10,3,2024,Opening Round
3,4,Brodie Grundy,RUC,15,7,5,6,68.2,8,0,2024,Opening Round
4,4,Christian Salem,MID,15,12,4,6,55.6,12,0,2024,Opening Round
5,6,Adam Cerra,MID,14,10,3,6,58.3,12,1,2024,Opening Round
6,6,Oscar McInerney,RUC,14,0,2,4,100,3,1,2024,Opening Round
7,6,James Rowbottom,MID,14,8,5,7,63.6,10,1,2024,Opening Round
8,6,Jack Viney,MID,14,17,3,9,45.2,10,3,2024,Opening Round
9,10,Noah Anderson,MID,13,14,1,5,48.1,11,0,2024,Opening Round
10,10,George Hewett,MID,13,15,3,6,46.4,10,0,2024,Opening Round
11,10,Jacob Hopper,MID,13,10,3,4,56.5,8,0,2024,Opening Round
12,10,Lachie Neale,MID,13,12,5,2,52,12,0,2024,Opening Round
13,10,Christian Petracca,MID,13,12,5,4,52,11,4,2024,Opening Round
14,15,Jarrod Witts,RUC,12,2,4,5,85.7,3,1,2024,Opening Round
15,16,Blake Acres,MID,11,12,6,1,47.8,9,0,2024,Opening Round
16,16,Stephen Coniglio,MID,11,19,6,6,36.7,6,0,2024,Opening Round
17,16,Tom Green,MID,11,19,0,2,36.7,8,1,2024,Opening Round
18,16,Chad Warner,MID,11,17,2,7,39.3,9,3,2024,Opening Round
19,20,Darcy Cameron,RUC,10,8,5,5,55.6,5,2,2024,Opening Round
20,20,Patrick Cripps,MID,10,13,3,1,43.5,7,0,2024,Opening Round
21,20,Harry McKay,KEYF,10,6,0,1,62.5,2,0,2024,Opening Round
22,20,Clayton Oliver,MID,10,14,2,6,41.7,9,3,2024,Opening Round
23,20,Tom Papley,FWD,10,9,2,4,52.6,7,4,2024,Opening Round
24,20,Dion Prestia,FWD,10,9,5,3,52.6,7,2,2024,Opening Round
25,20,Tim Taranto,MID,10,5,1,7,66.7,8,1,2024,Opening Round
26,27,Kieren Briggs,RUC,9,1,2,1,90,7,1,2024,Opening Round
