,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jack Gunston,FWD,4,1,0,80,5,8,0,2013,Grand Final
1,2,Matthew Pavlich,KEYF,3,2,1,50,6,8,0,2013,Grand Final
2,3,Jarryd Roughead,KEYF,2,3,0,40,5,6,1,2013,Grand Final
3,3,Michael Walters,FWD,2,0,0,100,2,5,1,2013,Grand Final
4,5,Luke Breust,FWD,1,0,2,100,1,5,3,2013,Grand Final
5,5,Lance Franklin,KEYF,1,1,0,50,2,4,2,2013,Grand Final
6,5,Bradley Hill,MID,1,0,1,50,2,4,0,2013,Grand Final
7,5,Chris Mayne,FWD,1,0,0,100,1,3,1,2013,Grand Final
8,5,Tendai Mzungu,MID,1,0,0,50,2,3,0,2013,Grand Final
9,5,Danyle Pearce,MID,1,0,0,33.3,3,3,1,2013,Grand Final
10,5,Cyril Rioli,FWD,1,2,1,33.3,3,8,1,2013,Grand Final
11,5,Isaac Smith,MID,1,1,0,33.3,3,4,0,2013,Grand Final
12,13,Max Bailey,RUC,0,0,0,0,0,0,0,2013,Grand Final
13,13,Hayden Ballantyne,FWD,0,2,0,0,4,6,1,2013,Grand Final
14,13,Michael Barlow,MID,0,1,1,0,2,5,3,2013,Grand Final
15,13,Grant Birchall,DEF,0,0,0,0,0,2,1,2013,Grand Final
16,13,Shaun Burgoyne,MID,0,1,0,0,1,2,1,2013,Grand Final
17,13,Zac Clarke,RUC,0,0,1,0,0,2,0,2013,Grand Final
18,13,Ryan Crowley,MID,0,2,0,0,2,3,0,2013,Grand Final
19,13,Zac Dawson,KEYD,0,0,0,0,0,2,2,2013,Grand Final
20,13,Paul Duffield,DEF,0,0,1,0,0,4,1,2013,Grand Final
21,13,Nat Fyfe,MID,0,1,1,0,3,5,1,2013,Grand Final
22,13,Josh Gibson,KEYD,0,0,0,0,0,1,0,2013,Grand Final
23,13,Brent Guerra,DEF,0,0,0,0,0,1,1,2013,Grand Final
24,13,David Hale,RUC,0,0,0,0,0,1,1,2013,Grand Final
25,13,Stephen Hill,MID,0,1,1,0,1,2,1,2013,Grand Final
26,13,Luke Hodge,DEF,0,0,0,0,1,2,1,2013,Grand Final
27,13,Michael Johnson,KEYD,0,0,0,0,0,5,1,2013,Grand Final
28,13,Brian Lake,KEYD,0,0,0,0,0,0,0,2013,Grand Final
29,13,Jordan Lewis,MID,0,0,0,0,0,5,4,2013,Grand Final
30,13,Luke McPharlin,KEYD,0,0,0,0,0,3,1,2013,Grand Final
31,13,Sam Mitchell,MID,0,0,0,0,0,2,2,2013,Grand Final
32,13,David Mundy,MID,0,1,0,0,1,5,1,2013,Grand Final
33,13,Lachie Neale,MID,0,0,0,0,0,0,0,2013,Grand Final
34,13,Paul Puopolo,FWD,0,0,1,0,0,4,1,2013,Grand Final
35,13,Aaron Sandilands,RUC,0,0,0,0,0,6,5,2013,Grand Final
36,13,Brad Sewell,MID,0,1,1,0,1,4,0,2013,Grand Final
37,13,Liam Shiels,MID,0,0,0,0,0,0,0,2013,Grand Final
38,13,Jonathan Simpkin,MID,0,0,0,0,0,1,1,2013,Grand Final
39,13,Lee Spurr,DEF,0,0,0,0,0,1,0,2013,Grand Final
40,13,Ben Stratton,KEYD,0,0,0,0,0,2,1,2013,Grand Final
41,13,Nicholas Suban,MID,0,1,0,0,2,3,1,2013,Grand Final
42,13,Cam Sutcliffe,DEF,0,0,0,0,0,1,0,2013,Grand Final
43,13,Matt de Boer,FWD,0,0,0,0,0,2,1,2013,Grand Final
