,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Toby Greene,FWD,3,3,0,42.9,7,6,1,2018,Finals Week 1
1,1,Kamdyn McIntosh,MID,3,0,0,100,3,4,0,2018,Finals Week 1
2,1,Daniel Rioli,FWD,3,0,0,100,3,6,3,2018,Finals Week 1
3,1,Jarryd Roughead,KEYF,3,0,0,75,4,4,1,2018,Finals Week 1
4,1,Sam Weideman,KEYF,3,0,0,60,5,4,1,2018,Finals Week 1
5,6,Taylor Adams,MID,2,0,0,100,2,4,1,2018,Finals Week 1
6,6,Josh Caddy,FWD,2,2,0,50,4,8,2,2018,Finals Week 1
7,6,Jeremy Cameron,KEYF,2,3,0,33.3,6,6,1,2018,Finals Week 1
8,6,Jack Darling,KEYF,2,1,2,66.7,3,7,1,2018,Finals Week 1
9,6,Jordan De Goey,FWD,2,1,0,66.7,3,4,0,2018,Finals Week 1
10,6,Tom Hawkins,KEYF,2,0,0,66.7,3,7,0,2018,Finals Week 1
11,6,Harry Himmelberg,KEYF,2,2,0,50,4,8,1,2018,Finals Week 1
12,6,Josh J. Kennedy,KEYF,2,4,0,28.6,7,7,0,2018,Finals Week 1
13,6,Brody Mihocek,KEYF,2,3,1,40,5,7,0,2018,Finals Week 1
14,6,Tom Papley,FWD,2,2,0,50,4,4,1,2018,Finals Week 1
15,6,Liam Ryan,FWD,2,0,0,40,5,4,0,2018,Finals Week 1
16,17,Luke Breust,FWD,1,1,0,33.3,3,6,0,2018,Finals Week 1
17,17,Stephen Coniglio,MID,1,0,1,100,1,6,2,2018,Finals Week 1
18,17,Jamie Cripps,FWD,1,0,0,50,2,7,2,2018,Finals Week 1
19,17,Mitch Duncan,MID,1,0,0,100,1,5,1,2018,Finals Week 1
20,17,Shane Edwards,FWD,1,2,1,33.3,3,7,2,2018,Finals Week 1
21,17,Max Gawn,RUC,1,0,0,100,1,3,2,2018,Finals Week 1
22,17,Jack Graham,MID,1,0,0,100,1,4,1,2018,Finals Week 1
23,17,Mitch Hannan,FWD,1,0,0,33.3,3,5,1,2018,Finals Week 1
24,17,James Harmes,MID,1,1,1,33.3,3,4,0,2018,Finals Week 1
25,17,Jack Higgins,FWD,1,1,2,50,2,8,2,2018,Finals Week 1
26,17,Jarman Impey,DEF,1,0,0,100,1,2,0,2018,Finals Week 1
27,17,Lewis Jetta,DEF,1,0,0,100,1,5,4,2018,Finals Week 1
28,17,Nathan Jones,MID,1,1,0,50,2,5,0,2018,Finals Week 1
29,17,Tim Kelly,FWD,1,2,0,33.3,3,6,2,2018,Finals Week 1
30,17,Dustin Martin,MID,1,2,0,33.3,3,10,1,2018,Finals Week 1
31,17,Chris Mayne,MID,1,0,0,100,1,3,0,2018,Finals Week 1
32,17,Tom McDonald,KEYF,1,2,0,25,4,7,1,2018,Finals Week 1
33,17,Jake Melksham,FWD,1,0,0,33.3,3,4,1,2018,Finals Week 1
34,17,Tom Mitchell,MID,1,0,0,50,2,6,1,2018,Finals Week 1
35,17,Jordan Murdoch,FWD,1,0,0,100,1,3,1,2018,Finals Week 1
36,17,Conor Nash,KEYF,1,0,0,100,1,2,0,2018,Finals Week 1
37,17,Alex Neal-Bullen,FWD,1,3,0,25,4,7,2,2018,Finals Week 1
38,17,Luke Parker,MID,1,0,0,100,1,2,0,2018,Finals Week 1
39,17,Dion Prestia,MID,1,0,0,50,2,8,1,2018,Finals Week 1
