,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jack Riewoldt,KEYF,5,1,0,71.4,7,7,0,2018,Preliminary Finals
1,2,Jordan De Goey,FWD,4,2,1,66.7,6,8,1,2018,Preliminary Finals
2,2,Josh J. Kennedy,KEYF,4,0,0,66.7,6,6,2,2018,Preliminary Finals
3,4,Mason Cox,KEYF,3,1,0,75,4,7,0,2018,Preliminary Finals
4,4,Jamie Cripps,FWD,3,1,1,75,4,9,2,2018,Preliminary Finals
5,4,Jack Darling,KEYF,3,3,2,37.5,8,9,0,2018,Preliminary Finals
6,4,Mark LeCras,FWD,3,2,2,50,6,9,1,2018,Preliminary Finals
7,8,Jack Crisp,DEF,2,0,1,100,2,5,2,2018,Preliminary Finals
8,8,Jack Higgins,FWD,2,0,0,100,2,6,0,2018,Preliminary Finals
9,8,Jake Melksham,FWD,2,1,0,66.7,3,8,0,2018,Preliminary Finals
10,8,Brody Mihocek,KEYF,2,1,0,66.7,3,6,1,2018,Preliminary Finals
11,12,Brodie Grundy,RUC,1,0,0,100,1,8,7,2018,Preliminary Finals
12,12,Mitch Hannan,FWD,1,1,0,50,2,5,0,2018,Preliminary Finals
13,12,James Harmes,MID,1,0,0,50,2,5,2,2018,Preliminary Finals
14,12,Bachar Houli,DEF,1,0,0,50,2,4,1,2018,Preliminary Finals
15,12,Mark Hutchings,MID,1,0,0,100,1,1,0,2018,Preliminary Finals
16,12,Clayton Oliver,MID,1,1,0,50,2,6,2,2018,Preliminary Finals
17,12,Jack Redden,MID,1,0,2,100,1,9,2,2018,Preliminary Finals
18,12,Willie Rioli,FWD,1,2,1,33.3,3,9,2,2018,Preliminary Finals
19,12,Liam Ryan,FWD,1,1,1,50,2,9,1,2018,Preliminary Finals
20,12,Joel Smith,DEF,1,2,0,25,4,3,0,2018,Preliminary Finals
21,12,Jaidyn Stephenson,FWD,1,0,0,100,1,3,1,2018,Preliminary Finals
22,12,Adam Treloar,MID,1,1,1,50,2,6,2,2018,Preliminary Finals
