,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jack Darling,KEYF,6,0,0,100,6,7,1,2022,Round 20
1,2,Mabior Chol,KEYF,5,0,0,100,5,5,0,2022,Round 20
2,2,Noah Cumberland,FWD,5,0,1,100,5,6,0,2022,Round 20
3,2,Jake Stringer,KEYF,5,3,1,62.5,8,11,2,2022,Round 20
4,5,Eric Hipwood,KEYF,4,3,0,50,8,8,0,2022,Round 20
5,5,Tom J. Lynch,KEYF,4,1,0,57.1,7,7,0,2022,Round 20
6,5,Cameron Zurhaar,FWD,4,0,0,80,5,7,2,2022,Round 20
7,8,Joe Daniher,KEYF,3,0,0,60,5,5,1,2022,Round 20
8,8,Lance Franklin,KEYF,3,1,0,60,5,7,0,2022,Round 20
9,8,Bayley Fritsch,FWD,3,0,1,60,5,5,0,2022,Round 20
10,8,Jack Ginnivan,FWD,3,0,1,100,3,5,1,2022,Round 20
11,8,Isaac Heeney,FWD,3,2,0,42.9,7,7,2,2022,Round 20
12,8,Ben Keays,MID,3,1,4,75,4,11,0,2022,Round 20
13,8,Jack Petruccelle,FWD,3,0,0,100,3,6,0,2022,Round 20
14,8,Kysaiah Pickett,FWD,3,2,0,60,5,7,0,2022,Round 20
15,8,Izak Rankine,FWD,3,1,1,75,4,7,3,2022,Round 20
16,8,Sam Reid,KEYF,3,1,1,75,4,7,1,2022,Round 20
17,8,James Stewart,KEYD,3,0,2,100,3,5,0,2022,Round 20
18,8,Taylor Walker,KEYF,3,1,0,60,5,10,2,2022,Round 20
19,8,Cody Weightman,FWD,3,1,0,60,5,7,0,2022,Round 20
20,21,Travis Boak,MID,2,1,2,66.7,3,8,2,2022,Round 20
21,21,Shai Bolton,FWD,2,5,1,25,8,12,0,2022,Round 20
22,21,Zak Butters,FWD,2,1,1,66.7,3,7,2,2022,Round 20
23,21,Charlie Cameron,FWD,2,2,1,40,5,8,1,2022,Round 20
24,21,Jeremy Cameron,KEYF,2,1,0,50,4,7,1,2022,Round 20
25,21,Matthew Cottrell,FWD,2,0,0,66.7,3,4,0,2022,Round 20
26,21,Charlie Curnow,KEYF,2,1,1,50,4,6,1,2022,Round 20
27,21,Jordan De Goey,MID,2,1,1,40,5,7,1,2022,Round 20
28,21,Josh Dunkley,FWD,2,1,1,50,4,8,1,2022,Round 20
29,21,Jamie Elliott,FWD,2,0,2,66.7,3,5,0,2022,Round 20
30,21,Darcy Fogarty,KEYF,2,1,2,66.7,3,5,1,2022,Round 20
31,21,Michael Frederick,FWD,2,2,0,50,4,5,1,2022,Round 20
32,21,Toby Greene,FWD,2,2,0,50,4,5,1,2022,Round 20
33,21,Errol Gulden,FWD,2,0,1,66.7,3,6,2,2022,Round 20
34,21,Cameron Guthrie,MID,2,2,0,50,4,6,2,2022,Round 20
35,21,Tom Hawkins,KEYF,2,3,1,28.6,7,9,0,2022,Round 20
36,21,Will Hoskin-Elliott,FWD,2,0,0,100,2,4,0,2022,Round 20
37,21,Harrison Jones,KEYF,2,0,0,100,2,4,0,2022,Round 20
38,21,Max King,KEYF,2,5,0,25,8,11,1,2022,Round 20
39,21,Kyle Langford,FWD,2,0,0,100,2,6,1,2022,Round 20
40,21,Lincoln McCarthy,FWD,2,0,0,66.7,3,4,0,2022,Round 20
