,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jesse Hogan,KEYF,4,4,0,50,8,10,0,2023,Semi Finals
1,2,Toby Greene,FWD,3,2,1,50,6,9,0,2023,Semi Finals
2,2,Willie Rioli,FWD,3,0,2,100,3,6,1,2023,Semi Finals
3,2,Joel Smith,KEYF,3,0,0,100,3,4,1,2023,Semi Finals
4,5,Blake Acres,MID,2,0,0,100,2,4,0,2023,Semi Finals
5,5,Stephen Coniglio,MID,2,1,1,50,4,13,1,2023,Semi Finals
6,5,Tom De Koning,RUC,2,0,0,100,2,4,2,2023,Semi Finals
7,5,Bayley Fritsch,FWD,2,3,1,40,5,8,0,2023,Semi Finals
8,5,Todd Marshall,KEYF,2,1,0,66.7,3,5,2,2023,Semi Finals
9,5,Jesse Motlop,FWD,2,0,0,100,2,3,0,2023,Semi Finals
10,5,Kysaiah Pickett,FWD,2,3,3,40,5,11,2,2023,Semi Finals
11,5,Sam Walsh,MID,2,0,0,66.7,3,3,0,2023,Semi Finals
12,13,Isaac Cumming,DEF,1,0,1,50,2,6,5,2023,Semi Finals
13,13,Charlie Curnow,KEYF,1,2,0,33.3,3,4,0,2023,Semi Finals
14,13,Brent Daniels,FWD,1,3,1,25,4,10,2,2023,Semi Finals
15,13,Charlie Dixon,KEYF,1,0,0,100,1,4,2,2023,Semi Finals
16,13,Willem Drew,MID,1,0,0,100,1,5,0,2023,Semi Finals
17,13,Jason Horne-Francis,MID,1,1,0,50,2,6,2,2023,Semi Finals
18,13,Josh Kelly,MID,1,0,1,100,1,5,1,2023,Semi Finals
19,13,Matthew Kennedy,MID,1,2,2,33.3,3,5,0,2023,Semi Finals
20,13,Ed Langdon,MID,1,0,0,100,1,6,2,2023,Semi Finals
21,13,Ollie Lord,KEYF,1,1,0,50,2,3,0,2023,Semi Finals
22,13,Matthew Owies,FWD,1,0,0,50,2,2,0,2023,Semi Finals
23,13,Christian Petracca,MID,1,0,0,25,4,6,2,2023,Semi Finals
24,13,Jake Riccardi,KEYF,1,2,2,25,4,9,0,2023,Semi Finals
25,26,Aliir Aliir,KEYD,0,0,0,0,0,0,0,2023,Semi Finals
26,26,Lachie Ash,DEF,0,0,0,0,0,3,0,2023,Semi Finals
27,26,Toby Bedford,FWD,0,1,1,0,1,4,2,2023,Semi Finals
28,26,Miles Bergman,DEF,0,1,1,0,1,3,1,2023,Semi Finals
29,26,Travis Boak,MID,0,2,0,0,2,6,3,2023,Semi Finals
30,26,Jake Bowey,DEF,0,0,0,0,0,3,1,2023,Semi Finals
31,26,Kieren Briggs,RUC,0,0,0,0,0,4,4,2023,Semi Finals
32,26,Callum M. Brown,FWD,0,1,1,0,1,6,0,2023,Semi Finals
33,26,Jack Buckley,KEYD,0,0,0,0,0,3,1,2023,Semi Finals
34,26,Ryan Burton,DEF,0,0,0,0,0,2,2,2023,Semi Finals
35,26,Zak Butters,MID,0,1,0,0,2,6,1,2023,Semi Finals
36,26,Darcy Byrne-Jones,FWD,0,1,2,0,1,3,0,2023,Semi Finals
37,26,Finn Callaghan,MID,0,0,0,0,0,5,3,2023,Semi Finals
38,26,Adam Cerra,MID,0,0,0,0,0,3,1,2023,Semi Finals
39,26,Kade Chandler,FWD,0,1,0,0,1,3,0,2023,Semi Finals
40,26,Alex Cincotta,DEF,0,0,0,0,0,0,0,2023,Semi Finals
41,26,Matthew Cottrell,FWD,0,1,0,0,1,5,0,2023,Semi Finals
42,26,Patrick Cripps,MID,0,0,2,0,0,7,2,2023,Semi Finals
43,26,David Cuningham,FWD,0,0,0,0,0,2,0,2023,Semi Finals
44,26,Sam Docherty,MID,0,0,2,0,0,6,1,2023,Semi Finals
45,26,Xavier Duursma,MID,0,0,1,0,0,1,0,2023,Semi Finals
46,26,Kane Farrell,DEF,0,0,0,0,0,3,1,2023,Semi Finals
47,26,Jeremy Finlayson,KEYF,0,0,0,0,1,2,0,2023,Semi Finals
48,26,Lachie Fogarty,FWD,0,1,2,0,1,7,0,2023,Semi Finals
49,26,Max Gawn,RUC,0,2,0,0,2,7,2,2023,Semi Finals
50,26,Tom Green,MID,0,0,0,0,0,7,3,2023,Semi Finals
51,26,George Hewett,MID,0,0,0,0,0,4,1,2023,Semi Finals
52,26,Harry Himmelberg,KEYD,0,0,0,0,0,3,0,2023,Semi Finals
53,26,Oliver Hollands,MID,0,0,0,0,0,1,0,2023,Semi Finals
54,26,Dan Houston,DEF,0,0,1,0,1,5,4,2023,Semi Finals
55,26,Lachie Hunter,MID,0,0,1,0,0,4,1,2023,Semi Finals
56,26,Connor Idun,DEF,0,0,0,0,0,1,0,2023,Semi Finals
57,26,Lachie Jones,DEF,0,0,0,0,0,3,2,2023,Semi Finals
58,26,James Jordon,FWD,0,0,0,0,0,4,0,2023,Semi Finals
59,26,Lachlan Keeffe,KEYF,0,0,0,0,0,2,0,2023,Semi Finals
60,26,Brodie Kemp,KEYD,0,0,0,0,1,4,2,2023,Semi Finals
61,26,Jake Lever,KEYD,0,0,0,0,0,3,1,2023,Semi Finals
62,26,Daniel Lloyd,FWD,0,0,1,0,0,5,0,2023,Semi Finals
63,26,Scott Lycett,RUC,0,0,0,0,0,1,1,2023,Semi Finals
64,26,Caleb Marchbank,KEYD,0,0,1,0,0,3,0,2023,Semi Finals
65,26,Steven May,KEYD,0,0,0,0,0,4,3,2023,Semi Finals
66,26,Tom McDonald,KEYF,0,0,0,0,0,2,0,2023,Semi Finals
67,26,Jed McEntee,FWD,0,0,0,0,1,1,0,2023,Semi Finals
68,26,Mitch McGovern,DEF,0,0,0,0,0,0,0,2023,Semi Finals
69,26,Trent McKenzie,KEYD,0,0,0,0,0,1,0,2023,Semi Finals
70,26,Judd McVee,DEF,0,0,0,0,0,2,2,2023,Semi Finals
71,26,Alex Neal-Bullen,FWD,0,1,0,0,1,4,0,2023,Semi Finals
72,26,Nic Newman,DEF,0,0,1,0,1,5,3,2023,Semi Finals
73,26,Xavier O'Halloran,FWD,0,0,0,0,0,0,0,2023,Semi Finals
74,26,Clayton Oliver,MID,0,1,1,0,1,3,3,2023,Semi Finals
75,26,Harry Perryman,DEF,0,0,0,0,0,4,1,2023,Semi Finals
76,26,Marc Pittonet,RUC,0,0,0,0,0,1,1,2023,Semi Finals
77,26,Sam Powell-Pepper,FWD,0,3,0,0,4,4,0,2023,Semi Finals
78,26,Trent Rivers,DEF,0,0,0,0,0,2,1,2023,Semi Finals
79,26,Connor Rozee,MID,0,1,0,0,1,5,1,2023,Semi Finals
80,26,Adam Saad,DEF,0,0,0,0,0,4,3,2023,Semi Finals
