,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Callum M. Brown,FWD,5,0,0,100,5,6,0,2024,Opening Round
1,1,Ben King,KEYF,5,1,0,71.4,7,7,0,2024,Opening Round
2,3,Charlie Curnow,KEYF,4,0,0,100,4,6,0,2024,Opening Round
3,3,Brent Daniels,FWD,4,2,0,66.7,6,6,0,2024,Opening Round
4,3,Bayley Fritsch,FWD,4,1,0,80,5,5,0,2024,Opening Round
5,3,Jesse Hogan,KEYF,4,0,1,100,4,9,1,2024,Opening Round
6,7,Shai Bolton,FWD,3,0,0,100,3,3,1,2024,Opening Round
7,7,Jack Lukosius,KEYF,3,0,1,100,3,7,1,2024,Opening Round
8,7,Harry McKay,KEYF,3,1,1,60,5,8,0,2024,Opening Round
9,7,Brody Mihocek,KEYF,3,2,0,42.9,7,8,0,2024,Opening Round
10,7,Malcolm Rosas,FWD,3,2,1,42.9,7,9,1,2024,Opening Round
11,12,Aaron Cadman,KEYF,2,1,0,66.7,3,5,1,2024,Opening Round
12,12,Charlie Cameron,FWD,2,3,0,33.3,6,5,0,2024,Opening Round
13,12,Darcy Cameron,RUC,2,0,0,100,2,5,3,2024,Opening Round
14,12,Seth Campbell,FWD,2,1,0,66.7,3,4,0,2024,Opening Round
15,12,Brayden Fiorini,MID,2,0,0,100,2,6,3,2024,Opening Round
16,12,Will Hayward,FWD,2,0,0,50,4,3,0,2024,Opening Round
17,12,Bobby Hill,FWD,2,0,1,100,2,3,0,2024,Opening Round
18,12,Jacob Hopper,MID,2,0,0,100,2,3,2,2024,Opening Round
19,12,Lincoln McCarthy,FWD,2,3,0,40,5,10,0,2024,Opening Round
20,12,Hayden McLean,KEYF,2,2,0,50,4,4,1,2024,Opening Round
21,12,Jack Viney,MID,2,0,1,66.7,3,7,2,2024,Opening Round
22,12,Dayne Zorko,FWD,2,0,1,100,2,7,1,2024,Opening Round
23,24,Callum Ah Chee,MID,1,0,0,100,1,3,0,2024,Opening Round
24,24,Zac Bailey,FWD,1,0,0,100,1,8,1,2024,Opening Round
25,24,Noah Balta,KEYF,1,1,0,33.3,3,5,1,2024,Opening Round
26,24,Jack Carroll,MID,1,0,0,100,1,2,1,2024,Opening Round
27,24,Matthew Cottrell,FWD,1,0,0,100,1,3,0,2024,Opening Round
28,24,Patrick Cripps,MID,1,0,0,100,1,1,0,2024,Opening Round
