,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Aaron Sandilands,RUC,31,0,0,0,10,66,32.3,47,2013,Finals Week 1
1,2,Robert Warnock,RUC,30,0,0,0,12,50.8,40,59,2013,Finals Week 1
2,3,Matthew Lobbe,RUC,29,3,1,4,4,37.2,13.8,78,2013,Finals Week 1
3,4,Ivan Maric,RUC,26,1,5,6,9,34.2,34.6,76,2013,Finals Week 1
4,5,Brodie Grundy,RUC,25,0,0,0,5,33.8,20,74,2013,Finals Week 1
5,6,Matthew Kreuzer,RUC,22,0,1,1,9,51.2,40.9,43,2013,Finals Week 1
6,7,Shane Mumford,RUC,21,1,0,1,5,60,23.8,35,2013,Finals Week 1
7,8,Mike Pyke,RUC,20,1,1,2,8,46.5,40,43,2013,Finals Week 1
8,9,Zac Clarke,RUC,19,0,0,0,7,59.4,36.8,32,2013,Finals Week 1
9,10,Max Bailey,RUC,16,0,0,0,5,37.2,31.3,43,2013,Finals Week 1
10,11,David Hale,RUC,14,1,1,2,3,35.9,21.4,39,2013,Finals Week 1
11,12,Ty Vickery,KEYF,9,1,1,2,1,34.6,11.1,26,2013,Finals Week 1
12,13,Mark Blicavs,RUC,7,1,0,1,2,20,28.6,35,2013,Finals Week 1
13,14,Nathan Vardy,RUC,6,0,0,0,1,16.7,16.7,36,2013,Finals Week 1
14,15,Kurt Tippett,KEYF,5,0,0,0,1,41.7,20,12,2013,Finals Week 1
15,15,Jackson Trengove,KEYD,5,0,0,0,2,50,40,10,2013,Finals Week 1
16,17,Jarryd Roughead,KEYF,4,2,1,3,1,57.1,25,7,2013,Finals Week 1
17,18,Jesse White,KEYF,3,1,0,1,2,75,66.7,4,2013,Finals Week 1
18,19,Dom Cassisi,MID,1,2,0,2,0,100,0,1,2013,Finals Week 1
19,19,Mitch Duncan,MID,1,0,1,1,2,0,200,0,2013,Finals Week 1
20,19,Nat Fyfe,MID,1,5,2,7,1,50,100,2,2013,Finals Week 1
21,19,Shaun Grigg,MID,1,0,3,3,0,0,0,0,2013,Finals Week 1
22,19,Hamish Hartlett,MID,1,0,2,2,1,100,100,1,2013,Finals Week 1
23,19,Lachlan Keeffe,KEYD,1,1,0,1,1,6.3,100,16,2013,Finals Week 1
24,19,David Mundy,MID,1,2,5,7,1,0,100,0,2013,Finals Week 1
25,19,Matthew Pavlich,KEYF,1,0,0,0,1,100,100,1,2013,Finals Week 1
26,19,James Podsiadly,KEYF,1,0,0,0,0,0,0,0,2013,Finals Week 1
27,19,Joel Selwood,MID,1,1,4,5,0,100,0,1,2013,Finals Week 1
28,19,Matt Spangher,KEYF,1,0,0,0,1,25,100,4,2013,Finals Week 1
29,19,Shane Tuck,MID,1,2,3,5,0,100,0,1,2013,Finals Week 1
30,19,Aaron Young,FWD,1,0,4,4,1,0,100,0,2013,Finals Week 1
31,32,Jed Anderson,MID,0,0,0,0,0,0,0,0,2013,Finals Week 1
32,32,Dennis Armfield,FWD,0,2,1,3,0,0,0,0,2013,Finals Week 1
33,32,Luke Ball,MID,0,2,5,7,0,0,0,0,2013,Finals Week 1
34,32,Hayden Ballantyne,FWD,0,1,0,1,0,0,0,0,2013,Finals Week 1
35,32,Michael Barlow,MID,0,2,3,5,0,0,0,0,2013,Finals Week 1
36,32,Jimmy Bartel,DEF,0,0,0,0,0,0,0,0,2013,Finals Week 1
37,32,Dayne Beams,MID,0,6,6,12,0,0,0,0,2013,Finals Week 1
38,32,Tom Bell,MID,0,2,1,3,0,0,0,0,2013,Finals Week 1
39,32,Eddie Betts,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
40,32,Grant Birchall,DEF,0,0,0,0,0,0,0,0,2013,Finals Week 1
41,32,Craig Bird,FWD,0,0,7,7,0,0,0,0,2013,Finals Week 1
42,32,Jarryd Blair,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
43,32,Travis Boak,MID,0,0,2,2,0,0,0,0,2013,Finals Week 1
44,32,Jude Bolton,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
45,32,Luke Breust,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
46,32,Matthew Broadbent,DEF,0,0,0,0,0,0,0,0,2013,Finals Week 1
47,32,Nathan Brown,KEYD,0,0,0,0,0,0,0,0,2013,Finals Week 1
48,32,Shaun Burgoyne,MID,0,0,1,1,0,0,0,0,2013,Finals Week 1
49,32,Josh Caddy,MID,0,0,1,1,0,0,0,0,2013,Finals Week 1
50,32,Alipate Carlile,KEYD,0,0,0,0,0,0,0,1,2013,Finals Week 1
51,32,Troy Chaplin,KEYD,0,0,1,1,0,0,0,0,2013,Finals Week 1
52,32,Paul Chapman,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
53,32,Allen Christensen,FWD,0,0,1,1,0,0,0,0,2013,Finals Week 1
54,32,Travis Cloke,KEYF,0,0,0,0,0,0,0,1,2013,Finals Week 1
55,32,Sam Colquhoun,MID,0,0,0,0,0,0,0,0,2013,Finals Week 1
56,32,Reece Conca,MID,0,0,0,0,0,0,0,0,2013,Finals Week 1
57,32,Joel Corey,MID,0,1,2,3,0,0,0,0,2013,Finals Week 1
58,32,Kane Cornes,MID,0,0,1,1,0,0,0,0,2013,Finals Week 1
59,32,Trent Cotchin,MID,0,3,2,5,0,0,0,0,2013,Finals Week 1
60,32,Ryan Crowley,MID,0,0,2,2,0,0,0,0,2013,Finals Week 1
61,32,Ed Curnow,MID,0,4,1,5,0,0,0,0,2013,Finals Week 1
62,32,Zac Dawson,KEYD,0,0,0,0,0,0,0,0,2013,Finals Week 1
63,32,Brett Deledio,MID,0,0,3,3,0,0,0,0,2013,Finals Week 1
64,32,Alan Didak,FWD,0,0,0,0,0,0,0,0,2013,Finals Week 1
65,32,Paul Duffield,DEF,0,0,0,0,0,0,0,0,2013,Finals Week 1
66,32,Nick Duigan,DEF,0,0,0,0,0,0,0,0,2013,Finals Week 1
