,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Sam Naismith,RUC,21,1,1,2,7,35.6,33.3,59,2016,Grand Final
1,2,Jordan Roughead,RUC,17,1,1,2,5,34.7,29.4,49,2016,Grand Final
2,2,Kurt Tippett,RUC,17,1,1,2,4,48.6,23.5,35,2016,Grand Final
3,4,Tom Boyd,KEYF,14,0,0,0,4,31.8,28.6,44,2016,Grand Final
4,5,Marcus Bontempelli,MID,9,1,5,6,5,0,55.6,0,2016,Grand Final
5,6,Luke Parker,MID,4,4,1,5,1,0,25,0,2016,Grand Final
6,7,Shane Biggs,DEF,0,0,1,1,0,0,0,0,2016,Grand Final
7,7,Matthew Boyd,DEF,0,1,0,1,0,0,0,0,2016,Grand Final
8,7,Zaine Cordy,KEYF,0,0,0,0,0,0,0,0,2016,Grand Final
9,7,Luke Dahlhaus,FWD,0,0,1,1,0,0,0,0,2016,Grand Final
10,7,Caleb Daniel,FWD,0,0,1,1,0,0,0,0,2016,Grand Final
11,7,Tory Dickson,FWD,0,0,0,0,0,0,0,0,2016,Grand Final
12,7,Josh Dunkley,FWD,0,0,2,2,0,0,0,0,2016,Grand Final
13,7,Lance Franklin,KEYF,0,0,0,0,0,0,0,0,2016,Grand Final
14,7,Heath Grundy,KEYD,0,0,0,0,0,0,0,0,2016,Grand Final
15,7,Joel Hamling,KEYD,0,0,0,0,0,0,0,0,2016,Grand Final
16,7,Dan Hannebery,MID,0,0,1,1,0,0,0,0,2016,Grand Final
17,7,Isaac Heeney,FWD,0,0,3,3,0,0,0,0,2016,Grand Final
18,7,George Hewett,FWD,0,0,1,1,0,0,0,0,2016,Grand Final
19,7,Lachie Hunter,MID,0,1,1,2,0,0,0,0,2016,Grand Final
20,7,Kieren Jack,MID,0,1,3,4,0,0,0,0,2016,Grand Final
21,7,Jason Johannisen,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
22,7,Zak Jones,DEF,0,0,3,3,0,0,0,0,2016,Grand Final
23,7,Josh P. Kennedy,MID,0,2,4,6,0,0,0,0,2016,Grand Final
24,7,Jeremy Laidler,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
25,7,Tom Liberatore,MID,0,2,6,8,0,0,0,0,2016,Grand Final
26,7,Jake Lloyd,MID,0,0,0,0,0,0,0,0,2016,Grand Final
27,7,Jack Macrae,FWD,0,1,3,4,0,0,0,0,2016,Grand Final
28,7,Ben McGlynn,FWD,0,0,2,2,0,0,0,0,2016,Grand Final
29,7,Toby McLean,FWD,0,0,2,2,0,0,0,0,2016,Grand Final
30,7,Jarrad McVeigh,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
31,7,Callum Mills,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
32,7,Tom Mitchell,MID,0,0,2,2,0,0,0,0,2016,Grand Final
33,7,Dale Morris,KEYD,0,0,1,1,0,0,0,0,2016,Grand Final
34,7,Tom Papley,FWD,0,0,0,0,0,0,0,0,2016,Grand Final
35,7,Liam Picken,MID,0,0,1,1,0,0,0,0,2016,Grand Final
36,7,Dane Rampe,KEYD,0,0,0,0,0,0,0,0,2016,Grand Final
37,7,Xavier Richards,KEYF,0,0,0,0,0,0,0,0,2016,Grand Final
38,7,Fletcher Roberts,KEYD,0,0,0,0,0,0,0,0,2016,Grand Final
39,7,Gary Rohan,FWD,0,0,0,0,0,0,0,0,2016,Grand Final
40,7,Clay Smith,FWD,0,1,2,3,0,0,0,0,2016,Grand Final
41,7,Nick Smith,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
42,7,Jake Stringer,FWD,0,0,1,1,0,0,0,0,2016,Grand Final
43,7,Easton Wood,DEF,0,0,0,0,0,0,0,0,2016,Grand Final
