,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Max Gawn,RUC,48,1,4,5,18,73.8,37.5,65,2016,Round 10
1,2,Todd Goldstein,RUC,43,2,0,2,9,47.8,20.9,90,2016,Round 10
2,3,Tom Hickey,RUC,41,0,5,5,9,41.8,22,98,2016,Round 10
3,4,Nic Naitanui,RUC,37,1,1,2,15,68.5,40.5,54,2016,Round 10
4,4,Kurt Tippett,RUC,37,0,1,1,14,45.1,37.8,82,2016,Round 10
5,6,Jonathon Griffin,RUC,35,0,2,2,11,35.7,31.4,98,2016,Round 10
6,7,Shaun Hampson,RUC,33,1,0,1,10,56.9,30.3,58,2016,Round 10
7,7,Shane Mumford,RUC,33,0,1,1,5,50,15.2,66,2016,Round 10
8,9,Jonathon Ceglar,RUC,32,2,4,6,10,46.4,31.3,69,2016,Round 10
9,10,Sam Jacobs,RUC,27,0,0,0,10,40.9,37,66,2016,Round 10
10,11,Brodie Grundy,RUC,25,0,4,4,3,52.1,12,48,2016,Round 10
11,12,Scott Lycett,RUC,22,1,2,3,6,50,27.3,44,2016,Round 10
12,13,Trent West,RUC,21,0,0,0,4,30.9,19,68,2016,Round 10
13,14,Stefan Martin,RUC,20,1,1,2,5,47.6,25,42,2016,Round 10
14,14,Zac Smith,RUC,20,0,1,1,3,31.7,15,63,2016,Round 10
15,16,Mark Jamar,RUC,19,0,1,1,5,30.2,26.3,63,2016,Round 10
16,17,Matthew Kreuzer,RUC,17,3,4,7,2,27.4,11.8,62,2016,Round 10
17,18,Tom Nicholls,RUC,16,1,3,4,2,19.8,12.5,81,2016,Round 10
18,19,Jordan Roughead,RUC,15,2,1,3,5,39.5,33.3,38,2016,Round 10
19,20,Ben McEvoy,RUC,14,1,1,2,2,35.9,14.3,39,2016,Round 10
20,20,Rhys Stanley,RUC,14,1,3,4,2,45.2,14.3,31,2016,Round 10
