,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Oscar McInerney,RUC,40,1,5,6,10,46.5,25,86,2021,Semi Finals
1,2,Shane Mumford,RUC,35,1,7,8,13,38,37.1,92,2021,Semi Finals
2,2,Rhys Stanley,RUC,35,1,3,4,8,47.3,22.9,74,2021,Semi Finals
3,4,Tim English,RUC,22,4,0,4,8,33.3,36.4,66,2021,Semi Finals
4,5,Lewis Young,KEYD,10,1,1,2,2,27,20,37,2021,Semi Finals
5,6,Tom Fullarton,RUC,4,1,0,1,0,30.8,0,13,2021,Semi Finals
6,6,Esava Ratugolea,RUC,4,0,0,0,0,28.6,0,14,2021,Semi Finals
7,8,Tom Hawkins,KEYF,2,0,1,1,2,11.1,100,18,2021,Semi Finals
8,9,Joe Daniher,KEYF,1,0,0,0,0,33.3,0,3,2021,Semi Finals
9,10,Marcus Adams,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
10,10,Harris Andrews,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
11,10,Lachie Ash,DEF,0,0,3,3,0,0,0,0,2021,Semi Finals
12,10,Tom Atkins,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
13,10,Zac Bailey,FWD,0,1,1,2,0,0,0,0,2021,Semi Finals
14,10,Jarrod Berry,MID,0,0,1,1,0,0,0,0,2021,Semi Finals
15,10,Jed Bews,DEF,0,0,1,1,0,0,0,0,2021,Semi Finals
16,10,Grant Birchall,DEF,0,0,1,1,0,0,0,0,2021,Semi Finals
17,10,Mark Blicavs,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
18,10,Marcus Bontempelli,MID,0,1,4,5,0,0,0,0,2021,Semi Finals
19,10,Tanner Bruhn,FWD,0,1,0,1,0,0,0,0,2021,Semi Finals
20,10,Charlie Cameron,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
21,10,Jeremy Cameron,KEYF,0,0,0,0,0,0,0,0,2021,Semi Finals
22,10,Brad Close,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
23,10,Nakia Cockatoo,FWD,0,1,0,1,0,0,0,0,2021,Semi Finals
24,10,Keidean Coleman,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
25,10,Stephen Coniglio,FWD,0,0,1,1,0,0,0,0,2021,Semi Finals
26,10,Isaac Cumming,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
27,10,Bailey Dale,DEF,0,1,1,2,0,0,0,0,2021,Semi Finals
28,10,Patrick Dangerfield,MID,0,4,3,7,0,0,0,0,2021,Semi Finals
29,10,Caleb Daniel,DEF,0,0,3,3,0,0,0,0,2021,Semi Finals
30,10,Phil Davis,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
31,10,Mitch Duncan,FWD,0,0,2,2,0,0,0,0,2021,Semi Finals
32,10,Josh Dunkley,FWD,0,0,4,4,0,0,0,0,2021,Semi Finals
33,10,Taylor Duryea,DEF,0,0,1,1,0,0,0,0,2021,Semi Finals
34,10,Darcy Gardiner,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
35,10,Ryan Gardner,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
36,10,Cameron Guthrie,MID,0,0,3,3,0,0,0,0,2021,Semi Finals
37,10,Zach Guthrie,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
38,10,Mitch Hannan,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
39,10,Nick Haynes,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
40,10,Lachie Henderson,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
41,10,Jack Henry,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
42,10,Bobby Hill,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
43,10,Harry Himmelberg,KEYF,0,0,0,0,0,0,0,0,2021,Semi Finals
44,10,Max Holmes,FWD,0,2,3,5,0,0,0,0,2021,Semi Finals
45,10,Jacob Hopper,MID,0,2,4,6,0,0,0,0,2021,Semi Finals
46,10,Lachie Hunter,MID,0,1,3,4,0,0,0,0,2021,Semi Finals
47,10,Connor Idun,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
48,10,Jason Johannisen,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
49,10,Alex Keath,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
50,10,Josh Kelly,MID,0,0,6,6,0,0,0,0,2021,Semi Finals
51,10,Jake Kolodjashnij,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
52,10,Ryan Lester,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
53,10,Tom Liberatore,MID,0,2,5,7,0,0,0,0,2021,Semi Finals
54,10,Daniel Lloyd,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
55,10,Jarryd Lyons,MID,0,2,6,8,0,0,0,0,2021,Semi Finals
56,10,Jack Macrae,MID,0,3,8,11,0,0,0,0,2021,Semi Finals
57,10,Lincoln McCarthy,FWD,0,0,1,1,0,0,0,0,2021,Semi Finals
58,10,Hugh McCluggage,MID,0,2,3,5,0,0,0,0,2021,Semi Finals
59,10,Sam Menegola,MID,0,1,4,5,0,0,0,0,2021,Semi Finals
60,10,Gryan Miers,FWD,0,0,2,2,0,0,0,0,2021,Semi Finals
61,10,Aaron Naughton,KEYF,0,0,0,0,0,0,0,0,2021,Semi Finals
62,10,Lachie Neale,MID,0,1,2,3,0,0,0,0,2021,Semi Finals
63,10,Brandan Parfitt,MID,0,0,0,0,0,0,0,0,2021,Semi Finals
64,10,Jack Payne,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
65,10,James Peatling,DEF,0,0,0,0,0,0,0,0,2021,Semi Finals
66,10,Harry Perryman,DEF,0,1,0,1,0,0,0,0,2021,Semi Finals
67,10,Daniel Rich,DEF,0,0,1,1,0,0,0,0,2021,Semi Finals
68,10,Deven Robertson,FWD,0,0,0,0,0,0,0,0,2021,Semi Finals
69,10,Mitch Robinson,MID,0,0,3,3,0,0,0,1,2021,Semi Finals
70,10,Gary Rohan,FWD,0,0,1,1,0,0,0,0,2021,Semi Finals
71,10,Josh Schache,KEYD,0,0,0,0,0,0,0,0,2021,Semi Finals
72,10,Joel Selwood,MID,0,1,1,2,0,0,0,0,2021,Semi Finals
73,10,Roarke Smith,MID,0,0,1,1,0,0,0,0,2021,Semi Finals
74,10,Isaac Smith,MID,0,0,4,4,0,0,0,0,2021,Semi Finals
75,10,Bailey Smith,MID,0,0,2,2,0,0,0,0,2021,Semi Finals
76,10,Zach Sproule,KEYF,0,0,0,0,0,0,0,13,2021,Semi Finals
