,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Oscar McInerney,RUC,38,1,5,6,14,44.7,36.8,85,2023,Preliminary Finals
1,2,Mason Cox,RUC,27,1,0,1,11,50.9,40.7,53,2023,Preliminary Finals
2,3,Darcy Cameron,RUC,18,1,1,2,6,46.2,33.3,39,2023,Preliminary Finals
3,4,Marc Pittonet,RUC,17,4,2,6,5,28.8,29.4,59,2023,Preliminary Finals
4,5,Tom De Koning,RUC,16,0,0,0,2,39,12.5,41,2023,Preliminary Finals
5,6,Kieren Briggs,RUC,15,1,2,3,5,25.9,33.3,58,2023,Preliminary Finals
6,7,Lachlan Keeffe,KEYF,13,0,0,0,2,38.2,15.4,34,2023,Preliminary Finals
7,8,Joe Daniher,KEYF,3,0,3,3,0,20,0,15,2023,Preliminary Finals
8,9,Blake Acres,MID,0,0,1,1,0,0,0,0,2023,Preliminary Finals
9,9,Callum Ah Chee,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
10,9,Harris Andrews,KEYD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
11,9,Lachie Ash,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
12,9,Zac Bailey,FWD,0,3,3,6,0,0,0,0,2023,Preliminary Finals
13,9,Toby Bedford,FWD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
14,9,Jarrod Berry,MID,0,0,3,3,0,0,0,0,2023,Preliminary Finals
15,9,Jordan Boyd,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
16,9,Callum M. Brown,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
17,9,Jack Buckley,KEYD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
18,9,Finn Callaghan,MID,0,1,2,3,0,0,0,0,2023,Preliminary Finals
19,9,Charlie Cameron,FWD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
20,9,Adam Cerra,MID,0,0,4,4,0,0,0,0,2023,Preliminary Finals
21,9,Alex Cincotta,DEF,0,0,1,1,0,0,0,0,2023,Preliminary Finals
22,9,Keidean Coleman,DEF,0,0,1,1,0,0,0,0,2023,Preliminary Finals
23,9,Stephen Coniglio,MID,0,1,0,1,0,0,0,0,2023,Preliminary Finals
24,9,Matthew Cottrell,FWD,0,0,0,0,0,0,0,0,2023,Preliminary Finals
25,9,Patrick Cripps,MID,0,2,2,4,0,0,0,0,2023,Preliminary Finals
26,9,Jack Crisp,MID,0,0,4,4,0,0,0,0,2023,Preliminary Finals
27,9,Isaac Cumming,DEF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
28,9,Charlie Curnow,KEYF,0,0,0,0,0,0,0,0,2023,Preliminary Finals
29,9,Nick Daicos,MID,0,1,5,6,0,0,0,0,2023,Preliminary Finals
30,9,Josh Daicos,MID,0,0,2,2,0,0,0,0,2023,Preliminary Finals
31,9,Brent Daniels,FWD,0,0,2,2,0,0,0,0,2023,Preliminary Finals
32,9,Jordan De Goey,MID,0,5,8,13,0,0,0,0,2023,Preliminary Finals
33,9,Sam Docherty,MID,0,0,2,2,0,0,0,0,2023,Preliminary Finals
34,9,Josh Dunkley,MID,0,1,5,6,0,0,0,0,2023,Preliminary Finals
35,9,Jamie Elliott,FWD,0,0,1,1,0,0,0,0,2023,Preliminary Finals
36,9,Jaspa Fletcher,MID,0,0,0,0,0,0,0,0,2023,Preliminary Finals
