,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
0,1,Max Gawn,RUC,37,0,2,2,8,41.6,21.6,89,2024,Opening Round
1,2,Brodie Grundy,RUC,33,2,7,9,13,43.4,39.4,76,2024,Opening Round
2,3,Darcy Cameron,RUC,30,1,1,2,9,48.4,30,62,2024,Opening Round
3,4,Oscar McInerney,RUC,26,4,4,8,4,37.1,15.4,70,2024,Opening Round
4,5,Sam Naismith,RUC,25,1,6,7,8,45.5,32,55,2024,Opening Round
5,6,Tom De Koning,RUC,24,0,2,2,4,30.8,16.7,78,2024,Opening Round
6,7,Jarrod Witts,RUC,22,4,4,8,8,37.9,36.4,58,2024,Opening Round
7,8,Kieren Briggs,RUC,20,4,2,6,10,33.3,50,60,2024,Opening Round
8,9,Mason Cox,RUC,19,0,0,0,7,73.1,36.8,26,2024,Opening Round
9,10,Hayden McLean,KEYF,10,0,0,0,0,41.7,0,24,2024,Opening Round
10,11,Samson Ryan,RUC,6,0,0,0,1,42.9,16.7,14,2024,Opening Round
11,12,Noah Balta,KEYF,5,1,1,2,0,45.5,0,11,2024,Opening Round
12,13,Levi Casboult,KEYF,3,0,0,0,0,27.3,0,11,2024,Opening Round
13,13,Joe Daniher,KEYF,3,0,1,1,0,13.6,0,22,2024,Opening Round
14,13,Jack Lukosius,KEYF,3,0,1,1,1,21.4,33.3,14,2024,Opening Round
15,13,Jake Riccardi,KEYF,3,1,0,1,0,15.8,0,19,2024,Opening Round
16,17,Joel Amartey,KEYF,2,0,0,0,0,50,0,4,2024,Opening Round
17,17,Patrick Cripps,MID,2,2,0,2,1,40,50,5,2024,Opening Round
18,19,Matthew Kennedy,FWD,1,1,1,2,0,20,0,5,2024,Opening Round
19,19,Jacob Koschitzke,KEYF,1,0,0,0,0,33.3,0,3,2024,Opening Round
20,19,Justin McInerney,FWD,1,0,1,1,0,100,0,1,2024,Opening Round
21,19,Harry McKay,KEYF,1,2,0,2,1,16.7,100,6,2024,Opening Round
22,19,Josh Schache,KEYF,1,0,0,0,1,7.1,100,14,2024,Opening Round
23,24,Blake Acres,MID,0,1,4,5,0,0,0,0,2024,Opening Round
24,24,Callum Ah Chee,MID,0,1,1,2,0,0,0,0,2024,Opening Round
25,24,Ben Ainsworth,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
26,24,Noah Anderson,MID,0,2,6,8,0,0,0,0,2024,Opening Round
27,24,Harris Andrews,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
28,24,Lachie Ash,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
29,24,Zac Bailey,FWD,0,2,2,4,0,0,0,0,2024,Opening Round
30,24,Liam Baker,FWD,0,0,2,2,0,0,0,0,2024,Opening Round
31,24,Charlie Ballard,KEYD,0,0,1,1,0,0,0,0,2024,Opening Round
32,24,Sam Banks,MID,0,0,0,0,0,0,0,0,2024,Opening Round
33,24,Toby Bedford,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
34,24,Jarrod Berry,DEF,0,0,1,1,0,0,0,0,2024,Opening Round
35,24,Thomas Berry,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
36,24,Jack Billings,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
37,24,Nick Blakey,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
38,24,Shai Bolton,FWD,0,1,2,3,0,0,0,0,2024,Opening Round
39,24,Jake Bowey,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
40,24,Jordan Boyd,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
41,24,Nathan Broad,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
42,24,Callum M. Brown,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
43,24,Jack Buckley,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
44,24,Connor Budarick,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
45,24,Aaron Cadman,KEYF,0,1,0,1,0,0,0,9,2024,Opening Round
46,24,Charlie Cameron,FWD,0,1,0,1,0,0,0,0,2024,Opening Round
47,24,Seth Campbell,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
48,24,Braeden Campbell,MID,0,0,1,1,0,0,0,0,2024,Opening Round
49,24,Jack Carroll,MID,0,1,3,4,0,0,0,0,2024,Opening Round
50,24,Adam Cerra,MID,0,2,5,7,0,0,0,0,2024,Opening Round
51,24,Kade Chandler,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
52,24,Keidean Coleman,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
53,24,Sam Collins,KEYD,0,0,1,1,0,0,0,0,2024,Opening Round
54,24,Stephen Coniglio,MID,0,1,3,4,0,0,0,0,2024,Opening Round
55,24,Matthew Cottrell,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
56,24,Jack Crisp,DEF,0,0,3,3,0,0,0,0,2024,Opening Round
57,24,David Cuningham,FWD,0,0,3,3,0,0,0,0,2024,Opening Round
58,24,Harry Cunningham,DEF,0,0,1,1,0,0,0,0,2024,Opening Round
59,24,Charlie Curnow,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
60,24,Nick Daicos,MID,0,4,6,10,0,0,0,0,2024,Opening Round
61,24,Josh Daicos,MID,0,2,1,3,0,0,0,0,2024,Opening Round
62,24,Brent Daniels,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
63,24,Jordan De Goey,MID,0,4,3,7,0,0,0,0,2024,Opening Round
64,24,Charlie Dean,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
65,24,Sam Docherty,MID,0,0,0,0,0,0,0,0,2024,Opening Round
66,24,Thomson Dow,MID,0,0,2,2,0,0,0,0,2024,Opening Round
67,24,Josh Dunkley,MID,0,1,1,2,0,0,0,0,2024,Opening Round
68,24,Jamie Elliott,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
69,24,Brandon Ellis,MID,0,0,0,0,0,0,0,0,2024,Opening Round
70,24,Orazio Fantasia,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
71,24,Brayden Fiorini,MID,0,0,0,0,0,0,0,0,2024,Opening Round
72,24,Sam Flanders,MID,0,1,1,2,0,0,0,0,2024,Opening Round
73,24,Jaspa Fletcher,MID,0,0,0,0,0,0,0,0,2024,Opening Round
74,24,Oliver Florent,DEF,0,0,3,3,0,0,0,0,2024,Opening Round
75,24,Lachie Fogarty,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
76,24,Robbie Fox,KEYF,0,0,1,1,0,0,0,0,2024,Opening Round
77,24,Bayley Fritsch,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
78,24,Darcy Gardiner,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
79,24,Josh Gibcus,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
80,24,Tom Green,MID,0,5,4,9,0,0,0,0,2024,Opening Round
81,24,Toby Greene,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
82,24,Dylan Grimes,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
83,24,Errol Gulden,MID,0,0,2,2,0,0,0,0,2024,Opening Round
84,24,Nick Haynes,DEF,0,0,1,1,0,0,0,0,2024,Opening Round
85,24,Will Hayward,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
86,24,Isaac Heeney,MID,0,4,9,13,0,0,0,0,2024,Opening Round
87,24,George Hewett,MID,0,1,4,5,0,0,0,0,2024,Opening Round
88,24,Bobby Hill,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
89,24,Harry Himmelberg,KEYD,0,1,2,3,0,0,0,0,2024,Opening Round
90,24,Eric Hipwood,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
91,24,Jesse Hogan,KEYF,0,0,1,1,0,0,0,0,2024,Opening Round
92,24,Oliver Hollands,MID,0,0,0,0,0,0,0,0,2024,Opening Round
93,24,Nick Holman,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
94,24,Jacob Hopper,MID,0,1,2,3,0,0,0,0,2024,Opening Round
95,24,Will Hoskin-Elliott,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
96,24,Blake Howes,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
97,24,Bailey Humphrey,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
98,24,Connor Idun,DEF,0,0,1,1,0,0,0,0,2024,Opening Round
99,24,Ash Johnson,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
100,24,James Jordon,FWD,0,0,2,2,0,0,0,0,2024,Opening Round
101,24,Josh Kelly,MID,0,1,1,2,0,0,0,0,2024,Opening Round
102,24,Brodie Kemp,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
103,24,Ben King,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
104,24,Ed Langdon,MID,0,0,0,0,0,0,0,0,2024,Opening Round
105,24,Bailey Laurie,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
106,24,Ryan Lester,KEYD,0,0,1,1,0,0,0,0,2024,Opening Round
107,24,Jake Lever,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
108,24,Patrick Lipinski,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
109,24,Jake Lloyd,MID,0,0,0,0,0,0,0,0,2024,Opening Round
110,24,Kai Lohmann,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
111,24,Jarryd Lyons,MID,0,1,0,1,0,0,0,0,2024,Opening Round
112,24,Darcy Macpherson,MID,0,0,0,0,0,0,0,0,2024,Opening Round
113,24,Oleg Markov,DEF,0,0,2,2,0,0,0,0,2024,Opening Round
114,24,Steven May,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
115,24,Brayden Maynard,DEF,0,1,0,1,0,0,0,0,2024,Opening Round
116,24,Lincoln McCarthy,FWD,0,0,1,1,0,0,0,0,2024,Opening Round
117,24,Tom McCartin,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
118,24,Hugh McCluggage,MID,0,1,1,2,0,0,0,0,2024,Opening Round
119,24,Beau McCreery,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
120,24,Logan McDonald,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
121,24,Mitch McGovern,DEF,0,1,1,2,0,0,0,0,2024,Opening Round
122,24,Kamdyn McIntosh,MID,0,0,1,1,0,0,0,0,2024,Opening Round
123,24,Toby McMullin,MID,0,0,0,0,0,0,0,0,2024,Opening Round
124,24,Judd McVee,DEF,0,0,3,3,0,0,0,0,2024,Opening Round
125,24,Lewis Melican,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
126,24,Brody Mihocek,KEYF,0,0,0,0,0,0,0,0,2024,Opening Round
127,24,Touk Miller,MID,0,0,2,2,0,0,0,0,2024,Opening Round
128,24,Tom Mitchell,MID,0,1,1,2,0,0,0,0,2024,Opening Round
129,24,Darcy Moore,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
130,24,Alex Neal-Bullen,FWD,0,1,2,3,0,0,0,0,2024,Opening Round
131,24,Lachie Neale,MID,0,2,3,5,0,0,0,0,2024,Opening Round
132,24,Nic Newman,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
133,24,John Noble,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
134,24,Xavier O'Halloran,MID,0,0,0,0,0,0,0,0,2024,Opening Round
135,24,Clayton Oliver,MID,0,2,4,6,0,0,0,0,2024,Opening Round
136,24,Matthew Owies,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
137,24,Tom Papley,FWD,0,1,2,3,0,0,0,0,2024,Opening Round
138,24,Jack Payne,KEYD,0,0,0,0,0,0,0,2,2024,Opening Round
139,24,Scott Pendlebury,MID,0,2,3,5,0,0,0,0,2024,Opening Round
140,24,Christian Petracca,MID,0,2,1,3,0,0,0,0,2024,Opening Round
141,24,Marlion Pickett,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
142,24,Wil Powell,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
143,24,Dion Prestia,FWD,0,2,3,5,0,0,0,0,2024,Opening Round
144,24,Isaac Quaynor,DEF,0,0,1,1,0,0,0,0,2024,Opening Round
145,24,Dane Rampe,KEYD,0,0,0,0,0,0,0,0,2024,Opening Round
146,24,Cam Rayner,FWD,0,2,3,5,0,0,0,0,2024,Opening Round
147,24,Maurice Rioli,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
148,24,Daniel Rioli,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
149,24,Trent Rivers,DEF,0,1,0,1,0,0,0,0,2024,Opening Round
150,24,Matt Roberts,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
151,24,Malcolm Rosas,FWD,0,0,0,0,0,0,0,0,2024,Opening Round
152,24,Jack Ross,MID,0,0,0,0,0,0,0,0,2024,Opening Round
153,24,James Rowbottom,MID,0,1,5,6,0,0,0,0,2024,Opening Round
154,24,Matt Rowell,MID,0,10,10,20,0,0,0,0,2024,Opening Round
155,24,Adam Saad,DEF,0,0,0,0,0,0,0,0,2024,Opening Round
156,24,Christian Salem,MID,0,1,4,5,0,0,0,0,2024,Opening Round
